id,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
774cf58b,1469.0,1130.0,332.0,17.0,5.0,4.0,50,315.0,0.0,0.0,0.0,0.0,1107.0,7.0,40.0
f2bf1b0f,472.0,468.0,2.0,0.0,4.0,5.0,8,1.0,0.0,0.0,0.0,0.0,304.0,2.0,22.0
9b398aea,1025.0,811.0,211.0,10.0,1.0,7.0,96,172.0,29.0,11.0,16.0,0.0,763.0,3.0,19.0
a8c0acb7,892.0,734.0,154.0,6.0,2.0,3.0,17,148.0,0.0,0.0,0.0,0.0,627.0,4.0,28.0
eaeca114,878.0,836.0,41.0,15.0,1.0,2.0,1,26.0,0.0,0.0,0.0,0.0,796.0,1.0,5.0
b827d5b3,558.0,452.0,101.0,15.0,2.0,3.0,78,48.0,37.0,27.0,6.0,0.0,347.0,5.0,27.0
77e84962,1508.0,1488.0,18.0,10.0,4.0,17.0,4,4.0,1.0,0.0,1.0,0.0,1340.0,2.0,13.0
cd1acf9d,2757.0,2204.0,548.0,93.0,17.0,69.0,273,324.0,131.0,29.0,89.0,0.0,2039.0,5.0,34.0
7a2e46a8,1388.0,1154.0,234.0,62.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,1214.0,0.0,0.0
cc700722,982.0,912.0,66.0,19.0,1.0,2.0,10,10.0,0.0,0.0,0.0,0.0,778.0,4.0,26.0
cea4ee8f,228.0,210.0,17.0,4.0,1.0,1.0,5,4.0,0.0,0.0,0.0,0.0,177.0,1.0,6.0
cea4ee8f,157.0,140.0,14.0,3.0,3.0,1.0,1,5.0,1.0,0.0,0.0,0.0,114.0,3.0,4.0
862a1c15,511.0,500.0,8.0,3.0,0.0,2.0,20,3.0,0.0,0.0,0.0,0.0,402.0,3.0,19.0
f4290206,1486.0,1190.0,293.0,27.0,2.0,8.0,149,199.0,67.0,38.0,23.0,0.0,1142.0,3.0,39.0
ad1f61f3,233.0,230.0,3.0,2.0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,204.0,0.0,4.0
1a4ef233,1546.0,1516.0,28.0,19.0,0.0,2.0,0,9.0,0.0,0.0,0.0,0.0,1399.0,2.0,16.0
e34fc66d,2351.0,2252.0,95.0,86.0,3.0,32.0,8,5.0,0.0,0.0,0.0,0.0,1911.0,4.0,11.0
ac05f970,702.0,675.0,20.0,2.0,4.0,9.0,63,16.0,0.0,0.0,0.0,0.0,438.0,7.0,39.0
05e8ca6d,4.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2f965a72,40.0,23.0,17.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0
68c720b5,324.0,283.0,40.0,0.0,4.0,1.0,18,2.0,0.0,0.0,0.0,0.0,229.0,1.0,6.0
97333cf5,744.0,701.0,40.0,3.0,3.0,2.0,35,8.0,2.0,0.0,1.0,0.0,590.0,3.0,25.0
28d596a0,138.0,110.0,28.0,7.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0
b391383a,7.0,6.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
d5dd5f1f,208.0,204.0,2.0,0.0,2.0,0.0,11,1.0,0.0,0.0,0.0,0.0,137.0,2.0,9.0
da052c14,754.0,738.0,14.0,3.0,8.0,2.0,74,9.0,2.0,0.0,0.0,0.0,576.0,2.0,30.0
420d7c7d,1592.0,1412.0,171.0,36.0,5.0,24.0,31,134.0,0.0,0.0,0.0,0.0,1224.0,9.0,29.0
53cad200,1787.0,1627.0,153.0,25.0,1.0,0.0,47,128.0,0.0,0.0,0.0,0.0,1486.0,7.0,31.0
1c0eea98,364.0,237.0,125.0,38.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,216.0,2.0,0.0
3a233281,226.0,209.0,16.0,1.0,1.0,3.0,33,4.0,11.0,10.0,1.0,0.0,150.0,1.0,8.0
a1232f4e,85.0,81.0,4.0,4.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,1.0
31822f8c,9.0,9.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
93feac6e,108.0,89.0,19.0,0.0,1.0,0.0,3,1.0,0.0,0.0,0.0,0.0,88.0,0.0,3.0
