id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
00459419,31,2313,25,28,14,3,1,1,34,48,-14,25.4,36.5,-11.1,0,0,0,0
008a6e6d,19,1451,16,16,16,3,11,2,31,15,16,30.6,12.9,17.7,0,0,0,0
00963611,3,195,2,3,2,0,0,1,6,3,3,3.2,2.1,1.1,0,0,0,0
01226327,35,3135,34,35,32,0,0,0,34,49,-15,37.0,39.1,-2.0,0,0,0,0
02b29014,37,3324,36,37,36,0,0,1,44,63,-19,43.5,50.5,-7.0,0,0,0,0
032f894e,12,702,7,9,4,3,5,0,3,10,-7,4.8,10.1,-5.3,0,0,0,0
0356cf4f,3,39,0,0,0,3,7,1,0,2,-2,0.6,0.8,-0.2,0,0,0,0
0420d84f,12,1035,11,12,11,0,0,1,14,12,2,13.4,12.4,1.0,0,0,0,0
0442183b,3,174,1,2,1,1,2,0,0,1,-1,1.7,1.6,0.2,0,0,0,0
07802f7f,8,267,3,3,0,5,9,1,3,0,3,5.6,1.0,4.6,0,0,0,0
08aa17d0,31,2740,30,31,28,0,1,2,57,22,35,45.4,33.0,12.4,0,0,0,0
099e666f,19,1590,17,17,17,2,5,1,27,31,-4,19.3,29.7,-10.4,0,0,0,0
0a16eb36,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
0a6cb1b1,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,0,0,0,0
0bb6d386,0,0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0
0c61c77c,1,16,0,0,0,1,4,0,0,1,-1,0.4,0.5,-0.1,0,0,0,0
0cc5f4a5,2,16,0,0,0,2,2,3,0,0,0,0.3,0.0,0.3,0,0,0,0
0d267745,34,2967,33,33,31,1,1,2,90,25,65,68.9,21.4,47.5,0,0,0,0
0db5d2c8,38,3420,38,38,38,0,0,0,28,58,-30,31.3,48.5,-17.2,0,0,0,0
0e6bc38c,30,2314,25,26,18,4,1,0,28,45,-17,25.3,36.7,-11.4,0,0,0,0
0ef89a37,14,1109,12,13,5,1,1,1,29,14,15,23.2,11.5,11.7,0,0,0,0
10072610,3,226,2,2,2,1,35,3,8,1,7,3.9,1.7,2.2,226,3,2,2
101da2b5,34,2881,32,33,28,1,0,2,89,24,65,66.2,19.6,46.5,0,0,0,0
10331f88,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
