id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,On-Off,onxG,onxGA,xG+/-,On-Off.1,MinGK,MPGK,StartsGK,90sGK
007b39a5,26,1384,15.4,14,6,12,2,0.35,10,32.0,-22.0,-0.24,10.4,26.9,-16.5,-0.5,0,0,0,0.0
00963611,0,0,0.0,0,0,0,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
01226327,32,2742,30.5,31,29,1,2,1.38,43,44.0,-1.0,1.03,45.5,38.6,6.9,0.71,0,0,0,0.0
016ff750,13,480,5.3,4,1,9,0,1.0,4,13.0,-9.0,-1.35,3.8,9.9,-6.1,-0.4,0,0,0,0.0
01ba3996,0,0,0.0,0,0,0,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
02b29014,37,3156,35.1,36,25,1,0,0.89,33,61.0,-28.0,-0.8,45.3,52.0,-6.7,0.68,0,0,0,0.0
0313a347,25,2039,22.7,24,19,1,13,1.08,23,39.0,-16.0,-0.05,24.1,39.6,-15.5,-0.17,0,0,0,0.0
03622183,11,101,1.1,0,0,11,2,2.45,3,0.0,3.0,1.94,4.5,1.2,3.3,2.37,0,0,0,0.0
0420d84f,27,1839,20.4,21,15,6,6,1.3,19,28.0,-9.0,-0.27,24.6,28.3,-3.8,-0.54,0,0,0,0.0
04e195ee,4,51,0.6,0,0,4,8,1.0,2,1.0,1.0,2.49,0.7,1.1,-0.4,-0.1,0,0,0,0.0
0666f848,0,0,0.0,0,0,0,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0745b37d,36,2886,32.1,33,22,3,1,0.58,24,59.0,-35.0,1.27,32.7,54.7,-21.9,0.59,0,0,0,0.0
07666c20,5,436,4.8,4,4,1,8,1.2,3,6.0,-3.0,-0.32,3.7,7.3,-3.7,-0.4,436,5,4,4.8
