,id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
0,00f0482f,2,11,0,0,0,2,3,3,0,0,0,0.0,0.1,-0.1,270,3,3,3
1,01226327,29,2598,28,29,28,0,0,1,36,51,-15,30.9,39.0,-8.1,16,1,0,0
2,012c38ec,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,2970,33,33,33
3,012c975a,9,661,7,7,6,2,16,2,14,6,8,13.0,8.3,4.7,3240,36,36,36
4,01962d0d,0,0,0,0,0,0,8,0,0,0,0,0.0,0.0,0.0,585,7,6,6
5,01ba3996,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,90,1,1,1
6,02b29014,29,2443,27,29,20,0,1,1,35,36,-1,33.3,36.4,-3.1,90,1,1,1
7,0313a347,36,3196,35,35,35,1,0,1,51,46,5,46.6,50.4,-3.8,90,1,1,1
8,03622183,1,10,0,0,0,1,1,0,0,1,-1,0.0,0.1,0.0,90,1,1,1
9,03edb878,4,284,3,3,2,1,0,1,2,2,0,3.0,4.6,-1.6,270,3,3,3
10,0420d84f,25,1613,17,18,12,7,3,1,23,19,4,21.8,21.1,0.7,2250,25,25,25
11,0442183b,13,1145,12,13,11,0,9,1,16,22,-6,12.4,17.5,-5.1,1170,13,13,13
12,06791660,0,0,0,0,0,0,10,0,0,0,0,0.0,0.0,0.0,3240,36,36,36
13,07666c20,0,0,0,0,0,0,15,0,0,0,0,0.0,0.0,0.0,3150,35,35,35
14,07802f7f,29,2173,24,26,13,3,0,1,33,40,-7,27.4,30.5,-3.0,720,8,8,8
15,08452314,21,528,5,6,0,15,6,0,4,9,-5,8.8,8.1,0.8,2295,26,26,25
16,091c86e2,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,3330,37,37,37
17,096d1e60,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1125,13,12,12
18,099e666f,4,79,0,1,0,3,7,2,0,1,-1,0.5,2.1,-1.5,3330,37,37,37
19,0b33f6ad,12,844,9,8,7,4,11,0,10,19,-9,11.0,14.2,-3.1,180,2,2,2
20,0d267745,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,3131,35,35,34
21,0d4ceb32,28,1371,15,15,5,13,5,0,18,24,-6,18.2,21.4,-3.2,3420,38,38,38
22,0df2b165,28,2032,22,23,18,5,6,0,14,40,-26,19.6,36.6,-17.0,3420,38,38,38
23,0eb884e1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2700,30,30,30
24,0f7533cd,33,2372,26,28,14,5,2,0,20,32,-12,26.3,35.1,-8.8,2745,31,31,30
25,101da2b5,21,1188,13,12,10,9,11,2,29,10,19,20.6,10.0,10.5,3150,35,35,35
26,10b9fa99,25,2089,23,23,19,2,4,0,12,41,-29,20.1,39.1,-19.0,180,2,2,2
27,111c3236,8,266,3,2,1,6,7,1,3,6,-3,3.0,5.0,-2.0,630,7,7,7
28,119b9a8e,16,1344,14,14,14,2,12,2,30,10,20,26.7,10.8,16.0,3329,37,37,37
29,11ff3d56,22,1020,11,10,8,12,6,1,10,22,-12,11.7,18.5,-6.8,360,4,4,4
30,1265a93a,32,2373,26,25,25,7,3,1,38,29,9,43.1,21.7,21.4,2742,31,31,30
31,132a82f1,28,2262,25,27,22,1,1,1,43,30,13,35.1,28.2,6.9,2880,32,32,32
32,136e7649,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,3420,38,38,38
33,1544f145,22,626,7,6,0,16,8,1,9,10,-1,10.0,10.1,-0.1,270,3,3,3
34,1566e437,5,118,1,1,0,4,6,0,1,3,-2,0.4,2.8,-2.4,180,2,2,2
35,1598599e,23,1459,16,15,9,8,14,1,26,25,1,24.4,21.4,3.0,91,2,1,1
36,15ea812b,36,3240,36,36,36,0,0,1,31,50,-19,37.4,52.8,-15.4,990,11,11,11
