id,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Tkld,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
5f09991f,1435.0,90.0,445.0,616.0,391.0,32.0,1435.0,31.0,26.0,5.0,717.0,3714.0,1966.0,46.0,33.0,7.0,37.0,18.0,711.0,86.0
c5942695,65.0,0.0,11.0,30.0,25.0,3.0,65.0,6.0,4.0,2.0,37.0,380.0,127.0,7.0,3.0,3.0,4.0,6.0,39.0,4.0
f586779e,498.0,12.0,33.0,246.0,230.0,65.0,498.0,47.0,27.0,20.0,305.0,1600.0,555.0,19.0,16.0,8.0,50.0,51.0,393.0,104.0
aff418dc,342.0,9.0,58.0,218.0,76.0,5.0,341.0,12.0,12.0,0.0,206.0,960.0,436.0,6.0,15.0,2.0,7.0,5.0,211.0,9.0
f76e6b4e,641.0,541.0,633.0,9.0,0.0,0.0,641.0,0.0,0.0,0.0,284.0,2193.0,1505.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0
9a8c6673,89.0,0.0,18.0,63.0,12.0,0.0,89.0,1.0,1.0,0.0,61.0,214.0,50.0,0.0,0.0,0.0,1.0,3.0,64.0,1.0
b63f4077,219.0,8.0,18.0,100.0,105.0,28.0,219.0,9.0,7.0,2.0,138.0,820.0,317.0,12.0,4.0,9.0,28.0,5.0,171.0,37.0
4d034881,894.0,6.0,41.0,308.0,561.0,152.0,890.0,84.0,56.0,28.0,610.0,4166.0,1866.0,89.0,48.0,36.0,56.0,43.0,747.0,214.0
eaeca114,2048.0,283.0,1262.0,720.0,84.0,46.0,2048.0,11.0,10.0,1.0,946.0,5466.0,3075.0,14.0,9.0,1.0,12.0,6.0,1110.0,10.0
b827d5b3,1581.0,54.0,302.0,701.0,601.0,34.0,1581.0,95.0,52.0,43.0,846.0,5041.0,2154.0,64.0,43.0,6.0,47.0,38.0,988.0,162.0
f7d50789,1049.0,65.0,413.0,564.0,78.0,11.0,1049.0,7.0,6.0,1.0,611.0,3145.0,2152.0,12.0,12.0,0.0,4.0,0.0,761.0,5.0
cd1acf9d,1487.0,39.0,374.0,718.0,409.0,28.0,1487.0,33.0,20.0,13.0,743.0,3232.0,1791.0,39.0,38.0,9.0,18.0,13.0,910.0,126.0
9feb8f24,1781.0,90.0,370.0,996.0,448.0,49.0,1781.0,55.0,44.0,11.0,950.0,4752.0,2010.0,37.0,44.0,7.0,54.0,68.0,990.0,89.0
cea4ee8f,1726.0,33.0,179.0,702.0,874.0,147.0,1726.0,105.0,44.0,61.0,1097.0,6773.0,2868.0,100.0,78.0,28.0,98.0,89.0,1334.0,359.0
