id,Gls,Sh,SoT,FK,PK,PKatt,xG,npxG,G-xG,np:G-xG,TotDist
007b39a5,1,29,8,0,0,0,2.2,2.2,-1.2,-1.2,527.8
01226327,1,18,3,1,0,0,1.7,1.7,-0.7,-0.7,349.2
016ff750,1,4,1,0,0,0,0.4,0.4,0.6,0.6,87.6
02b29014,4,61,12,0,0,0,5.2,5.2,-1.2,-1.2,1116.3
0313a347,1,11,4,0,0,0,1.5,1.5,-0.5,-0.5,143.0
03622183,0,7,3,0,0,0,1.9,1.9,-1.9,-1.9,81.9
0420d84f,0,8,3,0,0,0,0.9,0.9,-0.9,-0.9,128.0
04e195ee,0,1,0,0,0,0,0.0,0.0,0.0,0.0,21.9
0745b37d,11,78,33,0,2,2,11.2,9.7,-0.2,-0.7,1209.0
07666c20,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
07802f7f,22,91,35,0,1,2,16.2,14.7,5.8,6.3,1264.9
08452314,2,12,2,0,0,0,0.6,0.6,1.4,1.4,230.4
0bad4516,0,1,0,0,0,0,0.1,0.1,-0.1,-0.1,10.8
0d267745,2,15,7,0,0,0,1.9,1.9,0.1,0.1,126.0
0d4ceb32,2,18,10,0,0,0,3.8,3.8,-1.8,-1.8,235.8
0df2b165,5,43,10,0,0,0,5.3,5.3,-0.3,-0.3,756.8
10072610,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
101da2b5,0,17,2,0,0,0,1.0,1.0,-1.0,-1.0,253.3
111c3236,0,3,0,0,0,0,0.1,0.1,-0.1,-0.1,92.7
119b9a8e,1,4,2,0,0,0,0.5,0.5,0.5,0.5,65.2
1265a93a,0,18,3,0,0,0,0.8,0.8,-0.8,-0.8,372.6
12aa7661,0,6,3,1,0,0,0.3,0.3,-0.3,-0.3,118.8
1598599e,0,1,1,0,0,0,0.0,0.0,0.0,0.0,28.9
15ea812b,2,21,5,0,0,0,2.1,2.1,-0.1,-0.1,191.1
15ea94de,1,14,5,0,0,0,3.1,3.1,-2.1,-2.1,187.6
15f3ec41,1,21,4,0,0,0,1.9,1.9,-0.9,-0.9,384.3
16380240,1,9,3,0,0,0,1.4,1.4,-0.4,-0.4,127.8
16ceb862,8,39,19,1,0,0,7.3,7.3,0.7,0.7,448.5
16fa6881,1,14,3,2,0,0,1.5,1.5,-0.5,-0.5,268.8
17370b95,0,7,2,0,0,0,0.5,0.5,-0.5,-0.5,123.2
17695062,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
178ae8f8,7,69,26,0,0,0,11.5,11.5,-4.5,-4.5,979.8
17d4507a,2,22,4,0,0,0,1.3,1.3,0.7,0.7,391.6
189cee7b,1,3,2,1,0,0,1.0,1.0,0.0,0.0,51.9
18b896d6,2,12,3,0,0,0,0.9,0.9,1.1,1.1,163.2
1900032e,1,12,5,0,0,0,1.4,1.4,-0.4,-0.4,140.4
1961b2aa,0,5,0,0,0,0,0.2,0.2,-0.2,-0.2,117.5
1a2935f6,0,5,1,0,0,0,0.4,0.4,-0.4,-0.4,43.0
1aa84968,0,6,0,0,0,0,0.3,0.3,-0.3,-0.3,81.0
1ae30132,0,11,4,0,0,0,0.3,0.3,-0.3,-0.3,279.4
1b84dbe1,0,29,4,13,0,0,1.5,1.5,-1.5,-1.5,707.6
1bf33a9a,9,63,25,0,0,0,9.0,9.0,0.0,0.0,844.2
1bf811d4,0,15,2,0,0,0,1.4,1.4,-1.4,-1.4,171.0
1c7012b8,1,31,9,0,0,0,1.3,1.3,-0.3,-0.3,734.7
1cb49278,0,7,2,0,0,0,0.5,0.5,-0.5,-0.5,88.9
1d8c99b0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1e0b6a73,0,3,0,0,0,0,0.1,0.1,-0.1,-0.1,37.5
1e43fad8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1ecb65be,2,31,10,0,0,0,3.1,3.1,-1.1,-1.1,499.1
1ef37668,0,14,3,0,0,0,0.5,0.5,-0.5,-0.5,309.4
1fdec858,1,2,1,0,0,0,0.5,0.5,0.5,0.5,15.6
20b104bc,0,4,1,0,0,0,0.8,0.8,-0.8,-0.8,78.0
21166ff4,1,17,5,0,0,0,2.1,2.1,-1.1,-1.1,175.1
21a66f6a,18,79,35,7,2,2,12.5,10.9,5.5,5.1,1516.8
254147d4,2,20,7,0,0,0,2.4,2.4,-0.4,-0.4,362.0
2628fd2b,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2649ff32,0,2,0,0,0,0,0.1,0.1,-0.1,-0.1,36.6
2691c772,6,39,11,0,1,1,6.2,5.4,-0.2,-0.4,620.1
2696b6a9,0,1,0,0,0,0,0.1,0.1,-0.1,-0.1,14.1
26f6dca8,0,23,7,3,0,0,2.2,2.2,-2.2,-2.2,437.0
