id,Gls,Sh,SoT,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,G-xG,np:G-xG
5f09991f,0,18,5,0.0,0.0,21.1,3,0,0,1.4,1.4,-1.4,-1.4
f586779e,6,32,13,0.19,0.46,10.7,0,0,0,5.9,5.9,0.1,0.1
f2bf1b0f,9,55,31,0.16,0.29,13.8,0,0,0,9.8,9.8,-0.8,-0.8
c81d773d,0,18,5,0.0,0.0,10.5,0,0,0,1.1,1.1,-1.1,-1.1
f76e6b4e,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
4d034881,4,17,10,0.18,0.3,14.6,0,1,2,3.5,1.9,0.5,1.1
246d153b,2,14,4,0.14,0.5,24.6,1,0,0,1.2,1.2,0.8,0.8
9b398aea,1,15,6,0.07,0.17,19.8,0,0,0,0.6,0.6,0.4,0.4
d6192210,2,13,4,0.15,0.5,9.8,0,0,0,1.9,1.9,0.1,0.1
eaeca114,1,3,1,0.33,1.0,15.5,0,0,0,0.3,0.3,0.7,0.7
b827d5b3,1,21,9,0.05,0.11,21.2,0,0,0,1.2,1.2,-0.2,-0.2
77e84962,1,22,5,0.05,0.2,23.3,1,0,0,1.2,1.2,-0.2,-0.2
f7d50789,1,10,3,0.1,0.33,8.5,0,0,0,0.7,0.7,0.3,0.3
8fa8f8d2,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
cd1acf9d,2,55,12,0.04,0.17,24.9,18,0,0,2.6,2.6,-0.6,-0.6
1a7fcf39,2,25,8,0.08,0.25,19.0,0,0,0,1.6,1.6,0.4,0.4
7a2e46a8,1,1,1,1.0,1.0,8.4,0,0,0,0.1,0.1,0.9,0.9
cc700722,0,7,2,0.0,0.0,22.4,0,0,0,0.3,0.3,-0.3,-0.3
cea4ee8f,0,12,4,0.0,0.0,15.4,0,0,0,2.0,2.0,-2.0,-2.0
862a1c15,4,33,14,0.12,0.29,19.2,1,0,0,3.2,3.2,0.8,0.8
f4290206,2,22,9,0.09,0.22,17.6,5,0,0,1.8,1.8,0.2,0.2
ad1f61f3,1,7,2,0.14,0.5,18.7,0,0,0,0.8,0.8,0.2,0.2
1a4ef233,1,3,1,0.33,1.0,10.6,0,0,0,0.4,0.4,0.6,0.6
10b9fa99,0,7,2,0.0,0.0,19.3,0,0,0,0.3,0.3,-0.3,-0.3
e34fc66d,1,13,3,0.08,0.33,16.4,1,0,0,1.2,1.2,-0.2,-0.2
de31038e,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
9f1893b9,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
ac05f970,10,63,22,0.16,0.45,13.4,0,0,0,12.9,12.9,-2.9,-2.9
2f965a72,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
97333cf5,4,55,11,0.07,0.36,21.6,0,0,0,2.7,2.7,1.3,1.3
28d596a0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
d5dd5f1f,10,55,19,0.15,0.42,14.0,0,2,2,10.2,8.6,-0.2,-0.6
5c2b4f07,2,15,6,0.13,0.33,17.5,0,0,0,1.1,1.1,0.9,0.9
8d228291,0,3,0,0.0,0.0,20.3,0,0,0,0.4,0.4,-0.4,-0.4
da052c14,1,26,11,0.04,0.09,17.6,0,0,0,2.2,2.2,-1.2,-1.2
420d7c7d,0,24,6,0.0,0.0,18.7,0,0,0,1.7,1.7,-1.7,-1.7
53cad200,1,11,4,0.09,0.25,16.9,0,0,0,0.7,0.7,0.3,0.3
a1232f4e,0,2,0,0.0,0.0,11.2,0,0,0,0.1,0.1,-0.1,-0.1
3626f7d9,1,8,2,0.13,0.5,10.0,0,0,0,0.7,0.7,0.3,0.3
394854c4,0,13,2,0.0,0.0,16.8,0,0,0,1.2,1.2,-1.2,-1.2
a58bb1e1,11,38,19,0.29,0.58,18.7,7,0,0,5.8,5.8,5.2,5.2
93feac6e,17,105,46,0.14,0.33,13.2,0,2,2,18.2,16.6,-1.2,-1.6
1ae30132,0,3,0,0.0,0.0,21.5,0,0,0,0.1,0.1,-0.1,-0.1
3a24769f,3,38,11,0.08,0.27,18.7,2,0,0,3.1,3.1,-0.1,-0.1
3a24769f,0,1,1,0.0,0.0,35.9,0,0,0,0.0,0.0,0.0,0.0
2691c772,3,37,12,0.05,0.17,16.8,0,1,1,4.1,3.3,-1.1,-1.3
3ea50f67,9,56,25,0.16,0.36,17.5,0,0,0,5.9,5.9,3.1,3.1
18e96f64,3,14,5,0.21,0.6,9.0,0,0,0,2.5,2.5,0.5,0.5
1aa84968,0,10,1,0.0,0.0,13.3,0,0,0,0.7,0.7,-0.7,-0.7
2973d8ff,2,12,6,0.17,0.33,17.0,0,0,0,1.6,1.6,0.4,0.4
4115ce4e,1,10,5,0.1,0.2,10.6,0,0,0,0.7,0.7,0.3,0.3
50dc94ce,1,2,1,0.5,1.0,18.4,0,0,0,0.4,0.4,0.6,0.6
f874dd44,1,15,5,0.07,0.2,20.3,0,0,0,0.8,0.8,0.2,0.2
5a04fd92,1,35,12,0.03,0.08,21.2,1,0,0,2.6,2.6,-1.6,-1.6
bf3aeb61,0,2,0,0.0,0.0,24.2,1,0,0,0.2,0.2,-0.2,-0.2
ab070c55,10,71,33,0.14,0.3,12.5,0,0,0,8.3,8.3,1.7,1.7
5348aada,0,1,0,0.0,0.0,8.3,0,0,0,0.1,0.1,-0.1,-0.1
f72293fc,2,19,8,0.11,0.25,21.5,1,0,0,1.2,1.2,0.8,0.8
d0b6129f,1,9,1,0.0,0.0,18.0,0,1,1,1.2,0.4,-0.2,-0.4
a29b1131,1,15,6,0.07,0.17,17.1,0,0,0,2.0,2.0,-1.0,-1.0
ab4b3e35,1,6,2,0.17,0.5,22.5,0,0,0,0.3,0.3,0.7,0.7
17370b95,0,4,0,0.0,0.0,7.7,0,0,0,0.4,0.4,-0.4,-0.4
01226327,0,8,3,0.0,0.0,19.7,0,0,0,0.4,0.4,-0.4,-0.4
6c203af0,1,42,3,0.02,0.33,26.5,2,0,0,1.4,1.4,-0.4,-0.4
ae5019e6,2,17,7,0.12,0.29,13.1,0,0,0,1.9,1.9,0.1,0.1
a4ac4b8f,1,15,3,0.07,0.33,13.3,0,0,0,1.1,1.1,-0.1,-0.1
79c84d1c,8,55,16,0.15,0.5,16.4,0,0,0,7.1,7.1,0.9,0.9
96bb8cc2,1,16,5,0.06,0.2,21.1,4,0,0,0.8,0.8,0.2,0.2
30e81a88,0,24,7,0.0,0.0,21.8,1,0,0,1.8,1.8,-1.8,-1.8
43309491,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
47369df8,0,34,7,0.0,0.0,21.9,7,0,0,1.9,1.9,-1.9,-1.9
af69e7f0,1,8,2,0.13,0.5,21.9,1,0,0,0.6,0.6,0.4,0.4
c684d3c9,1,3,1,0.33,1.0,7.7,0,0,0,0.9,0.9,0.1,0.1
f631c17f,1,25,6,0.04,0.17,15.6,0,0,0,2.1,2.1,-1.1,-1.1
b2d31e83,1,17,6,0.06,0.17,14.4,0,0,0,1.5,1.5,-0.5,-0.5
cc70a1d5,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
e608ed4c,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
aa6f2f2c,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
a179d516,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
7914b9fe,1,11,3,0.09,0.33,12.5,0,0,0,0.7,0.7,0.3,0.3
a8748947,1,12,4,0.08,0.25,21.0,0,0,0,0.5,0.5,0.5,0.5
59e6e5bf,16,83,46,0.19,0.35,12.2,0,0,0,16.3,16.3,-0.3,-0.3
bd6351cd,2,35,11,0.06,0.18,22.5,0,0,0,1.6,1.6,0.4,0.4
55b4f1d6,0,5,3,0.0,0.0,17.8,0,0,0,0.3,0.3,-0.3,-0.3
b581987a,1,14,2,0.07,0.5,14.3,0,0,0,0.8,0.8,0.2,0.2
3e1550ee,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
966e28d0,1,9,5,0.11,0.2,15.4,0,0,0,1.2,1.2,-0.2,-0.2
2389cdc2,0,9,2,0.0,0.0,22.9,0,0,0,0.3,0.3,-0.3,-0.3
58bc7d18,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
197640fd,2,8,3,0.25,0.67,10.9,0,0,0,1.1,1.1,0.9,0.9
e28868f3,0,1,0,0.0,0.0,15.2,0,0,0,0.1,0.1,-0.1,-0.1
979b811d,3,45,15,0.04,0.13,18.1,1,1,2,6.4,4.8,-3.4,-2.8
527f063d,10,34,15,0.29,0.67,11.4,0,0,0,8.0,8.0,2.0,2.0
