id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
7f9c5d2d,Abner,br BRA,DF,Betis,22-306,2000,4.1,11,8,9,2,0,7,13,53.8,6,5,2,3,6,17,15,0,Matches
be6faae0,Álvaro Aceves,es ESP,GK,Valladolid,19-246,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
81442ecb,Marcos Acuña,ar ARG,DF,Sevilla,31-152,1991,14.8,48,28,30,13,5,24,34,70.6,10,12,5,7,17,65,19,0,Matches
a2c1a8d3,Julen Agirrezabala,es ESP,GK,Athletic Club,22-093,2000,4.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
014aa7bd,Álvaro Aguado,es ESP,MF,Valladolid,26-332,1996,14.4,18,9,10,6,2,11,18,61.1,7,12,3,9,9,27,9,0,Matches
18abe173,Joseph Aidoo,gh GHA,DF,Celta Vigo,27-181,1995,25.8,44,30,29,14,1,15,22,68.2,7,23,12,11,24,68,120,0,Matches
06efa9dc,Sergio Akieme,es ESP,DF,Almería,25-103,1997,23.5,27,16,19,6,2,12,18,66.7,6,22,6,16,13,40,37,0,Matches
31f5b89b,Paul Akouokou,ci CIV,MF,Betis,25-099,1997,3.1,10,6,8,2,0,8,13,61.5,5,0,0,0,6,16,2,1,Matches
05439de2,David Alaba,at AUT,DF,Real Madrid,30-278,1992,17.2,13,10,6,4,3,8,13,61.5,5,15,8,7,12,25,28,1,Matches
455c26a4,Ángel Alarcón,es ESP,"MF,FW",Barcelona,18-318,2004,0.3,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,Matches
99ea2ddd,Tomás Alarcón,cl CHI,MF,Cádiz,24-069,1999,2.5,3,2,0,2,1,1,2,50.0,1,1,0,1,2,5,2,0,Matches
4601e194,Jordi Alba,es ESP,DF,Barcelona,34-008,1989,11.1,17,13,9,8,0,11,22,50.0,11,8,3,5,7,24,16,0,Matches
4bd414c1,Raúl Albiol,es ESP,DF,Villarreal,37-206,1985,22.4,25,17,17,6,2,14,18,77.8,4,17,13,4,14,39,107,0,Matches
036bba5f,Rubén Alcaraz,es ESP,MF,Cádiz,31-332,1991,14.0,30,20,17,13,0,14,36,38.9,22,14,5,9,15,45,27,0,Matches
bb08bce9,Omar Alderete,py PAR,DF,Getafe,26-093,1996,12.0,19,9,12,7,0,13,21,61.9,8,11,7,4,16,35,46,0,Matches
3d7e48ce,Iván Alejo,es ESP,"MF,FW",Cádiz,28-047,1995,9.2,25,17,14,7,4,15,30,50.0,15,13,2,11,2,27,9,1,Matches
6c811eb7,Carles Aleñá,es ESP,MF,Getafe,25-083,1998,17.6,17,10,7,5,5,4,28,14.3,24,15,1,14,4,21,14,0,Matches
b907d169,Alejandro Alfaro,es ESP,MF,Elche,20-287,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
acc1aefa,Ángel Algobia,es ESP,MF,Getafe,23-279,1999,11.2,22,11,13,9,0,18,37,48.6,19,15,5,10,3,25,8,0,Matches
f8405304,Mohamed Ali Cho,fr FRA,FW,Real Sociedad,19-069,2004,4.0,6,3,5,1,0,0,4,0.0,4,6,0,6,2,8,2,0,Matches
e6697917,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,22-303,2000,17.7,41,28,11,22,8,17,32,53.1,15,17,0,17,12,53,11,1,Matches
f4290206,Marcos Alonso,es ESP,DF,Barcelona,32-091,1990,7.6,9,6,6,3,0,6,8,75.0,2,10,8,2,10,19,18,0,Matches
629081bd,Carlos Álvarez,es ESP,FW,Sevilla,19-235,2003,0.1,,1,,,,,,,,,,,0,,,,Matches
852ddfb8,Gastón Álvarez,uy URU,DF,Getafe,23-005,2000,10.0,23,16,16,6,1,12,23,52.2,11,11,4,7,10,33,26,0,Matches
3ecc11d8,Yeray Álvarez,es ESP,DF,Athletic Club,28-064,1995,20.1,25,17,20,4,1,17,22,77.3,5,17,11,6,38,63,81,0,Matches
00eba9c9,Selim Amallah,ma MAR,MF,Valladolid,26-134,1996,0.6,4,3,2,2,0,1,2,50.0,1,0,0,0,1,5,0,0,Matches
f3b1d9a2,Amath,sn SEN,"MF,FW",Mallorca,26-256,1996,6.5,18,10,8,4,6,9,13,69.2,4,5,0,5,3,21,2,0,Matches
