id,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
b1e5bbec,Ángel,es ESP,GK,Granada,18,2002,1.0,2,1,0,1,0,3.1,0.13,+1.1,+1.15,9,24,37.5,14,0,71.4,43.7,17,82.4,54.8,20,0,0.0,0,0.00,7.7,Matches
9f0ea33f,Sergio Asenjo,es ESP,GK,Villarreal,31,1989,36.0,40,7,0,3,2,36.0,0.24,-2.0,-0.06,157,406,38.7,1022,190,26.3,30.2,283,48.4,40.4,564,27,4.8,32,0.89,13.9,Matches
e4346678,Édgar Badía,es ESP,GK,Elche,28,1992,30.0,46,5,0,3,0,52.5,0.33,+6.5,+0.22,208,453,45.9,864,144,33.0,32.7,285,58.9,41.4,444,8,1.8,31,1.03,13.9,Matches
967f34d3,Rubén Blanco,es ESP,GK,Celta Vigo,25,1995,18.2,27,1,1,2,0,22.6,0.36,-4.4,-0.24,94,269,34.9,520,79,35.2,32.7,143,60.1,43.2,234,3,1.3,14,0.77,15.7,Matches
f6798fc3,Yassine Bounou,ma MAR,GK,Sevilla,29,1991,33.0,28,4,0,4,2,27.8,0.21,+1.8,+0.05,166,381,43.6,895,147,30.5,32.0,200,54.0,40.7,450,26,5.8,34,1.03,15.0,Matches
10072610,Claudio Bravo,cl CHI,GK,Betis,37,1983,20.0,25,4,0,0,1,24.0,0.26,0.0,0.00,117,328,35.7,518,82,47.3,38.1,129,64.3,48.5,287,11,3.8,16,0.80,13.0,Matches
e1846dde,Cárdenas,es ESP,GK,Levante,23,1997,8.0,11,0,0,0,0,11.2,0.29,+0.2,+0.03,33,89,37.1,203,41,33.0,32.2,59,37.3,34.2,125,2,1.6,16,2.00,18.2,Matches
94084f83,Alberto Cifuentes,es ESP,GK,Cádiz,41,1979,2.0,3,0,0,0,0,2.9,0.48,-0.1,-0.05,22,60,36.7,53,3,84.9,54.1,15,100.0,62.9,32,0,0.0,4,2.00,27.0,Matches
04ac8285,Jasper Cillessen,nl NED,GK,Valencia,31,1989,10.0,11,1,1,0,0,11.3,0.21,+0.3,+0.03,67,187,35.8,225,42,55.1,41.4,95,66.3,52.1,170,3,1.8,11,1.10,19.2,Matches
1840e36d,Thibaut Courtois,be BEL,GK,Real Madrid,28,1992,38.0,28,7,0,3,1,32.7,0.22,+5.7,+0.15,89,300,29.7,1086,243,20.6,29.6,235,32.3,36.6,472,26,5.5,44,1.16,15.7,Matches
ac295d9e,Marko Dmitrović,rs SRB,GK,Eibar,28,1992,34.7,49,3,0,5,0,45.3,0.32,-3.7,-0.11,306,778,39.3,836,98,67.7,49.0,233,91.0,68.3,387,14,3.6,48,1.38,17.5,Matches
c9cb972b,Jaume Doménech,es ESP,GK,Valencia,29,1990,28.0,42,4,2,5,2,36.9,0.25,-3.1,-0.11,224,477,47.0,646,103,47.1,36.6,243,71.2,49.7,485,8,1.6,20,0.71,13.4,Matches
67669ce7,Aarón Escandell,es ESP,GK,Granada,24,1995,5.0,8,0,0,0,0,10.2,0.44,+2.2,+0.44,37,111,33.3,125,13,67.2,46.5,33,81.8,60.5,65,2,3.1,11,2.20,18.0,Matches
0f7dbaf6,Jokin Ezkieta,es ESP,GK,Athletic Club,23,1996,1.0,2,0,0,0,0,1.5,0.48,-0.5,-0.55,1,4,25.0,18,6,11.1,26.2,7,28.6,30.4,16,0,0.0,2,2.00,30.5,Matches
a01c3d54,Aitor Fernández,es ESP,GK,Levante,29,1991,29.0,44,3,1,6,2,36.6,0.29,-5.4,-0.19,100,281,35.6,721,153,31.8,32.8,206,25.2,28.1,396,6,1.5,54,1.86,17.7,Matches
f127d782,Álvaro Fernández,es ESP,GK,Huesca,22,1998,22.0,32,2,0,7,1,30.1,0.30,-0.9,-0.04,108,276,39.1,635,114,33.4,34.1,173,37.0,37.2,281,12,4.3,23,1.05,15.4,Matches
307fcd26,Andrés Fernández,es ESP,GK,Huesca,33,1986,16.0,21,3,1,3,1,18.2,0.28,-1.8,-0.12,80,232,34.5,447,73,38.7,34.2,120,49.2,40.5,258,4,1.6,11,0.69,13.4,Matches
63d17038,Paulo Gazzaniga,ar ARG,GK,Elche,28,1992,8.0,9,1,0,3,1,6.3,0.24,-1.7,-0.21,59,151,39.1,180,24,55.0,45.0,63,82.5,62.5,93,2,2.2,3,0.38,12.4,Matches
fea23125,David Gil,es ESP,GK,Cádiz,26,1994,4.0,10,1,0,1,0,6.1,0.30,-3.9,-0.96,32,104,30.8,85,9,80.0,52.2,37,97.3,64.4,62,2,3.2,1,0.25,9.0,Matches
a4995f48,Sergio Herrera,es ESP,GK,Osasuna,27,1993,32.9,40,4,0,5,2,39.5,0.28,+1.5,+0.05,389,891,43.7,892,82,72.5,48.0,259,94.2,61.1,533,29,5.4,69,2.10,17.5,Matches
6c4776b1,Jeremías Ledesma,ar ARG,GK,Cádiz,27,1993,32.0,45,8,2,3,1,44.7,0.29,+0.7,+0.02,342,834,41.0,708,60,78.1,50.4,297,94.6,65.1,512,31,6.1,21,0.66,11.5,Matches
8fae77ea,Jordi Masip,es ESP,GK,Valladolid,31,1989,25.0,40,4,1,3,0,38.4,0.30,-1.6,-0.06,165,522,31.6,579,94,59.4,43.2,217,82.0,58.0,377,6,1.6,18,0.72,14.9,Matches
a9dc785c,Neto,br BRA,GK,Barcelona,31,1989,7.0,6,2,0,1,0,7.4,0.23,+1.4,+0.20,14,36,38.9,189,37,15.3,24.8,52,13.5,23.0,86,2,2.3,8,1.14,13.9,Matches
ee8508c0,Jan Oblak,si SVN,GK,Atlético Madrid,27,1993,38.0,25,1,0,5,3,33.1,0.25,+11.1,+0.29,202,539,37.5,710,131,49.7,39.1,293,63.5,45.9,513,14,2.7,27,0.71,15.7,Matches
97852360,Fernando Pacheco,es ESP,GK,Alavés,28,1992,37.2,57,3,0,5,0,51.1,0.35,-5.9,-0.16,305,601,50.7,777,112,53.7,40.3,299,61.5,44.6,535,18,3.4,37,0.99,14.5,Matches
8f29e08b,Juan Pérez,es ESP,GK,Osasuna,24,1996,3.0,3,1,0,0,0,3.1,0.26,+0.1,+0.02,20,55,36.4,58,8,48.3,41.3,29,93.1,63.4,44,0,0.0,3,1.00,13.0,Matches
374ee424,Álex Remiro,es ESP,GK,Real Sociedad,25,1995,38.0,38,3,0,4,1,35.0,0.30,-2.0,-0.05,204,520,39.2,998,132,38.2,35.1,217,64.1,49.7,415,9,2.2,47,1.24,17.3,Matches
ba3ca78f,Roberto,es ESP,GK,Valladolid,34,1986,13.0,17,2,0,2,0,15.0,0.30,-2.0,-0.15,86,288,29.9,299,39,64.5,46.8,114,83.3,58.9,201,1,0.5,10,0.77,13.9,Matches
cda0b317,Joel Robles,es ESP,GK,Betis,30,1990,18.0,25,4,1,4,2,22.8,0.30,-0.2,-0.01,95,278,34.2,440,81,48.4,37.8,116,56.0,42.7,218,9,4.1,32,1.78,19.0,Matches
24279b8b,Rubén,es ESP,GK,Osasuna,36,1984,2.1,5,0,0,0,0,4.4,0.55,-0.6,-0.29,32,50,64.0,45,2,80.0,49.5,14,100.0,59.6,23,1,4.3,4,1.93,19.4,Matches
625c144a,Gerónimo Rulli,ar ARG,GK,Villarreal,28,1992,2.0,4,0,0,0,0,2.7,0.33,-1.3,-0.67,10,25,40.0,76,18,21.1,25.9,21,42.9,41.1,33,1,3.0,0,0.00,9.7,Matches
ea83bfa6,Rui Silva,pt POR,GK,Granada,26,1994,32.0,55,5,2,3,1,48.6,0.29,-5.4,-0.17,264,713,37.0,806,66,61.7,43.9,265,81.5,55.7,461,10,2.2,51,1.59,18.8,Matches
5dcf3e90,Unai Simón,es ESP,GK,Athletic Club,23,1997,37.0,40,5,1,6,1,36.0,0.28,-3.0,-0.08,205,489,41.9,799,204,37.0,35.2,263,73.4,52.8,539,24,4.5,34,0.92,15.1,Matches
9970da54,Antonio Sivera,es ESP,GK,Alavés,23,1996,0.8,,,,,,0.0,0.04,,,4,14,28.6,15,4,53.3,39.5,7,85.7,53.6,10,1,10.0,,,8.0,Matches
8f8c6934,David Soria,es ESP,GK,Getafe,27,1993,28.0,31,6,0,3,3,28.7,0.27,+0.7,+0.03,291,730,39.9,660,15,85.3,51.7,195,85.6,55.6,317,12,3.8,46,1.64,18.5,Matches
