id,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
7f9c5d2d,Abner,br BRA,DF,Betis,22-333,2000,4.5,2,0,0,7,2,0,6,6,8,0,1,0,28,5,9,35.7,Matches
be6faae0,Álvaro Aceves,es ESP,GK,Valladolid,19-273,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0,Matches
81442ecb,Marcos Acuña,ar ARG,DF,Sevilla,31-179,1991,16.7,8,2,0,26,30,1,110,19,29,0,1,0,114,27,15,64.3,Matches
a2c1a8d3,Julen Agirrezabala,es ESP,GK,Athletic Club,22-120,2000,5.5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,,Matches
014aa7bd,Álvaro Aguado,es ESP,MF,Valladolid,26-359,1996,15.5,3,0,0,8,20,0,40,9,11,0,1,0,91,12,14,46.2,Matches
18abe173,Joseph Aidoo,gh GHA,DF,Celta Vigo,27-208,1995,28.8,4,0,0,16,12,0,0,25,30,0,1,0,181,53,52,50.5,Matches
06efa9dc,Sergio Akieme,es ESP,DF,Almería,25-130,1997,23.5,5,0,0,18,15,0,68,13,16,0,0,0,115,14,13,51.9,Matches
31f5b89b,Paul Akouokou,ci CIV,MF,Betis,25-126,1997,3.2,2,0,0,6,3,0,0,6,6,0,0,0,19,2,6,25.0,Matches
05439de2,David Alaba,at AUT,DF,Real Madrid,30-305,1992,18.4,3,0,0,8,3,0,26,14,11,0,1,0,80,8,8,50.0,Matches
455c26a4,Ángel Alarcón,es ESP,"MF,FW",Barcelona,18-345,2004,0.3,0,0,0,2,1,0,1,0,0,0,0,0,1,0,1,0.0,Matches
99ea2ddd,Tomás Alarcón,cl CHI,MF,Cádiz,24-096,1999,2.5,2,1,1,4,3,0,6,2,2,0,0,0,14,3,1,75.0,Matches
4601e194,Jordi Alba,es ESP,DF,Barcelona,34-035,1989,13.0,4,1,1,8,3,10,73,10,14,0,0,0,95,7,15,31.8,Matches
4bd414c1,Raúl Albiol,es ESP,DF,Villarreal,37-233,1985,22.5,6,0,0,17,13,1,1,14,17,0,0,0,103,37,23,61.7,Matches
036bba5f,Rubén Alcaraz,es ESP,MF,Cádiz,31-359,1991,18.0,9,1,1,32,23,0,35,17,25,0,0,0,132,25,21,54.3,Matches
bb08bce9,Omar Alderete,py PAR,DF,Getafe,26-120,1996,16.0,7,0,0,27,8,0,7,20,14,0,0,0,93,45,24,65.2,Matches
