id,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
7f9c5d2d,Abner,br BRA,DF,Betis,22-311,2000,4.1,157,212,74.1,2372,1026,86,98,87.8,53,75,70.7,10,22,45.5,0,0.1,0.5,-0.1,1,10,2,1,11,Matches
be6faae0,Álvaro Aceves,es ESP,GK,Valladolid,19-251,2003,0.1,7,8,87.5,151,113,2,2,100.0,4,4,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
81442ecb,Marcos Acuña,ar ARG,DF,Sevilla,31-157,1991,15.7,741,987,75.1,13908,5212,337,374,90.1,296,373,79.4,100,202,49.5,1,2.7,3.8,-1.7,24,46,31,13,82,Matches
a2c1a8d3,Julen Agirrezabala,es ESP,GK,Athletic Club,22-098,2000,5.5,118,177,66.7,3748,2845,13,13,100.0,60,63,95.2,45,101,44.6,0,0.0,0.0,0.0,0,2,0,0,0,Matches
014aa7bd,Álvaro Aguado,es ESP,MF,Valladolid,26-337,1996,14.9,662,803,82.4,13352,3741,259,292,88.7,260,299,87.0,124,176,70.5,2,1.5,1.5,+0.5,24,75,9,1,97,Matches
18abe173,Joseph Aidoo,gh GHA,DF,Celta Vigo,27-186,1995,26.8,1112,1301,85.5,22929,7120,282,329,85.7,699,752,93.0,126,195,64.6,0,0.0,0.2,0.0,1,60,4,0,72,Matches
06efa9dc,Sergio Akieme,es ESP,DF,Almería,25-108,1997,23.5,773,997,77.5,12672,4658,399,449,88.9,302,367,82.3,50,121,41.3,0,1.9,2.0,-1.9,20,42,20,16,56,Matches
31f5b89b,Paul Akouokou,ci CIV,MF,Betis,25-104,1997,3.1,106,114,93.0,1800,365,48,50,96.0,37,39,94.9,14,15,93.3,0,0.0,0.1,0.0,0,12,1,0,7,Matches
05439de2,David Alaba,at AUT,DF,Real Madrid,30-283,1992,17.9,900,1029,87.5,13105,4666,526,549,95.8,285,325,87.7,48,86,55.8,3,1.1,1.3,+1.9,16,62,10,4,61,Matches
455c26a4,Ángel Alarcón,es ESP,"MF,FW",Barcelona,18-323,2004,0.3,4,5,80.0,40,7,4,4,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
99ea2ddd,Tomás Alarcón,cl CHI,MF,Cádiz,24-074,1999,2.5,78,95,82.1,1688,582,28,32,87.5,27,34,79.4,20,25,80.0,0,0.1,0.1,-0.1,2,11,1,0,9,Matches
4601e194,Jordi Alba,es ESP,DF,Barcelona,34-013,1989,12.1,958,1134,84.5,15136,4551,519,566,91.7,346,399,86.7,67,107,62.6,3,5.5,5.2,-2.5,28,103,36,13,113,Matches
4bd414c1,Raúl Albiol,es ESP,DF,Villarreal,37-211,1985,22.4,1241,1400,88.6,26795,10162,304,331,91.8,718,769,93.4,209,278,75.2,0,0.0,0.4,0.0,2,93,5,0,92,Matches
036bba5f,Rubén Alcaraz,es ESP,MF,Cádiz,31-337,1991,15.0,495,639,77.5,9669,3010,198,235,84.3,201,231,87.0,80,137,58.4,0,1.0,0.9,-1.0,14,58,12,6,61,Matches
bb08bce9,Omar Alderete,py PAR,DF,Getafe,26-098,1996,13.0,304,521,58.3,6360,3171,92,135,68.1,168,222,75.7,43,144,29.9,1,0.7,0.8,+0.3,4,38,6,0,51,Matches
3d7e48ce,Iván Alejo,es ESP,"MF,FW",Cádiz,28-052,1995,9.9,128,231,55.4,1917,569,78,106,73.6,28,57,49.1,13,35,37.1,1,1.4,1.0,-0.4,13,6,13,12,7,Matches
6c811eb7,Carles Aleñá,es ESP,MF,Getafe,25-088,1998,17.8,506,661,76.6,8567,2139,242,284,85.2,172,220,78.2,61,93,65.6,2,0.8,1.0,+1.2,12,55,15,4,73,Matches
b907d169,Alejandro Alfaro,es ESP,MF,Elche,20-292,2002,0.2,1,1,100.0,3,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
acc1aefa,Ángel Algobia,es ESP,MF,Getafe,23-284,1999,11.4,390,483,80.7,6961,1452,168,198,84.8,159,180,88.3,49,76,64.5,0,0.1,0.3,-0.1,3,32,3,3,39,Matches
f8405304,Mohamed Ali Cho,fr FRA,FW,Real Sociedad,19-074,2004,4.2,56,92,60.9,775,205,37,42,88.1,14,32,43.8,2,9,22.2,2,1.5,1.2,+0.5,6,2,6,4,4,Matches
e6697917,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,22-308,2000,17.7,681,847,80.4,11227,3704,352,392,89.8,239,287,83.3,65,120,54.2,3,2.2,2.3,+0.8,23,94,23,7,118,Matches
f4290206,Marcos Alonso,es ESP,DF,Barcelona,32-096,1990,8.6,620,683,90.8,11728,4082,235,250,94.0,318,338,94.1,60,78,76.9,0,0.3,0.7,-0.3,4,46,6,3,55,Matches
629081bd,Carlos Álvarez,es ESP,FW,Sevilla,19-240,2003,0.1,,,,,,,,,,,,,,,0,,,,,,,,,Matches
852ddfb8,Gastón Álvarez,uy URU,DF,Getafe,23-010,2000,10.0,226,354,63.8,3702,1806,121,136,89.0,81,138,58.7,20,57,35.1,0,0.2,0.2,-0.2,3,19,3,2,27,Matches
3ecc11d8,Yeray Álvarez,es ESP,DF,Athletic Club,28-069,1995,21.1,922,1135,81.2,19394,7408,303,342,88.6,480,532,90.2,132,236,55.9,1,0.9,0.6,+0.1,12,115,8,4,127,Matches
00eba9c9,Selim Amallah,ma MAR,"MF,FW",Valladolid,26-139,1996,0.8,26,35,74.3,458,119,11,14,78.6,11,14,78.6,3,4,75.0,0,0.0,0.0,0.0,0,6,1,0,5,Matches
f3b1d9a2,Amath,sn SEN,"MF,FW",Mallorca,26-261,1996,6.5,109,146,74.7,1448,440,73,81,90.1,25,40,62.5,5,8,62.5,0,0.8,0.4,-0.8,2,6,4,2,10,Matches
22721b88,Jordan Amavi,fr FRA,DF,Getafe,29-025,1994,2.1,51,96,53.1,779,372,28,39,71.8,18,36,50.0,3,11,27.3,0,0.0,0.0,0.0,0,2,0,0,5,Matches
fdd26d71,Fabrizio Angileri,ar ARG,DF,Getafe,29-019,1994,6.0,141,242,58.3,2494,904,64,81,79.0,60,103,58.3,13,36,36.1,0,0.0,0.1,0.0,0,13,1,0,15,Matches
c93231dc,Anuar,ma MAR,"MF,FW",Valladolid,28-078,1995,2.3,30,40,75.0,363,114,18,23,78.3,9,10,90.0,0,0,,0,0.4,0.0,-0.4,4,3,0,0,3,Matches
58afe001,Mauro Arambarri,uy URU,MF,Getafe,27-185,1995,9.2,293,374,78.3,5892,1794,102,115,88.7,133,156,85.3,52,90,57.8,1,1.5,1.5,-0.5,14,29,4,2,30,Matches
2bef2bca,Ronald Araújo,uy URU,DF,Barcelona,24-027,1999,13.3,696,792,87.9,13478,4297,244,262,93.1,366,396,92.4,78,116,67.2,2,0.5,0.5,+1.5,3,60,1,0,47,Matches
1e465e70,Sergio Arribas,es ESP,FW,Real Madrid,21-185,2001,0.1,8,9,88.9,103,32,6,6,100.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,1,1,1,0,2,Matches
6091cf45,Roberto Arroyo,es ESP,MF,Valladolid,19-221,2003,0.2,0,5,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
5d133e96,Ricard Artero,es ESP,FW,Girona,20-057,2003,0.1,5,7,71.4,48,15,5,7,71.4,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
759d8dd7,Santiago Arzamendia,py PAR,"DF,MF",Cádiz,24-333,1998,4.3,115,170,67.6,1893,834,61,74,82.4,39,53,73.6,10,25,40.0,0,0.5,0.2,-0.5,6,9,3,0,11,Matches
9f0ea33f,Sergio Asenjo,es ESP,GK,Valladolid,33-279,1989,10.0,233,353,66.0,7237,5179,32,32,100.0,107,112,95.5,91,203,44.8,0,0.0,0.0,0.0,0,4,0,0,0,Matches
45af8a54,Marco Asensio,es ESP,"FW,MF",Real Madrid,27-072,1996,8.8,371,450,82.4,5676,1168,214,232,92.2,105,122,86.1,34,62,54.8,4,2.9,1.9,+1.1,22,38,10,3,40,Matches
7dcf86f6,Iago Aspas,es ESP,FW,Celta Vigo,35-245,1987,25.4,738,963,76.6,11307,2513,423,507,83.4,211,276,76.4,66,92,71.7,3,4.8,4.4,-1.8,67,61,35,2,115,Matches
d5dd5f1f,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,33-289,1989,0.1,3,3,100.0,59,26,0,0,,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
9fec8860,Ludwig Augustinsson,se SWE,DF,Mallorca,28-347,1994,1.3,43,63,68.3,631,238,28,30,93.3,11,21,52.4,2,10,20.0,0,0.0,0.1,0.0,1,1,2,2,3,Matches
253a06b9,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,29-056,1994,16.3,244,460,53.0,5074,1338,114,161,70.8,68,129,52.7,56,124,45.2,2,1.6,2.1,+0.4,17,23,23,14,33,Matches
bfd381b3,Iddrisu Baba,gh GHA,MF,Mallorca,27-071,1996,13.7,357,432,82.6,6455,1658,151,168,89.9,161,180,89.4,39,63,61.9,0,0.2,0.2,-0.2,5,37,2,0,36,Matches
075fe5a3,Srđan Babić,rs SRB,DF,Almería,26-346,1996,23.5,869,1018,85.4,17302,6280,285,308,92.5,472,524,90.1,105,165,63.6,0,0.2,0.3,-0.2,6,39,2,1,47,Matches
114bbdee,Loïc Bade,fr FRA,DF,Sevilla,22-357,2000,8.0,480,542,88.6,8729,3097,181,190,95.3,257,275,93.5,37,59,62.7,0,0.1,0.1,-0.1,2,31,0,0,27,Matches
e4346678,Édgar Badía,es ESP,GK,Elche,31-050,1992,27.0,527,759,69.4,17195,13498,64,65,98.5,230,241,95.4,231,447,51.7,0,0.0,0.0,0.0,0,10,0,0,0,Matches
518f2234,Alex Baena,es ESP,"MF,FW",Villarreal,21-257,2001,15.3,416,531,78.3,6701,1998,212,238,89.1,154,189,81.5,36,56,64.3,1,4.5,2.6,-3.5,25,49,28,1,79,Matches
5ccc9672,Alejandro Balde,es ESP,DF,Barcelona,19-167,2003,18.4,1051,1180,89.1,15568,3101,619,657,94.2,353,387,91.2,57,83,68.7,5,3.5,3.5,+1.5,18,56,12,7,53,Matches
1fe67e86,Mikel Balenziaga,es ESP,DF,Athletic Club,35-033,1988,1.3,49,69,71.0,819,242,25,29,86.2,19,26,73.1,5,9,55.6,0,0.0,0.1,0.0,0,4,2,1,7,Matches
cee88597,Iván Balliu,al ALB,DF,Rayo Vallecano,31-092,1992,24.2,1042,1339,77.8,17300,6793,516,561,92.0,416,528,78.8,89,175,50.9,0,2.3,2.1,-2.3,25,68,24,13,95,Matches
35f6db55,Léo Baptistão,br BRA,"FW,MF",Almería,30-220,1992,14.5,277,406,68.2,4494,1174,136,169,80.5,97,136,71.3,25,54,46.3,1,1.1,0.9,-0.1,14,20,10,3,39,Matches
03049c8c,Keidi Bare,al ALB,MF,Espanyol,25-218,1997,3.7,142,174,81.6,2415,610,67,81,82.7,56,62,90.3,17,25,68.0,0,0.2,0.1,-0.2,2,15,1,0,15,Matches
aad53e64,Kike Barja,es ESP,"FW,MF",Osasuna,26-002,1997,8.1,183,290,63.1,2958,738,100,123,81.3,52,93,55.9,20,44,45.5,2,1.6,2.1,+0.4,17,7,19,15,22,Matches
200e89e1,Ander Barrenetxea,es ESP,"DF,FW",Real Sociedad,21-097,2001,4.6,149,195,76.4,2230,714,75,85,88.2,60,70,85.7,6,16,37.5,0,0.0,0.1,0.0,1,8,1,0,12,Matches
45736cec,Pablo Barrios,es ESP,MF,Atlético Madrid,19-292,2003,5.1,248,304,81.6,3922,1075,131,145,90.3,92,111,82.9,16,27,59.3,1,0.6,0.2,+0.4,3,32,1,0,32,Matches
d637fc22,Rodrigo Battaglia,ar ARG,MF,Mallorca,31-265,1991,7.6,185,232,79.7,2885,894,93,106,87.7,78,93,83.9,11,20,55.0,0,0.0,0.1,0.0,1,24,1,0,19,Matches
d8712bf9,Bebé,cv CPV,FW,Rayo Vallecano,32-265,1990,0.7,21,38,55.3,411,101,8,9,88.9,9,17,52.9,4,7,57.1,0,0.1,0.1,-0.1,2,2,1,1,1,Matches
f874dd44,Héctor Bellerín,es ESP,DF,Barcelona,28-015,1995,1.6,77,96,80.2,1146,419,48,52,92.3,21,25,84.0,5,8,62.5,0,0.1,0.5,-0.1,1,10,4,0,13,Matches
ed5c5fa3,Fran Beltrán,es ESP,MF,Celta Vigo,24-059,1999,24.3,1226,1384,88.6,22284,4983,495,540,91.7,575,620,92.7,129,171,75.4,1,1.3,1.9,-0.3,18,96,10,2,103,Matches
70d74ece,Karim Benzema,fr FRA,FW,Real Madrid,35-105,1987,16.2,643,750,85.7,7699,1599,433,482,89.8,138,148,93.2,15,20,75.0,3,4.2,3.5,-1.2,35,46,32,0,96,Matches
b6e50615,Yuri Berchiche,es ESP,DF,Athletic Club,33-052,1990,15.7,732,906,80.8,12509,4932,356,393,90.6,301,361,83.4,64,94,68.1,1,0.8,1.2,+0.2,11,81,25,10,94,Matches
dc1c2fce,Álex Berenguer,es ESP,FW,Athletic Club,27-273,1995,18.8,457,681,67.1,6547,1823,284,332,85.5,110,182,60.4,39,98,39.8,1,3.0,3.2,-2.0,34,21,27,8,60,Matches
697295b1,Pedro Bigas,es ESP,DF,Elche,32-200,1990,17.0,598,763,78.4,11736,5341,222,246,90.2,291,329,88.4,77,156,49.4,0,0.0,0.2,0.0,0,53,1,1,62,Matches
47c609d5,El Bilal Touré,ml MLI,FW,Almería,21-182,2001,13.0,171,243,70.4,2101,289,121,148,81.8,42,63,66.7,2,2,100.0,2,1.3,0.7,+0.7,14,7,3,1,13,Matches
506daeac,Blanco,es ESP,MF,Cádiz,22-254,2000,1.8,57,61,93.4,818,137,31,33,93.9,22,24,91.7,1,1,100.0,0,0.0,0.1,0.0,1,3,1,0,2,Matches
1657f448,Lautaro Blanco,ar ARG,"MF,DF",Elche,24-043,1999,3.9,89,162,54.9,1849,1182,40,49,81.6,29,55,52.7,20,48,41.7,1,0.5,0.4,+0.5,6,10,6,4,13,Matches
0da6a13e,Theo Bongonda,cd COD,"MF,FW",Cádiz,27-134,1995,13.2,191,301,63.5,2602,710,127,164,77.4,42,62,67.7,13,48,27.1,2,0.7,0.9,+1.3,9,6,5,1,19,Matches
7f271d74,Wassim Boullif,es ESP,"DF,MF",Espanyol,18-059,2005,1.0,15,17,88.2,306,95,7,7,100.0,4,4,100.0,4,5,80.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
f6798fc3,Yassine Bounou,ma MAR,GK,Sevilla,31-363,1991,22.9,697,921,75.7,18055,12676,152,152,100.0,334,342,97.7,209,423,49.4,0,0.0,0.0,0.0,0,6,0,0,1,Matches
d49f3e6b,Lucas Boyé,ar ARG,FW,Elche,27-034,1996,18.8,357,453,78.8,5022,960,200,231,86.6,101,121,83.5,23,28,82.1,2,1.8,1.2,+0.2,19,23,19,5,45,Matches
