id,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
7f9c5d2d,Abner,br BRA,DF,Betis,22-318,2000,4.4,221,169,51,1,0,2,6,50,0,0,0,0,164,1,9,Matches
be6faae0,Álvaro Aceves,es ESP,GK,Valladolid,19-258,2003,0.1,8,7,1,0,0,0,0,0,0,0,0,0,7,0,0,Matches
81442ecb,Marcos Acuña,ar ARG,DF,Sevilla,31-164,1991,16.7,1030,821,208,43,3,11,110,138,27,5,17,0,769,1,17,Matches
a2c1a8d3,Julen Agirrezabala,es ESP,GK,Athletic Club,22-105,2000,5.5,177,120,57,5,0,0,0,0,0,0,0,0,118,0,0,Matches
014aa7bd,Álvaro Aguado,es ESP,MF,Valladolid,26-344,1996,14.9,803,737,64,38,3,30,38,3,23,1,16,0,660,2,9,Matches
18abe173,Joseph Aidoo,gh GHA,DF,Celta Vigo,27-193,1995,27.8,1382,1345,34,31,0,4,0,2,0,0,0,0,1183,3,12,Matches
06efa9dc,Sergio Akieme,es ESP,DF,Almería,25-115,1997,23.5,997,779,211,23,3,13,68,188,0,0,0,0,773,7,20,Matches
31f5b89b,Paul Akouokou,ci CIV,MF,Betis,25-111,1997,3.1,114,111,2,2,1,2,0,0,0,0,0,0,106,1,2,Matches
05439de2,David Alaba,at AUT,DF,Real Madrid,30-290,1992,18.4,1059,956,94,41,4,2,26,46,3,3,0,0,926,9,11,Matches
455c26a4,Ángel Alarcón,es ESP,"MF,FW",Barcelona,18-330,2004,0.3,5,5,0,0,0,0,1,0,0,0,0,0,4,0,0,Matches
99ea2ddd,Tomás Alarcón,cl CHI,MF,Cádiz,24-081,1999,2.5,95,88,7,5,1,3,6,0,2,1,1,0,78,0,0,Matches
4601e194,Jordi Alba,es ESP,DF,Barcelona,34-020,1989,12.1,1134,985,145,33,4,7,67,112,0,0,0,0,958,4,22,Matches
4bd414c1,Raúl Albiol,es ESP,DF,Villarreal,37-218,1985,22.4,1400,1359,39,31,0,14,1,0,0,0,0,0,1241,2,4,Matches
036bba5f,Rubén Alcaraz,es ESP,MF,Cádiz,31-344,1991,16.0,702,650,49,34,4,15,32,0,11,7,1,1,545,3,12,Matches
bb08bce9,Omar Alderete,py PAR,DF,Getafe,26-105,1996,14.0,568,536,25,19,0,14,7,6,0,0,0,0,328,7,9,Matches
3d7e48ce,Iván Alejo,es ESP,"MF,FW",Cádiz,28-059,1995,10.1,246,233,11,1,0,0,66,8,2,0,2,0,140,2,15,Matches
6c811eb7,Carles Aleñá,es ESP,MF,Getafe,25-095,1998,18.0,669,653,11,6,3,9,27,2,1,1,0,0,511,5,15,Matches
b907d169,Alejandro Alfaro,es ESP,MF,Elche,20-299,2002,0.2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
acc1aefa,Ángel Algobia,es ESP,MF,Getafe,23-291,1999,11.7,494,477,15,13,0,4,11,0,1,1,0,0,398,2,8,Matches
f8405304,Mohamed Ali Cho,fr FRA,FW,Real Sociedad,19-081,2004,4.3,96,91,4,0,0,0,20,0,0,0,0,0,60,1,4,Matches
e6697917,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,22-315,2000,19.7,966,869,87,40,6,6,67,9,26,11,10,0,776,10,12,Matches
f4290206,Marcos Alonso,es ESP,DF,Barcelona,32-103,1990,8.6,683,653,29,11,1,6,11,10,7,1,4,0,620,1,7,Matches
629081bd,Carlos Álvarez,es ESP,FW,Sevilla,19-247,2003,0.1,,,,,,,0,,,,,,,,,Matches
852ddfb8,Gastón Álvarez,uy URU,DF,Getafe,23-017,2000,10.0,354,286,68,5,0,2,12,63,0,0,0,0,226,0,8,Matches
3ecc11d8,Yeray Álvarez,es ESP,DF,Athletic Club,28-076,1995,21.2,1136,1065,68,60,4,31,9,2,0,0,0,0,922,3,10,Matches
00eba9c9,Selim Amallah,ma MAR,"MF,FW",Valladolid,26-146,1996,1.1,43,41,2,0,0,0,1,1,0,0,0,0,33,0,0,Matches
f3b1d9a2,Amath,sn SEN,"MF,FW",Mallorca,26-268,1996,7.4,164,155,8,0,1,0,8,4,0,0,0,0,125,1,7,Matches
22721b88,Jordan Amavi,fr FRA,DF,Getafe,29-032,1994,2.1,96,69,27,1,0,0,6,26,0,0,0,0,51,0,5,Matches
fdd26d71,Fabrizio Angileri,ar ARG,DF,Getafe,29-026,1994,6.0,242,175,67,3,0,2,10,64,0,0,0,0,141,0,13,Matches
c93231dc,Anuar,ma MAR,"MF,FW",Valladolid,28-085,1995,2.3,40,39,1,0,0,0,1,1,0,0,0,0,30,0,4,Matches
58afe001,Mauro Arambarri,uy URU,MF,Getafe,27-192,1995,9.2,374,314,60,40,0,6,39,0,20,14,5,1,293,0,5,Matches
2bef2bca,Ronald Araújo,uy URU,DF,Barcelona,24-034,1999,13.3,792,739,50,26,2,11,3,22,0,0,0,0,696,3,5,Matches
1e465e70,Sergio Arribas,es ESP,FW,Real Madrid,21-192,2001,0.1,9,8,1,0,0,0,1,0,1,1,0,0,8,0,0,Matches
6091cf45,Roberto Arroyo,es ESP,MF,Valladolid,19-228,2003,0.2,5,5,0,0,0,1,1,0,0,0,0,0,0,0,2,Matches
5d133e96,Ricard Artero,es ESP,FW,Girona,20-064,2003,0.1,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
759d8dd7,Santiago Arzamendia,py PAR,"DF,MF",Cádiz,24-340,1998,4.3,170,143,26,4,0,2,8,21,1,1,0,0,115,1,12,Matches
9f0ea33f,Sergio Asenjo,es ESP,GK,Valladolid,33-286,1989,10.0,353,234,118,26,0,2,0,0,0,0,0,0,233,1,1,Matches
45af8a54,Marco Asensio,es ESP,"FW,MF",Real Madrid,27-079,1996,9.8,489,443,45,12,3,4,47,8,24,14,2,0,404,1,14,Matches
7dcf86f6,Iago Aspas,es ESP,FW,Celta Vigo,35-252,1987,26.4,1011,955,51,16,12,11,31,9,11,2,3,0,777,5,27,Matches
d5dd5f1f,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,33-296,1989,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
9fec8860,Ludwig Augustinsson,se SWE,DF,Mallorca,28-354,1994,1.3,63,54,9,0,0,0,6,9,0,0,0,0,43,0,0,Matches
253a06b9,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,29-063,1994,16.3,460,420,37,10,1,20,75,7,14,6,6,0,244,3,19,Matches
bfd381b3,Iddrisu Baba,gh GHA,MF,Mallorca,27-078,1996,13.7,432,422,8,7,1,3,0,1,0,0,0,0,357,2,7,Matches
075fe5a3,Srđan Babić,rs SRB,DF,Almería,26-353,1996,24.5,1047,990,50,45,0,12,2,5,0,0,0,0,893,7,7,Matches
114bbdee,Loïc Bade,fr FRA,DF,Sevilla,22-364,2000,9.0,567,555,9,7,0,0,3,1,0,0,0,0,498,3,7,Matches
e4346678,Édgar Badía,es ESP,GK,Elche,31-057,1992,28.0,804,484,316,89,0,0,0,0,0,0,0,0,558,4,0,Matches
518f2234,Alex Baena,es ESP,"MF,FW",Villarreal,21-264,2001,16.3,580,562,14,6,15,1,16,1,4,3,0,0,457,4,23,Matches
5ccc9672,Alejandro Balde,es ESP,DF,Barcelona,19-174,2003,18.4,1180,1009,163,23,0,5,37,140,0,0,0,0,1051,8,13,Matches
1fe67e86,Mikel Balenziaga,es ESP,DF,Athletic Club,35-040,1988,1.3,69,57,11,0,0,0,3,11,0,0,0,0,49,1,0,Matches
cee88597,Iván Balliu,al ALB,DF,Rayo Vallecano,31-099,1992,26.2,1435,1113,311,21,0,2,86,290,0,0,0,0,1109,11,33,Matches
35f6db55,Léo Baptistão,br BRA,"FW,MF",Almería,30-227,1992,15.3,424,415,7,2,6,5,13,5,0,0,0,0,287,2,17,Matches
03049c8c,Keidi Bare,al ALB,MF,Espanyol,25-225,1997,3.7,174,170,4,3,0,1,4,0,1,1,0,0,143,0,2,Matches
aad53e64,Kike Barja,es ESP,"FW,MF",Osasuna,26-009,1997,9.0,322,304,18,1,0,2,87,6,10,3,4,0,205,0,12,Matches
200e89e1,Ander Barrenetxea,es ESP,"DF,FW",Real Sociedad,21-104,2001,4.9,210,181,28,4,0,0,6,23,1,0,0,0,161,1,10,Matches
45736cec,Pablo Barrios,es ESP,MF,Atlético Madrid,19-299,2003,5.3,329,324,3,1,1,4,6,2,0,0,0,0,267,2,8,Matches
d637fc22,Rodrigo Battaglia,ar ARG,MF,Mallorca,31-272,1991,7.6,232,224,6,6,0,2,1,0,0,0,0,0,185,2,4,Matches
d8712bf9,Bebé,cv CPV,FW,Rayo Vallecano,32-272,1990,0.7,38,26,11,6,0,2,16,2,3,2,0,0,21,1,2,Matches
f874dd44,Héctor Bellerín,es ESP,DF,Barcelona,28-022,1995,1.6,96,82,13,1,1,0,3,12,0,0,0,0,77,1,3,Matches
ed5c5fa3,Fran Beltrán,es ESP,MF,Celta Vigo,24-066,1999,25.2,1457,1344,111,69,0,10,33,5,24,11,10,1,1294,2,17,Matches
50cbc806,Iker Benito,es ESP,FW,Osasuna,20-243,2002,0.1,4,4,0,0,0,0,1,0,0,0,0,0,4,0,0,Matches
70d74ece,Karim Benzema,fr FRA,FW,Real Madrid,35-112,1987,16.8,761,720,36,4,5,4,2,1,6,0,0,0,654,5,20,Matches
b6e50615,Yuri Berchiche,es ESP,DF,Athletic Club,33-059,1990,16.7,975,782,188,30,1,14,49,158,0,0,0,0,790,5,21,Matches
dc1c2fce,Álex Berenguer,es ESP,FW,Athletic Club,27-280,1995,19.5,709,598,101,28,0,2,99,11,62,28,11,1,477,10,22,Matches
697295b1,Pedro Bigas,es ESP,DF,Elche,32-207,1990,18.0,788,727,53,41,0,15,5,9,0,0,0,0,616,8,9,Matches
47c609d5,El Bilal Touré,ml MLI,FW,Almería,21-189,2001,13.0,243,219,22,0,0,0,4,0,0,0,0,0,171,2,8,Matches
506daeac,Blanco,es ESP,MF,Cádiz,22-261,2000,1.8,61,61,0,0,0,1,0,0,0,0,0,0,57,0,0,Matches
1657f448,Lautaro Blanco,ar ARG,"MF,DF",Elche,24-050,1999,4.4,173,126,46,2,0,0,38,43,1,0,0,1,92,1,8,Matches
0da6a13e,Theo Bongonda,cd COD,MF,Cádiz,27-141,1995,14.2,331,292,35,13,1,0,53,4,18,10,2,0,217,4,14,Matches
7f271d74,Wassim Boullif,es ESP,"DF,MF",Espanyol,18-066,2005,1.0,17,16,1,0,0,0,0,1,0,0,0,0,15,0,1,Matches
f6798fc3,Yassine Bounou,ma MAR,GK,Sevilla,32-005,1991,22.9,921,718,202,47,0,2,0,0,0,0,0,0,697,1,0,Matches
d49f3e6b,Lucas Boyé,ar ARG,FW,Elche,27-041,1996,19.8,469,419,47,0,2,5,11,0,0,0,0,0,369,3,21,Matches
fd771f95,Martin Braithwaite,dk DEN,"FW,MF",Espanyol,31-309,1991,21.1,335,322,11,0,1,2,16,0,0,0,0,0,212,2,15,Matches
2475cf9b,Juan Brandáriz,es ESP,DF,Almería,24-039,1999,13.3,623,539,82,20,0,3,6,58,0,0,0,0,511,2,9,Matches
4accb7e0,Darko Brašanac,rs SRB,MF,Osasuna,31-057,1992,11.6,376,351,23,8,0,0,7,2,0,0,0,0,306,2,10,Matches
10072610,Claudio Bravo,cl CHI,GK,Betis,39-362,1983,6.0,182,111,69,21,0,1,0,0,0,0,0,0,108,2,0,Matches
7b5ab7f2,Bryan,es ESP,"DF,MF",Sevilla,22-058,2001,5.3,213,182,30,2,0,1,13,23,5,0,1,0,160,1,14,Matches
8f3565b3,Ante Budimir,hr CRO,FW,Osasuna,31-262,1991,14.4,224,212,12,0,0,0,2,1,0,0,0,0,135,0,6,Matches
edc98fac,Santiago Bueno,uy URU,DF,Girona,24-152,1998,25.9,1437,1367,67,53,1,15,4,14,0,0,0,0,1236,3,11,Matches
5ab0ea87,Sergio Busquets,es ESP,MF,Barcelona,34-268,1988,18.3,1324,1274,48,47,11,3,3,1,0,0,0,0,1169,2,15,Matches
69cbc8b6,Leandro Cabrera,uy URU,DF,Espanyol,31-297,1991,21.8,986,899,78,48,0,8,7,30,0,0,0,0,706,9,11,Matches
fe05804b,Cala,es ESP,DF,Cádiz,33-135,1989,1.5,38,33,5,5,0,2,0,0,0,0,0,0,30,0,0,Matches
41b3069f,Fernando Calero,es ESP,"DF,MF",Espanyol,27-208,1995,13.8,577,517,58,24,0,10,4,34,0,0,0,0,460,2,2,Matches
af34f10d,Alexander Callens,pe PER,DF,Girona,30-341,1992,0.6,48,45,3,0,0,0,0,3,0,0,0,0,41,0,0,Matches
7b9c2d84,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,20-151,2002,16.2,1015,936,74,27,3,4,5,47,0,0,0,0,924,5,11,Matches
873619c6,Sergio Camello,es ESP,FW,Rayo Vallecano,22-059,2001,21.6,397,361,35,2,1,0,3,3,0,0,0,0,314,1,8,Matches
a6de370d,Sergio Canales,es ESP,"FW,MF",Betis,32-053,1991,18.6,1039,937,87,34,10,9,92,5,44,17,23,0,776,15,31,Matches
37f1cf47,Ander Capa,es ESP,"DF,MF",Athletic Club,31-061,1992,0.4,44,33,9,0,0,0,3,9,0,0,0,0,36,2,0,Matches
5acc4a10,Étienne Capoue,fr FRA,MF,Villarreal,34-273,1988,16.3,767,746,21,18,5,4,8,2,0,0,0,0,669,0,9,Matches
c4b888df,Isaac Carcelen,es ESP,DF,Cádiz,29-352,1993,16.7,641,516,123,18,0,4,32,101,4,1,3,0,503,2,9,Matches
688b96e3,Juan Carlos,es ESP,GK,Girona,35-080,1988,10.0,340,265,75,13,0,0,0,0,0,0,0,0,288,0,0,Matches
5b93209a,José Carlos Lazo,es ESP,"MF,FW",Almería,27-053,1996,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
5b93209a,José Carlos Lazo,es ESP,"MF,FW",Espanyol,27-053,1996,1.8,35,31,3,0,0,0,4,1,2,0,0,0,25,1,2,Matches
2dce876a,Carmona,es ESP,"MF,DF",Elche,21-071,2002,6.5,186,157,28,2,0,1,12,26,0,0,0,0,129,1,9,Matches
