id,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
7f9c5d2d,Abner,br BRA,DF,Betis,22-294,2000,7,366,52,16.3,4.1,5,70,2,2,8,2,1.43,7,8,-1,-0.25,-0.63,8.0,8.2,-0.2,-0.05,-0.27,Matches
be6faae0,Álvaro Aceves,es ESP,GK,Valladolid,19-234,2003,1,13,13,0.6,0.1,0,,0,1,13,12,0.00,0,0,0,0.00,+0.64,0.3,0.2,+0.1,+0.73,+1.44,Matches
81442ecb,Marcos Acuña,ar ARG,DF,Sevilla,31-140,1991,20,1238,62,55.0,13.8,14,76,8,6,29,0,1.25,17,25,-8,-0.58,-0.31,18.0,23.1,-5.1,-0.37,-0.01,Matches
a2c1a8d3,Julen Agirrezabala,es ESP,GK,Athletic Club,22-081,2000,4,315,79,14.0,3.5,3,90,3,1,45,17,0.25,1,2,-1,-0.29,-0.61,4.2,3.4,+0.9,+0.24,-0.22,Matches
014aa7bd,Álvaro Aguado,es ESP,MF,Valladolid,26-320,1996,23,1265,55,56.2,14.1,13,77,8,10,27,2,1.22,13,21,-8,-0.57,+0.16,13.0,23.9,-11.0,-0.78,-0.18,Matches
18abe173,Joseph Aidoo,gh GHA,DF,Celta Vigo,27-169,1995,25,2233,89,99.2,24.8,25,89,24,0,,0,1.24,29,34,-5,-0.20,-0.20,30.6,27.8,+2.9,+0.12,-0.60,Matches
06efa9dc,Sergio Akieme,es ESP,DF,Almería,25-091,1997,25,2115,85,94.0,23.5,25,85,22,0,,0,1.00,28,40,-12,-0.51,+1.49,27.2,38.5,-11.3,-0.48,+1.00,Matches
31f5b89b,Paul Akouokou,ci CIV,MF,Betis,25-087,1997,7,283,40,12.6,3.1,2,89,1,5,21,11,1.86,1,5,-4,-1.27,-1.78,2.0,4.9,-2.9,-0.92,-1.26,Matches
05439de2,David Alaba,at AUT,DF,Real Madrid,30-266,1992,19,1545,81,68.7,17.2,17,89,14,2,19,0,2.32,40,15,+25,+1.46,+0.69,37.6,17.9,+19.7,+1.15,-0.12,Matches
455c26a4,Ángel Alarcón,es ESP,"MF,FW",Barcelona,18-306,2004,4,25,6,1.1,0.3,0,,0,4,6,5,2.25,0,0,0,0.00,-1.58,0.9,0.9,-0.1,-0.28,-1.47,Matches
