id,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
7f9c5d2d,Abner,br BRA,DF,Betis,22-296,2000,4.1,263,18,85,115,67,8,263,6,1,16.7,5,83.3,123,466,257,4,2,3,5,3,138,16,Matches
be6faae0,Álvaro Aceves,es ESP,GK,Valladolid,19-236,2003,0.1,8,6,8,0,0,0,8,0,0,,0,,8,42,34,0,0,0,0,0,2,0,Matches
81442ecb,Marcos Acuña,ar ARG,DF,Sevilla,31-142,1991,13.8,1031,43,284,453,304,20,1031,33,11,33.3,18,54.5,574,2633,1337,28,20,4,21,16,620,62,Matches
a2c1a8d3,Julen Agirrezabala,es ESP,GK,Athletic Club,22-083,2000,4.5,156,129,156,0,0,0,156,0,0,,0,,91,427,280,0,0,0,0,0,67,0,Matches
014aa7bd,Álvaro Aguado,es ESP,MF,Valladolid,26-322,1996,14.4,876,21,190,486,210,11,876,18,8,44.4,5,27.8,561,3658,1583,19,29,1,15,3,617,30,Matches
18abe173,Joseph Aidoo,gh GHA,DF,Celta Vigo,27-171,1995,25.8,1473,244,808,648,29,11,1473,8,5,62.5,1,12.5,910,4326,2239,10,4,0,9,8,914,2,Matches
06efa9dc,Sergio Akieme,es ESP,DF,Almería,25-093,1997,23.5,1200,72,396,534,291,34,1200,45,25,55.6,16,35.6,618,4019,2154,58,34,11,26,24,673,81,Matches
31f5b89b,Paul Akouokou,ci CIV,MF,Betis,25-089,1997,3.1,135,9,34,88,14,0,135,1,0,0.0,1,100.0,59,162,39,0,1,0,0,0,85,1,Matches
05439de2,David Alaba,at AUT,DF,Real Madrid,30-268,1992,17.2,1081,100,410,446,231,19,1081,4,3,75.0,1,25.0,645,2821,1659,14,22,2,7,3,779,58,Matches
455c26a4,Ángel Alarcón,es ESP,"MF,FW",Barcelona,18-308,2004,0.3,9,1,1,1,7,1,9,1,0,0.0,0,0.0,6,25,13,0,0,0,0,1,8,2,Matches
99ea2ddd,Tomás Alarcón,cl CHI,MF,Cádiz,24-059,1999,2.5,113,3,20,68,25,1,113,0,0,,0,,62,267,81,2,0,0,3,4,74,6,Matches
4601e194,Jordi Alba,es ESP,DF,Barcelona,33-363,1989,11.1,1134,21,204,591,346,23,1134,8,4,50.0,4,50.0,686,2805,1532,31,21,4,4,6,821,106,Matches
4bd414c1,Raúl Albiol,es ESP,DF,Villarreal,37-196,1985,21.9,1569,206,783,752,42,8,1569,6,3,50.0,3,50.0,971,6500,4312,12,9,0,11,5,1066,2,Matches
036bba5f,Rubén Alcaraz,es ESP,MF,Cádiz,31-322,1991,14.0,734,43,191,435,115,13,733,14,8,57.1,5,35.7,391,2047,827,17,12,2,25,18,419,10,Matches
bb08bce9,Omar Alderete,py PAR,DF,Getafe,26-083,1996,12.0,617,56,262,319,46,12,617,14,10,71.4,4,28.6,297,1499,964,16,8,2,8,5,313,6,Matches
3d7e48ce,Iván Alejo,es ESP,"MF,FW",Cádiz,28-037,1995,9.2,351,17,76,104,174,15,351,28,6,21.4,15,53.6,210,1458,603,30,19,2,24,18,227,57,Matches
6c811eb7,Carles Aleñá,es ESP,MF,Getafe,25-073,1998,17.5,803,14,116,469,227,15,803,28,17,60.7,7,25.0,479,2147,918,18,18,1,35,19,583,60,Matches
b907d169,Alejandro Alfaro,es ESP,MF,Elche,20-277,2002,0.2,2,0,0,1,1,0,2,1,0,0.0,1,100.0,1,6,0,0,1,0,0,0,2,0,Matches
acc1aefa,Ángel Algobia,es ESP,MF,Getafe,23-269,1999,10.9,557,10,125,352,81,8,557,5,3,60.0,2,40.0,296,1351,605,8,3,2,11,5,351,10,Matches
f8405304,Mohamed Ali Cho,fr FRA,FW,Real Sociedad,19-059,2004,3.9,163,2,24,54,92,15,163,27,9,33.3,13,48.1,113,896,482,21,5,9,23,6,111,42,Matches
e6697917,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,22-293,2000,17.7,1022,22,163,508,367,13,1022,55,27,49.1,20,36.4,646,3810,2020,45,41,2,26,30,686,47,Matches
f4290206,Marcos Alonso,es ESP,DF,Barcelona,32-081,1990,7.6,677,51,238,388,52,5,677,1,1,100.0,0,0.0,457,2790,1674,18,8,0,6,1,506,3,Matches
629081bd,Carlos Álvarez,es ESP,FW,Sevilla,19-225,2003,0.1,,,,,,,,,,,,,,,,,,,,,,,Matches
852ddfb8,Gastón Álvarez,uy URU,DF,Getafe,22-360,2000,9.0,429,34,146,220,66,5,429,12,4,33.3,7,58.3,159,577,243,5,2,0,8,3,212,16,Matches
3ecc11d8,Yeray Álvarez,es ESP,DF,Athletic Club,28-054,1995,20.1,1290,132,540,700,64,13,1290,8,4,50.0,0,0.0,709,4816,3267,25,13,1,4,1,718,7,Matches
00eba9c9,Selim Amallah,ma MAR,MF,Valladolid,26-124,1996,0.6,41,0,7,30,6,1,41,8,3,37.5,4,50.0,21,158,83,3,2,0,2,3,21,0,Matches
f3b1d9a2,Amath,sn SEN,"MF,FW",Mallorca,26-246,1996,6.3,228,6,28,76,127,19,228,15,6,40.0,9,60.0,126,839,399,13,11,6,23,12,135,32,Matches
22721b88,Jordan Amavi,fr FRA,DF,Getafe,29-010,1994,2.1,118,8,33,65,22,1,118,1,0,0.0,1,100.0,41,231,121,4,4,1,1,0,43,5,Matches
fdd26d71,Fabrizio Angileri,ar ARG,DF,Getafe,29-004,1994,6.0,299,16,81,149,69,3,299,9,3,33.3,5,55.6,113,480,207,4,5,0,4,1,134,11,Matches
c93231dc,Anuar,ma MAR,"MF,FW",Valladolid,28-063,1995,2.3,70,8,20,30,20,8,70,4,2,50.0,0,0.0,37,261,127,6,2,3,7,4,41,4,Matches
58afe001,Mauro Arambarri,uy URU,MF,Getafe,27-170,1995,9.2,459,25,101,275,93,3,459,4,4,100.0,0,0.0,226,1122,495,8,10,0,13,4,237,7,Matches
2bef2bca,Ronald Araújo,uy URU,DF,Barcelona,24-012,1999,11.5,778,53,269,482,31,17,778,2,2,100.0,0,0.0,518,3144,2199,18,4,1,3,3,565,7,Matches
1e465e70,Sergio Arribas,es ESP,FW,Real Madrid,21-170,2001,0.1,10,0,0,5,5,1,10,0,0,,0,,3,15,6,0,0,0,0,0,7,0,Matches
6091cf45,Roberto Arroyo,es ESP,MF,Valladolid,19-206,2003,0.2,7,0,1,3,3,1,7,1,1,100.0,0,0.0,8,38,25,1,0,1,1,2,8,4,Matches
5d133e96,Ricard Artero,es ESP,FW,Girona,20-042,2003,0.1,7,0,3,4,1,0,7,1,1,100.0,0,0.0,4,11,4,0,1,0,0,0,4,0,Matches
759d8dd7,Santiago Arzamendia,py PAR,"DF,MF",Cádiz,24-318,1998,4.3,223,16,70,106,52,5,223,6,2,33.3,4,66.7,107,538,304,7,6,2,6,2,104,17,Matches
9f0ea33f,Sergio Asenjo,es ESP,GK,Valladolid,33-264,1989,9.0,341,286,341,0,0,0,341,0,0,,0,,167,756,442,0,0,0,2,0,139,0,Matches
45af8a54,Marco Asensio,es ESP,"FW,MF",Real Madrid,27-057,1996,7.6,465,5,33,192,243,33,464,15,9,60.0,4,26.7,295,1741,807,21,16,5,10,7,359,62,Matches
7dcf86f6,Iago Aspas,es ESP,FW,Celta Vigo,35-230,1987,24.4,1123,22,86,508,543,103,1120,42,14,33.3,19,45.2,768,3820,1851,64,46,23,43,39,906,180,Matches
d5dd5f1f,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,33-274,1989,0.1,4,0,1,2,1,1,4,0,0,,0,,2,8,1,0,0,0,0,0,2,0,Matches
9fec8860,Ludwig Augustinsson,se SWE,DF,Mallorca,28-332,1994,0.9,39,3,15,11,13,2,39,0,0,,0,,23,79,40,0,0,0,0,0,23,5,Matches
253a06b9,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,29-041,1994,15.6,621,16,73,227,322,50,618,26,12,46.2,11,42.3,357,1599,600,19,14,5,35,16,430,78,Matches
bfd381b3,Iddrisu Baba,gh GHA,MF,Mallorca,27-056,1996,12.1,501,21,145,327,42,6,501,12,7,58.3,3,25.0,269,1295,382,3,3,0,21,12,261,6,Matches
075fe5a3,Srđan Babić,rs SRB,DF,Almería,26-331,1996,22.5,1145,157,668,457,28,9,1145,6,3,50.0,3,50.0,644,3619,2213,17,11,1,8,1,739,4,Matches
114bbdee,Loïc Bade,fr FRA,DF,Sevilla,22-342,2000,6.0,502,38,235,252,20,2,502,3,2,66.7,0,0.0,340,1506,727,4,3,0,2,1,354,2,Matches
e4346678,Édgar Badía,es ESP,GK,Elche,31-035,1992,25.0,784,733,783,2,0,0,784,0,0,,0,,378,2144,1394,0,0,0,2,0,247,0,Matches
518f2234,Alex Baena,es ESP,"MF,FW",Villarreal,21-242,2001,14.4,663,12,86,286,302,45,663,43,18,41.9,17,39.5,453,2483,1175,35,32,9,24,22,507,76,Matches
5ccc9672,Alejandro Balde,es ESP,DF,Barcelona,19-152,2003,17.4,1279,29,296,597,404,45,1279,57,33,57.9,19,33.3,821,4623,2570,57,46,21,24,11,871,132,Matches
1fe67e86,Mikel Balenziaga,es ESP,DF,Athletic Club,35-018,1988,1.3,77,2,14,39,25,0,77,1,1,100.0,0,0.0,29,100,50,0,2,0,0,1,41,6,Matches
cee88597,Iván Balliu,al ALB,DF,Rayo Vallecano,31-077,1992,24.2,1528,62,347,686,499,19,1528,22,7,31.8,8,36.4,767,3878,2167,53,41,2,15,9,854,101,Matches
35f6db55,Léo Baptistão,br BRA,"FW,MF",Almería,30-205,1992,13.8,572,11,114,284,189,48,572,22,7,31.8,11,50.0,329,1911,1099,26,22,6,41,13,372,58,Matches
03049c8c,Keidi Bare,al ALB,MF,Espanyol,25-203,1997,3.7,212,8,38,133,41,5,212,6,2,33.3,3,50.0,114,665,253,4,8,1,2,3,137,6,Matches
