id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,recov
0000acda,18,12,9,5,4,10,24,14,11,1,10,4,22,9,0,51
008a6e6d,29,16,20,9,0,14,28,14,29,19,10,25,54,118,1,103
00b0bb87,14,4,9,4,1,6,9,3,10,6,4,16,30,44,0,61
016ff750,6,5,3,2,1,4,8,4,5,0,5,1,7,8,1,16
01b8a2b2,0,0,0,0,0,0,0,0,0,0,0,1,1,10,1,44
01efac19,24,14,12,10,2,7,29,22,24,2,22,9,33,24,2,90
023937a9,27,14,18,9,0,10,26,16,17,3,14,8,35,39,0,78
02b2937c,21,11,5,14,2,6,25,19,11,1,10,11,32,21,0,98
02caf6e0,20,11,10,7,3,10,31,21,11,1,10,8,28,34,0,94
0375723e,19,10,4,12,3,9,38,29,14,0,14,7,26,1,0,118
03f946ed,9,4,2,7,0,3,17,14,11,5,6,1,10,27,0,83
0489bb30,3,1,2,0,1,0,5,5,4,0,4,1,4,2,0,19
04989945,2,0,0,1,1,1,3,2,1,0,1,3,5,0,0,12
04df29a5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05e19d6a,54,29,28,18,8,16,52,36,34,5,29,34,88,32,2,209
060606ec,11,8,5,3,3,5,8,3,11,0,11,5,16,6,0,34
0728bebe,59,31,25,23,11,18,53,35,29,2,27,15,74,31,1,195
07767f42,25,13,9,12,4,11,35,24,12,6,6,19,44,23,1,128
07abb358,32,20,13,15,4,12,34,22,18,1,17,8,40,13,1,85
0821331c,47,28,27,19,1,25,36,11,29,15,14,52,99,92,2,111
085e71a7,0,0,0,0,0,0,1,1,0,0,0,3,3,8,1,40
089550f5,10,8,4,5,1,6,14,8,8,1,7,9,19,13,0,42
08990838,3,3,2,1,0,1,3,2,8,6,2,5,8,10,0,23
08aa9cd1,19,12,1,7,11,5,25,20,19,2,17,9,28,25,0,57
08f5afaa,1,0,1,0,0,1,2,1,0,0,0,3,4,25,7,30
091795f2,1,1,1,0,0,0,3,3,2,2,0,4,5,5,0,5
09538fdb,27,14,7,13,7,6,31,25,23,1,22,10,37,18,1,78
0a3065c8,13,10,6,5,2,8,12,4,5,1,4,10,23,23,0,51
0a447501,14,11,2,7,5,3,14,11,13,1,12,5,19,12,1,39
0a483542,35,18,22,7,6,18,32,14,19,6,13,18,53,41,0,107
0ab1f153,67,43,32,28,7,35,62,27,22,8,14,35,102,47,0,169
0b5a292a,31,17,12,12,7,11,29,18,24,5,19,21,52,43,0,141
0c35d28d,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2
0ccac09c,83,44,51,28,4,50,106,56,40,13,27,58,141,107,0,205
0cd0e21b,4,2,1,1,2,2,4,2,2,1,1,0,4,9,0,18
0d077b88,19,9,8,10,1,9,22,13,12,2,10,22,41,23,0,81
0d422df7,1,0,1,0,0,1,2,1,0,0,0,4,5,11,1,48
0d82903c,44,26,23,14,7,12,33,21,26,6,20,47,91,46,3,162
