id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
f586779e,27.0,13,7.0,14.0,6.0,9.0,22.0,13.0,17.0,3.0,14.0,5,32.0,27.0,0.0
b96b595c,25.0,12,15.0,9.0,1.0,12.0,19.0,7.0,37.0,28.0,9.0,34,59.0,92.0,0.0
f9c927de,14.0,5,5.0,8.0,1.0,6.0,11.0,5.0,4.0,1.0,3.0,6,20.0,3.0,0.0
0154d290,10.0,3,1.0,6.0,3.0,4.0,7.0,3.0,4.0,0.0,4.0,3,13.0,0.0,0.0
46fa7204,44.0,26,13.0,26.0,5.0,7.0,20.0,13.0,22.0,0.0,22.0,8,52.0,6.0,0.0
246d153b,27.0,19,11.0,10.0,6.0,15.0,23.0,8.0,17.0,3.0,14.0,28,55.0,30.0,0.0
414e1f69,0.0,0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1,1.0,0.0,0.0
fdf4b948,17.0,10,7.0,9.0,1.0,7.0,12.0,5.0,4.0,2.0,2.0,2,19.0,6.0,0.0
5294a83f,29.0,17,8.0,11.0,10.0,8.0,52.0,44.0,32.0,4.0,28.0,13,42.0,7.0,0.0
aa5322d5,39.0,28,18.0,18.0,3.0,21.0,26.0,5.0,17.0,5.0,12.0,30,69.0,70.0,0.0
35b4bc62,3.0,2,1.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,2.0,3,6.0,1.0,0.0
bcc81786,66.0,42,43.0,18.0,5.0,30.0,41.0,11.0,39.0,21.0,18.0,32,98.0,75.0,0.0
555d5edd,6.0,4,2.0,2.0,2.0,2.0,9.0,7.0,7.0,0.0,7.0,0,6.0,0.0,0.0
10b9fa99,67.0,43,37.0,27.0,3.0,24.0,58.0,34.0,49.0,19.0,30.0,51,118.0,76.0,0.0
5a2cb25d,24.0,13,9.0,13.0,2.0,11.0,19.0,8.0,25.0,8.0,17.0,5,29.0,6.0,1.0
9f1893b9,71.0,45,30.0,33.0,8.0,27.0,99.0,72.0,65.0,6.0,59.0,20,91.0,16.0,0.0
