id,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
f586779e,94.0,62.0,1.0,6.0,17.0,7.0,1.0,14.0,6.0,0.0,2.0,3.0,3.0,0.0,Matches
b96b595c,17.0,13.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,Matches
f9c927de,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
0154d290,23.0,14.0,0.0,2.0,2.0,5.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,Matches
46fa7204,39.0,21.0,0.0,6.0,4.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,Matches
246d153b,37.0,29.0,2.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
414e1f69,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
fdf4b948,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
5294a83f,120.0,83.0,26.0,3.0,3.0,5.0,0.0,16.0,6.0,7.0,1.0,2.0,0.0,0.0,Matches
aa5322d5,27.0,16.0,3.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
35b4bc62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
bcc81786,33.0,22.0,3.0,3.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
555d5edd,30.0,24.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
10b9fa99,45.0,39.0,4.0,1.0,0.0,0.0,1.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,Matches
5a2cb25d,18.0,16.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
