id,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
0000acda,16,8,6,1,0,0,1,1,1,0,0,0,0,0
00459419,34,28,0,2,2,2,0,3,2,0,1,0,0,0
00a17eba,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0154d290,9,8,0,0,1,0,0,0,0,0,0,0,0,0
016ff750,42,25,13,2,2,0,0,3,2,1,0,0,0,0
01b8a2b2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
01c3aff5,17,15,0,0,2,0,0,1,1,0,0,0,0,0
01efac19,28,24,0,1,2,1,0,0,0,0,0,0,0,0
023937a9,2,0,0,0,0,2,0,0,0,0,0,0,0,0
028e70b9,23,15,0,4,4,0,0,3,3,0,0,0,0,0
02caf6e0,21,16,1,1,0,2,1,3,3,0,0,0,0,0
0375723e,22,12,7,1,0,1,1,0,0,0,0,0,0,0
039a4fb6,1,1,0,0,0,0,0,0,0,0,0,0,0,0
03f946ed,26,20,0,2,3,1,0,5,2,0,1,1,1,0
04df29a5,27,19,0,4,4,0,0,2,1,0,0,1,0,0
0588a092,9,7,0,0,1,1,0,0,0,0,0,0,0,0
060606ec,8,7,0,0,0,1,0,1,1,0,0,0,0,0
0630eb63,30,21,4,4,1,0,0,4,4,0,0,0,0,0
06b08c45,7,6,0,0,1,0,0,0,0,0,0,0,0,0
0728bebe,3,2,0,0,1,0,0,0,0,0,0,0,0,0
07f8bcc8,23,14,0,5,1,3,0,4,1,0,3,0,0,0
085e71a7,4,3,1,0,0,0,0,0,0,0,0,0,0,0
08aa9cd1,38,26,0,1,6,5,0,2,0,0,0,1,1,0
08eb3b58,4,3,0,1,0,0,0,1,1,0,0,0,0,0
09538fdb,31,20,0,4,4,2,1,3,1,0,1,1,0,0
0967845b,43,31,2,2,2,5,1,5,5,0,0,0,0,0
09899de8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0a447501,27,19,0,5,1,1,1,2,2,0,0,0,0,0
0a483542,31,25,0,2,1,2,1,3,2,0,0,1,0,0
0ab1f153,48,26,13,2,3,4,0,6,2,2,0,0,2,0
0b5a292a,76,54,19,1,0,1,1,13,11,1,0,0,0,1
0be276c6,8,6,1,0,0,0,1,1,1,0,0,0,0,0
0d077b88,58,44,6,3,2,1,2,6,6,0,0,0,0,0
0d422df7,6,5,1,0,0,0,0,0,0,0,0,0,0,0
0d82903c,29,26,0,1,0,1,1,3,3,0,0,0,0,0
0db169ae,64,37,15,2,6,2,2,8,4,2,1,1,0,0
0def2376,3,1,0,0,0,2,0,0,0,0,0,0,0,0
0e0d6c53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0fdcef0e,7,3,2,1,0,1,0,0,0,0,0,0,0,0
0fee6bda,7,5,0,0,1,0,1,0,0,0,0,0,0,0
102e2599,35,28,1,1,3,2,0,4,4,0,0,0,0,0
