id,GA,SoTA,Saves,W,D,L,CS,PKatt,PKA,PKsv,PKm
01b8a2b2,32,98,66,16,8,6,5,6,4,2,0
085e71a7,55,141,85,9,12,15,7,10,8,2,0
08f5afaa,38,126,88,24,6,7,14,4,2,1,1
0d422df7,42,131,91,11,9,14,7,7,6,0,1
10dc46f0,62,134,72,5,13,14,7,9,8,0,1
18736214,9,27,18,0,5,1,1,1,1,0,0
20b9f052,29,85,59,10,4,6,4,3,3,0,0
277da414,55,131,75,6,10,13,4,7,6,1,0
30223b33,19,56,36,6,3,4,5,3,2,1,0
326d09ef,5,6,1,1,0,1,0,0,0,0,0
339fe0e8,14,38,24,3,2,4,3,2,2,0,0
343f753a,76,181,108,3,11,22,5,2,2,0,0
41bd99ea,2,4,2,0,0,1,0,1,1,0,0
457cb02f,6,13,7,0,3,1,0,0,0,0,0
4a6914ff,0,1,1,1,0,0,1,0,0,0,0
4c62d0c8,44,158,116,9,11,12,8,7,7,0,0
4dea2f2c,0,1,1,0,1,0,1,0,0,0,0
649b01d8,54,173,118,14,7,16,6,9,7,2,0
6662d731,10,19,10,0,1,3,0,1,1,0,0
67f649be,1,6,5,1,0,0,0,0,0,0,0
7033ca08,0,0,0,0,0,0,0,0,0,0,0
72be9309,7,10,3,0,0,2,0,1,1,0,0
74419746,33,110,76,27,7,3,14,6,4,2,0
77d6fd4d,6,21,15,3,0,1,1,0,0,0,0
82328faf,7,26,19,2,1,2,2,0,0,0,0
82b1198a,12,42,30,11,0,5,8,3,3,0,0
8cabdc1e,56,185,129,17,10,10,7,5,4,1,0
9413b19f,29,81,53,13,5,4,6,2,2,0,0
94a3606c,3,12,9,1,0,1,1,0,0,0,0
96640846,1,3,2,0,1,0,0,0,0,0,0
9fa26bc2,6,20,14,2,2,1,1,1,1,0,0
a111cf41,51,149,98,9,10,16,8,13,13,0,0
ab4449d6,46,147,100,10,5,13,4,7,5,2,0
ac4003af,21,47,25,9,1,3,2,2,1,1,0
b056e3da,3,7,4,0,1,0,0,1,1,0,0
c195ae4a,1,8,7,0,1,0,0,0,0,0,0
c1d95617,74,172,103,7,11,19,7,5,4,1,0
cc1a0c57,12,29,17,3,1,3,0,3,3,0,0
cf1c23d8,1,2,1,0,0,0,0,1,1,0,0
dd06d56c,5,18,13,0,1,1,1,0,0,0,0
e1b0a70d,4,11,7,0,1,1,2,1,0,1,0
e358587b,41,113,74,18,3,8,9,8,8,0,0
e40d028b,5,21,15,7,1,0,3,3,2,1,0
e4b39692,1,5,4,0,1,0,0,0,0,0,0
e66ebabb,91,207,118,6,3,27,2,5,5,0,0
ec1f737d,0,1,1,0,0,0,0,0,0,0,0
f058ed1f,0,1,1,0,1,0,1,0,0,0,0
f0f7f62f,26,65,38,14,8,3,9,6,4,2,0
f554e29b,53,182,129,6,10,18,6,5,5,0,0
f6a06749,1,2,1,0,0,0,0,0,0,0,0
f794b426,11,18,7,0,1,3,0,0,0,0,0
