id,GA,PKA,FK,CK,OG,PSxG,PSxG+/-,Cmp,Att,Att.1,Thr,Att.2,Opp,Stp,#OPA,TotLen,TotLen.1,TotDist
95adf1e1,4,0,0,0,0,2.6,-1.4,8,27,56,9,24,54,0,4,1864.8,696.0,51.6
fe471a89,16,0,1,1,0,12.8,-3.2,24,60,96,45,66,98,3,1,3052.8,2692.8,10.1
649b01d8,60,7,0,10,4,47.9,-8.1,187,519,742,132,291,603,16,32,27602.4,12978.6,448.0
7b4de647,3,1,0,0,0,4.0,1.0,3,10,26,5,12,16,0,0,793.0,397.2,0.0
ee833569,44,6,1,2,2,45.4,3.4,164,389,642,142,233,419,12,21,21828.0,10275.3,300.3
d4890c25,0,0,0,0,0,0.0,0.0,1,1,2,0,1,0,0,0,48.0,66.0,0.0
e40d028b,10,1,0,0,0,7.6,-2.4,12,26,154,42,54,109,3,7,3865.4,1161.0,95.2
72be9309,4,1,0,0,0,6.2,2.2,9,24,59,14,42,61,1,0,1728.7,970.2,0.0
8cabdc1e,55,7,1,9,3,45.0,-7.0,90,268,778,141,205,432,19,30,22406.4,5699.0,408.0
18736214,1,0,0,0,0,0.2,-0.8,0,2,22,4,4,8,0,1,594.0,63.2,33.0
f554e29b,21,1,0,2,1,21.6,1.6,68,224,314,74,156,274,12,7,11618.0,6224.4,74.2
08f5afaa,42,4,0,4,1,39.7,-1.3,177,406,878,178,259,473,27,37,27481.4,9557.1,514.3
085e71a7,43,6,2,5,0,42.7,-0.3,109,338,677,196,221,440,13,30,22747.2,8641.1,426.0
9f5a610b,5,1,0,0,0,5.6,0.6,5,25,43,10,18,27,0,2,1281.4,808.2,32.8
82328faf,1,0,0,1,0,0.4,-0.6,3,14,34,4,10,14,1,1,1125.4,332.0,11.5
f93ed0df,76,10,1,9,3,70.4,-2.6,124,310,646,194,326,597,27,15,20672.0,10008.2,165.0
f0f7f62f,42,6,2,4,3,36.7,-2.3,165,381,766,161,208,314,5,57,26044.0,10400.0,1031.7
74419746,32,2,0,3,1,29.3,-1.7,111,222,853,189,267,490,24,19,23201.6,7716.3,224.2
7f66ea09,59,9,0,8,3,53.6,-2.4,138,380,579,164,275,530,17,12,21365.1,10532.5,108.0
4a6914ff,29,0,2,1,1,18.9,-9.1,55,155,219,54,95,168,5,3,8146.8,4313.0,30.9
20b9f052,45,8,1,4,0,44.3,-0.7,143,317,838,175,208,373,9,44,26313.2,7259.2,800.8
9413b19f,33,5,0,2,1,27.7,-4.3,31,103,466,86,139,241,4,15,11883.0,3183.1,214.5
30223b33,5,1,0,0,0,8.7,3.7,24,49,142,30,29,83,1,8,4359.4,820.7,119.2
a111cf41,51,8,2,4,0,52.1,1.1,184,421,812,171,358,581,25,20,26552.4,12207.8,232.0
e7ee38c3,24,4,0,1,2,23.2,1.2,87,246,328,62,159,293,8,5,13185.6,6741.6,50.5
82b1198a,17,2,1,2,0,14.8,-2.2,34,77,383,55,85,184,11,17,9843.1,1878.5,275.4
cf1c23d8,4,1,0,2,0,3.7,-0.3,3,17,69,14,24,55,2,2,2063.1,604.8,24.4
f058ed1f,4,0,0,0,1,5.7,2.7,12,29,122,24,36,71,1,5,2952.4,716.4,87.0
4c62d0c8,38,1,1,3,1,34.6,-2.4,129,373,538,90,189,341,18,12,21573.8,7862.4,153.6
f6a06749,0,0,0,0,0,0.0,0.0,0,0,1,0,2,0,0,0,17.0,38.0,0.0
67f649be,35,6,2,4,1,31.3,-2.7,61,169,504,90,152,252,8,7,15624.0,3967.2,77.7
0dfce079,8,2,1,1,0,6.2,-1.8,12,33,47,10,14,23,0,1,1753.1,918.4,12.6
dd06d56c,11,2,0,0,0,7.6,-3.4,33,71,109,18,46,98,3,3,4033.0,1439.8,33.3
e358587b,1,0,1,0,0,1.8,0.8,8,14,28,6,7,17,2,2,977.2,315.0,24.0
28a15394,1,0,0,0,0,0.4,-0.6,9,16,20,6,15,13,0,0,618.0,613.5,0.0
7b5f516f,1,0,0,0,0,0.4,-0.6,1,1,3,1,0,0,0,0,90.9,0.0,0.0
343f753a,53,6,1,10,0,54.8,1.8,225,471,801,115,327,624,20,10,29717.1,10464.0,122.0
0d422df7,43,7,1,6,1,44.9,2.9,182,687,650,74,330,547,17,15,28405.0,18249.0,165.0
10dc46f0,64,9,3,6,3,59.1,-1.9,243,523,823,112,333,588,22,18,29134.2,13686.3,259.2
ab4449d6,64,6,2,6,1,53.9,-9.1,161,364,848,218,291,474,44,29,26712.0,9777.6,368.3
ac4003af,5,0,0,0,0,4.8,-0.2,9,28,124,32,26,52,3,10,3335.6,1008.8,197.0
339fe0e8,42,7,1,7,1,44.4,3.4,148,368,938,143,291,474,10,18,29265.6,7566.0,244.8
01b8a2b2,33,8,1,3,0,37.1,4.1,82,165,560,155,195,355,11,37,16464.0,5031.0,625.3
e1b0a70d,5,3,0,0,0,7.5,2.5,18,78,149,36,59,103,6,5,5244.8,2047.3,61.0
0f47717b,4,1,0,1,0,3.2,-0.8,8,21,42,10,27,36,2,0,1302.0,699.3,0.0
bf168004,4,1,0,0,0,4.1,0.1,6,10,38,7,14,34,1,3,942.4,336.0,56.4
96640846,3,1,0,1,0,2.4,-0.6,6,13,42,2,8,12,0,1,1339.8,206.4,15.0
582a251c,9,1,0,1,0,8.7,-0.3,21,53,100,27,48,90,2,3,3220.0,1454.4,36.0
