id,FK,CK,OG,PSxG,PSxG+/-,Cmp,Att,Att.1,Thr,Att.2,Opp,Stp,#OPA,TotLen,TotLen.1,TotDist
00a17eba,0,1,0,0.8,-1.2,0,1,19,5,5,4,2,1,406.6,75.0,11.3
01b8a2b2,0,4,0,15.0,-1.0,75,178,402,73,90,218,6,18,13869.0,3690.0,302.4
085e71a7,1,4,0,31.5,-4.5,102,309,601,105,135,306,10,25,20494.1,6223.5,367.5
0d422df7,1,2,2,28.3,0.3,103,259,533,91,201,335,6,13,17748.9,6934.5,172.9
1e9bde92,0,1,0,18.1,1.1,58,167,222,21,70,110,4,6,8857.8,3647.0,85.8
277da414,0,4,0,20.0,1.0,115,272,769,109,136,322,13,41,25453.9,4705.6,701.1
3318286e,0,0,0,0.0,0.0,2,3,0,1,0,0,0,0,0.0,0.0,0.0
343f753a,0,0,0,30.2,3.2,76,274,490,84,154,222,16,13,17591.0,6314.0,184.6
4c62d0c8,0,0,0,9.4,5.4,27,92,225,42,50,121,3,10,6975.0,2000.0,162.0
4e0c8d66,0,3,1,33.3,2.3,104,304,788,150,150,339,11,16,26004.0,5115.0,195.2
54f6afe3,0,0,0,1.7,-0.3,7,21,23,3,13,24,1,2,807.3,664.3,34.0
649b01d8,0,4,2,32.2,-4.8,158,440,714,104,200,357,24,23,27917.4,8860.0,319.7
67f649be,0,3,0,21.0,2.0,38,143,265,34,67,107,6,9,9884.5,3102.1,130.5
74419746,0,1,1,10.7,-2.3,29,58,290,48,52,92,2,5,7627.0,1341.6,72.5
77d6fd4d,0,7,1,32.3,2.3,117,346,869,123,138,489,28,15,28937.7,5892.6,160.5
79b0d6a0,1,3,1,15.0,-5.0,89,218,456,92,179,301,10,17,14956.8,5853.3,236.3
8cabdc1e,0,3,0,26.8,-7.2,125,307,790,126,212,322,19,23,26781.0,7144.4,333.5
8ec56e62,2,4,1,26.0,0.0,82,277,404,85,120,216,16,12,16321.6,6036.0,159.6
9413b19f,0,1,0,18.1,2.1,40,110,543,90,149,256,8,25,14443.8,3933.6,410.0
9f5a610b,1,5,1,30.6,2.6,128,501,615,98,196,378,19,24,25891.5,10368.4,304.8
9fa26bc2,0,5,0,25.8,-3.2,175,621,930,109,186,304,21,44,38130.0,13299.0,730.4
a111cf41,0,2,2,13.9,-3.1,95,218,449,127,123,208,12,19,14368.0,5658.0,302.1
ab4449d6,1,4,2,36.7,4.7,108,279,657,137,186,331,20,20,21615.3,6472.8,270.0
ac4003af,1,2,0,7.8,-1.2,31,77,181,45,61,86,7,14,5158.5,2982.9,278.6
b056e3da,2,4,1,16.8,-4.2,95,196,473,75,83,195,9,13,15561.7,3469.4,187.2
b9e11c1d,0,0,0,0.4,0.4,6,30,21,0,13,19,2,1,1203.3,907.4,9.5
c1d95617,1,3,1,32.2,-3.8,220,484,588,82,187,328,16,48,25813.2,9013.4,796.8
cc1a0c57,0,0,0,0.7,-0.3,15,43,57,5,8,24,1,3,2376.9,452.8,47.1
e1b0a70d,0,3,1,23.3,-4.7,114,277,646,83,147,199,10,44,21511.8,5880.0,822.8
e9c0c1b2,0,2,1,11.7,-1.3,65,181,555,76,103,194,8,6,16594.5,3677.1,82.8
f058ed1f,0,0,0,3.2,0.2,9,18,61,10,16,28,2,0,1811.7,452.8,0.0
f0f7f62f,0,1,0,1.7,-0.3,13,38,115,17,11,24,1,0,3726.0,542.3,0.0
f554e29b,0,0,0,1.8,-1.2,2,4,25,4,6,7,0,2,577.5,199.8,50.6
f794b426,0,0,0,1.5,-0.5,2,4,10,2,8,8,0,1,243.0,259.2,22.0
fcb38f57,0,1,0,9.9,-0.1,43,106,310,44,24,96,7,10,10354.0,981.6,138.0
