id,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG
c5942695,0,0,0.0,9,11.0,0.0,0.0,0.0,0.0
1c529186,3,0,0.0,12,8.0,3.0,0.0,0.0,0.0
b96b595c,4,0,0.0,31,32.0,1.0,0.0,1.0,1.0
d7403bd5,4,2,1.0,17,14.0,0.0,0.0,0.0,0.0
ce5b170a,5,1,0.0,24,19.0,2.0,0.0,0.0,0.0
06050480,4,0,0.0,21,22.0,1.0,0.0,0.0,1.0
f9714604,7,0,0.0,19,6.0,0.0,0.0,1.0,0.0
5294a83f,5,0,0.0,19,36.0,3.0,1.0,0.0,0.0
4bd414c1,7,0,0.0,28,18.0,2.0,0.0,0.0,0.0
7a2e46a8,1,0,0.0,1,3.0,0.0,0.0,0.0,0.0
cc700722,2,0,0.0,37,47.0,0.0,0.0,0.0,0.0
92a5ac34,0,0,0.0,5,4.0,0.0,0.0,0.0,0.0
e34fc66d,0,0,0.0,3,4.0,0.0,0.0,0.0,0.0
9f1893b9,0,0,0.0,9,15.0,0.0,0.0,0.0,0.0
326d09ef,2,1,0.0,2,11.0,0.0,0.0,1.0,0.0
13d820de,5,0,0.0,29,8.0,0.0,0.0,0.0,0.0
0c971997,3,0,0.0,18,4.0,0.0,0.0,3.0,0.0
bbafc0c4,6,2,1.0,26,36.0,0.0,1.0,1.0,0.0
97c9bce3,1,1,0.0,10,7.0,0.0,0.0,0.0,0.0
43a2e16c,1,0,0.0,36,70.0,33.0,1.0,0.0,0.0
40f0ed6c,1,0,0.0,1,4.0,1.0,0.0,0.0,0.0
91976866,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0
9c8f641a,1,0,0.0,8,3.0,9.0,0.0,0.0,0.0
089550f5,4,0,0.0,13,30.0,1.0,0.0,0.0,0.0
1522dab2,5,0,0.0,22,22.0,1.0,0.0,1.0,0.0
23f9e9d3,1,0,0.0,7,3.0,0.0,0.0,0.0,0.0
422ec08a,1,0,0.0,9,12.0,8.0,1.0,0.0,0.0
422ec08a,0,0,0.0,18,16.0,5.0,0.0,0.0,0.0
e8c930bb,9,2,1.0,49,26.0,1.0,0.0,0.0,0.0
49d399d5,0,0,0.0,1,0.0,1.0,0.0,0.0,0.0
9be4ee80,2,0,0.0,15,10.0,1.0,0.0,0.0,0.0
