id,Cmp,Att,TotDist,PrgDist,Cmp.1,Att.1,Cmp.2,Att.2,Cmp.3,Att.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
b96b595c,1844.0,2073.0,38047.0,14343.0,636.0,686.0,903.0,970.0,279.0,371.0,2,1.7,1.7,0.3,8.0,149.0,15.0,5.0,150.0
3ed84b2c,38.0,43.0,500.0,64.0,20.0,24.0,12.0,12.0,2.0,2.0,0,0.2,0.1,-0.2,3.0,0.0,1.0,1.0,2.0
ce5b170a,58.0,83.0,852.0,314.0,35.0,42.0,16.0,25.0,3.0,7.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0
8bc8829a,35.0,38.0,619.0,208.0,14.0,14.0,17.0,19.0,4.0,4.0,0,0.1,0.1,-0.1,1.0,5.0,2.0,1.0,7.0
46fa7204,29.0,37.0,403.0,135.0,18.0,23.0,8.0,9.0,2.0,3.0,0,0.1,0.1,-0.1,2.0,2.0,1.0,0.0,4.0
46fa7204,239.0,293.0,3277.0,893.0,143.0,161.0,70.0,80.0,12.0,18.0,1,1.6,1.3,-0.6,12.0,21.0,5.0,0.0,41.0
fe0b8f0e,90.0,104.0,1561.0,243.0,41.0,45.0,40.0,46.0,8.0,10.0,0,0.0,0.1,0.0,1.0,5.0,1.0,0.0,7.0
246d153b,862.0,1185.0,13825.0,5497.0,488.0,564.0,282.0,379.0,77.0,175.0,2,2.5,1.9,-0.5,22.0,57.0,17.0,13.0,80.0
5294a83f,1793.0,2296.0,30192.0,10809.0,843.0,950.0,685.0,810.0,196.0,364.0,15,11.4,8.9,3.6,106.0,303.0,90.0,7.0,371.0
95adf1e1,58.0,80.0,1478.0,1039.0,11.0,11.0,31.0,32.0,16.0,37.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc700722,726.0,842.0,11883.0,3216.0,367.0,401.0,272.0,299.0,65.0,85.0,1,1.1,0.8,-0.1,15.0,74.0,10.0,2.0,82.0
585a73a8,1107.0,1347.0,28167.0,11376.0,181.0,224.0,602.0,673.0,314.0,420.0,0,0.5,0.5,-0.5,7.0,74.0,4.0,1.0,99.0
5a2cb25d,1510.0,1738.0,28019.0,6557.0,578.0,645.0,713.0,774.0,170.0,223.0,1,2.4,2.0,-1.4,29.0,153.0,29.0,9.0,199.0
ca241ad3,58.0,66.0,921.0,139.0,25.0,26.0,26.0,31.0,4.0,4.0,0,0.0,0.1,0.0,0.0,1.0,1.0,1.0,0.0
fe471a89,124.0,162.0,3635.0,2659.0,18.0,18.0,61.0,61.0,45.0,83.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
df525574,495.0,607.0,6880.0,2455.0,296.0,328.0,160.0,203.0,17.0,35.0,1,0.6,0.7,0.4,6.0,16.0,11.0,6.0,36.0
