id,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks
0000acda,277,30,5,1,4,17,21,1,0,1,0,0,14
00459419,851,51,1,4,1,12,9,0,0,0,0,6,24
0154d290,145,7,0,0,2,8,5,0,0,0,0,0,4
01b8a2b2,781,227,55,0,4,0,0,0,0,0,0,3,3
01c3aff5,529,34,2,2,2,12,32,0,0,0,0,2,20
01efac19,1081,17,5,2,4,13,6,0,0,0,0,9,37
023937a9,492,28,26,0,4,4,0,0,0,0,0,0,7
02caf6e0,836,178,18,1,1,56,160,0,0,0,0,0,18
0375723e,273,75,33,3,5,72,1,35,13,16,0,1,10
03f946ed,154,8,0,0,3,3,0,0,0,0,0,0,6
0489bb30,139,8,1,0,0,13,1,5,2,3,0,1,2
04b40c58,11,0,0,0,0,0,0,0,0,0,0,0,1
05e19d6a,1284,52,41,2,9,12,7,0,0,0,0,6,15
0728bebe,499,37,16,4,11,40,6,13,1,10,0,3,20
07767f42,239,16,16,0,4,0,0,0,0,0,0,0,1
07ea0ef2,46,3,1,0,0,0,1,1,0,0,0,0,1
0821331c,425,42,34,0,0,1,0,0,0,0,0,2,7
0847b5a5,603,184,43,6,6,144,21,66,33,28,0,8,24
085e71a7,294,49,10,0,1,0,0,0,0,0,0,2,0
08990838,6,0,0,0,0,0,0,0,0,0,0,0,0
08aa9cd1,608,25,0,4,1,28,5,0,0,0,0,3,24
08eb3b58,673,164,18,2,1,35,146,0,0,0,0,1,17
09538fdb,254,15,0,1,5,10,2,0,0,0,0,4,17
0967845b,598,174,14,1,4,43,159,1,0,0,0,5,12
09899de8,726,63,47,0,2,1,1,0,0,0,0,7,6
0a3065c8,263,75,1,0,0,28,74,0,0,0,0,0,15
0a447501,461,20,1,1,6,3,1,0,0,0,0,1,14
0a483542,1099,183,21,1,2,99,140,22,3,19,0,0,24
0ab1f153,1648,224,57,1,31,134,112,55,26,22,1,5,16
0acda699,30,18,5,0,0,0,0,0,0,0,0,1,0
0b5a292a,2104,346,80,1,34,80,248,18,7,6,0,11,35
0be276c6,944,112,36,0,2,19,75,0,0,0,0,2,8
0cadc46d,62,2,0,0,0,0,0,0,0,0,0,0,1
0ccac09c,123,30,1,0,0,9,29,0,0,0,0,0,10
0cf465f2,38,1,0,0,0,1,0,0,0,0,0,0,1
0d077b88,94,15,13,0,0,3,0,2,2,0,0,1,2
0d422df7,587,342,90,0,0,0,0,0,0,0,0,13,0
0d82903c,960,132,21,0,8,35,109,0,0,0,0,4,15
0db169ae,1299,188,107,4,19,108,11,69,29,25,0,0,21
0dfce079,64,36,8,0,0,0,0,0,0,0,0,0,0
0fdcef0e,718,60,36,1,6,29,4,19,9,7,0,1,7
0fee6bda,1036,60,56,2,12,2,1,0,0,0,0,5,8
102e2599,6,0,0,0,0,1,0,0,0,0,0,0,0
10b9fa99,1037,123,41,4,10,20,80,0,0,0,0,5,26
10dc46f0,799,380,117,0,3,0,0,0,0,0,0,3,2
10e7f486,967,161,24,0,11,82,117,20,0,19,0,3,20
11962fe7,292,40,1,0,1,32,32,7,1,6,0,1,10
1295552e,1028,174,26,4,6,40,148,0,0,0,0,1,23
129af0db,641,17,3,6,8,20,3,0,0,0,0,1,20
12e6d21a,64,1,0,1,0,1,0,0,0,0,0,2,0
130a7a3f,61,4,0,0,1,8,2,2,2,0,0,0,2
13b44b02,1370,346,41,4,7,68,302,3,0,0,0,5,41
149c5f5d,541,112,4,0,0,37,108,0,0,0,0,5,23
14a96e1c,327,195,52,1,0,0,0,0,0,0,0,1,1
14b8fcdf,528,18,12,0,4,0,1,0,0,0,0,1,4
157d29b6,34,1,0,0,1,2,1,0,0,0,0,0,1
15d0c248,1757,65,51,1,11,2,11,0,0,0,0,3,10
15e9c7e6,117,14,3,1,0,14,6,4,1,2,0,1,3
16463a79,42,1,0,0,0,2,1,0,0,0,0,0,0
16657b95,1734,79,71,3,18,14,8,0,0,0,0,5,18
16b9d5cf,467,40,28,1,3,3,0,0,0,0,0,1,6
16bb656a,578,19,12,0,1,6,7,0,0,0,0,3,8
16ceb862,463,14,0,3,1,4,1,0,0,0,0,3,11
173061c0,463,45,20,0,2,15,25,0,0,0,0,2,9
1780bb4a,1021,267,16,2,0,52,251,0,0,0,0,1,33
17f3620a,138,18,0,0,0,5,0,0,0,0,0,2,4
19e4eab9,1270,157,49,1,3,17,105,0,0,0,0,1,16
1ac232b8,1015,201,55,8,13,113,108,38,14,20,0,8,37
1c341b14,70,17,0,1,1,3,17,0,0,0,0,0,0
1c8c5aed,263,62,6,0,2,16,56,0,0,0,0,0,4
1cadaf34,94,5,0,0,0,1,2,0,0,0,0,0,1
1d00a56c,6,0,0,0,0,0,0,0,0,0,0,0,0
1d0bb7e4,441,41,12,0,4,10,29,0,0,0,0,0,10
1d1691ad,877,152,11,0,1,52,139,2,0,1,0,1,28
1e26e376,397,188,46,0,0,0,0,0,0,0,0,1,0
