,id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
0,0000acda,35,2782,30,35,20,0,2,1,41,34,7,44.3,30.0,14.3,3330,37,37,37
1,00528660,23,1473,16,14,8,9,5,0,15,21,-6,11.9,25.2,-13.4,3240,36,36,36
2,00823e9a,13,321,3,1,0,12,15,0,2,2,0,3.5,4.2,-0.7,180,2,2,2
3,00b0bb87,33,2871,31,32,30,1,1,1,31,51,-20,30.3,44.7,-14.4,1113,13,13,12
4,0127419a,0,0,0,0,0,0,9,0,0,0,0,0.0,0.0,0.0,2790,31,31,31
5,019f4d0d,14,1141,12,13,11,1,17,0,8,25,-17,10.2,19.2,-9.0,2880,32,32,32
6,01b8a2b2,17,1530,17,17,17,0,21,2,31,9,22,23.7,10.6,13.1,1126,13,11,12
7,01efac19,34,2713,30,31,25,3,3,1,37,44,-7,33.3,37.0,-3.8,1862,21,21,20
8,023937a9,35,3140,34,35,33,0,0,0,32,51,-19,29.6,49.6,-20.0,3316,37,37,36
9,02b2937c,17,573,6,7,1,10,13,1,3,11,-8,4.7,10.2,-5.4,3420,38,38,38
10,02caf6e0,36,3116,34,36,31,0,0,0,33,55,-22,31.8,53.0,-21.2,360,4,4,4
11,035c1d09,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,2536,29,29,28
12,0375723e,34,2827,31,34,24,0,1,0,31,41,-10,29.1,40.9,-11.8,90,1,1,1
13,03760df0,27,2430,27,27,27,0,1,1,37,43,-6,38.2,42.7,-4.5,3420,38,38,38
14,03f946ed,29,1618,18,22,1,7,5,1,30,18,12,24.5,17.1,7.4,217,3,1,2
15,048877f5,38,3420,38,38,38,0,0,1,36,59,-23,34.1,55.2,-21.2,622,7,7,6
16,0489bb30,2,34,0,0,0,2,7,0,0,1,-1,0.9,1.3,-0.4,2261,26,25,25
17,0588a092,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,3420,38,38,38
18,05e19d6a,37,3264,36,37,32,0,0,1,52,40,12,48.5,34.4,14.1,90,1,1,1
19,06050480,23,1674,18,18,14,5,7,1,28,29,-1,21.3,24.0,-2.6,1,1,0,0
20,060606ec,16,1043,11,12,7,4,3,0,10,20,-10,11.7,18.9,-7.2,1158,13,13,12
21,07767f42,32,2494,27,30,18,2,3,1,17,39,-22,33.7,32.4,1.4,90,1,1,1
22,07abb358,37,3168,35,36,32,1,0,0,26,73,-47,29.6,66.0,-36.4,2970,33,33,33
23,07ea0ef2,6,214,2,2,1,4,30,2,4,5,-1,3.3,3.7,-0.4,104,2,1,1
24,07f55871,0,0,0,0,0,0,17,0,0,0,0,0.0,0.0,0.0,3330,37,37,37
25,08082af0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,28,1,0,0
26,081b6080,15,760,8,7,5,8,22,0,4,18,-14,9.4,17.4,-8.1,810,9,9,9
27,0821331c,16,1317,14,15,13,1,17,0,12,25,-13,7.2,21.3,-14.0,1179,14,14,13
28,0847b5a5,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,794,10,8,8
29,085e71a7,3,217,2,1,1,2,33,0,3,8,-5,1.9,3.4,-1.5,3330,37,37,37
30,0861b8d6,16,880,9,12,3,4,7,0,10,17,-7,10.0,14.4,-4.4,8,1,0,0
31,089550f5,19,1568,17,18,15,1,18,2,28,10,18,23.5,12.8,10.7,90,1,1,1
32,08aa9cd1,1,14,0,0,0,1,33,0,0,0,0,0.2,0.2,0.0,540,6,6,6
33,08f5afaa,38,3420,38,38,38,0,0,1,56,42,14,51.2,36.9,14.3,90,1,1,1
34,09538fdb,29,2130,23,26,13,3,2,1,38,31,7,30.4,27.3,3.0,180,2,2,2
35,09899de8,8,557,6,6,5,2,6,0,4,6,-2,6.1,9.4,-3.3,3330,37,37,37
36,099bac75,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,90,1,1,1
37,0a1efd3c,20,1129,12,12,4,8,13,1,12,12,0,13.6,13.8,-0.2,3420,38,38,38
38,0ab1f153,21,1353,15,15,6,6,3,2,38,14,24,23.7,12.9,10.9,3202,37,37,35
39,0b40b3a9,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,3420,38,38,38
40,0b5a292a,25,2087,23,24,20,1,11,2,42,20,22,39.5,19.0,20.5,1530,17,17,17
41,0c2ac3cb,17,1043,11,12,3,5,0,1,23,6,17,17.4,9.1,8.4,2430,27,27,27
42,0c971997,12,893,9,9,7,3,7,0,15,16,-1,12.5,14.2,-1.8,0,0,0,0
43,0cd0e21b,30,1355,15,10,4,20,4,1,41,14,27,26.0,17.4,8.6,0,0,0,0
44,0d2bdb4b,5,178,2,2,1,3,21,0,1,8,-7,0.6,4.8,-4.1,0,0,0,0
45,0d422df7,2,180,2,2,2,0,36,0,1,7,-6,0.7,4.1,-3.5,0,0,0,0
46,0d72fbca,2,18,0,0,0,2,18,1,0,1,-1,0.1,0.2,-0.1,0,0,0,0
47,0d82903c,26,2117,23,23,21,3,9,2,63,15,48,36.6,16.2,20.5,0,0,0,0
48,0ddac7e3,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
49,0e21fc3c,36,2564,28,29,15,7,2,1,46,25,21,40.5,30.1,10.4,0,0,0,0
50,0f22b650,14,358,4,1,1,13,19,0,2,9,-7,3.0,5.5,-2.5,0,0,0,0
51,10dc46f0,37,3330,37,37,37,0,1,1,52,45,7,44.8,45.6,-0.8,0,0,0,0
52,10e7f486,13,910,10,10,8,3,22,1,9,12,-3,10.4,12.1,-1.7,0,0,0,0
53,117beb8f,22,1857,20,22,19,0,8,1,22,30,-8,19.4,28.0,-8.6,0,0,0,0
54,1253a12e,31,2873,31,31,31,0,3,1,30,34,-4,36.0,33.0,2.9,0,0,0,0
55,13d820de,23,1829,20,20,19,3,14,0,16,33,-17,19.1,29.4,-10.2,0,0,0,0
56,13f89eaa,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
57,144607cc,30,2102,23,23,19,7,6,2,23,33,-10,22.1,28.6,-6.5,0,0,0,0
58,149c5f5d,15,903,10,10,5,5,21,0,13,21,-8,11.1,13.7,-2.6,0,0,0,0
59,14b8fcdf,22,1935,21,22,21,0,15,2,54,17,37,32.0,16.6,15.4,0,0,0,0
60,1522dab2,25,2250,25,25,25,0,0,1,34,29,5,34.7,25.1,9.7,0,0,0,0
61,157d29b6,28,1609,17,14,7,14,3,1,18,26,-8,18.2,29.9,-11.7,0,0,0,0
62,15d0c248,18,1168,13,12,11,6,19,2,27,14,13,19.3,13.4,5.9,0,0,0,0
63,15e9c7e6,18,387,4,2,0,16,11,1,15,3,12,8.5,4.0,4.5,0,0,0,0
64,16280959,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
65,162efffd,37,2319,25,25,14,12,1,1,27,44,-17,29.8,35.2,-5.4,0,0,0,0
66,165f9fbf,0,0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0
67,16657b95,36,2824,31,33,19,3,2,1,48,32,16,51.2,30.4,20.7,0,0,0,0
68,16b9d5cf,2,96,1,1,1,1,18,3,3,2,1,1.8,0.3,1.5,0,0,0,0
69,16bc48f8,1,6,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
70,16d887db,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
71,174944a3,2,83,0,1,0,1,14,3,1,0,1,1.2,0.5,0.6,0,0,0,0
72,17cddb4d,16,1216,13,15,9,1,2,0,13,30,-17,13.8,24.6,-10.8,0,0,0,0
73,18736214,4,360,4,4,4,0,24,0,3,5,-2,3.7,4.7,-0.9,0,0,0,0
74,1880614f,26,1249,13,15,0,11,10,1,24,8,16,26.6,11.4,15.1,0,0,0,0
75,19717ecf,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
76,197640fd,20,1500,16,17,12,3,17,1,24,14,10,28.4,14.5,13.9,0,0,0,0
77,1a584cb2,6,329,3,4,2,2,23,0,1,6,-5,2.6,3.5,-0.9,0,0,0,0
78,1ab0b878,12,807,9,9,4,3,1,0,5,14,-9,7.0,18.3,-11.4,0,0,0,0
79,1ad1f50d,29,1311,14,16,4,13,7,1,15,24,-9,18.7,24.4,-5.8,0,0,0,0
80,1b625237,0,0,0,0,0,0,13,0,0,0,0,0.0,0.0,0.0,0,0,0,0
81,1b62a7df,1,11,0,0,0,1,11,0,0,0,0,0.1,0.6,-0.6,0,0,0,0
82,1b729ba2,24,1700,18,22,11,2,8,0,14,19,-5,19.1,22.7,-3.6,0,0,0,0
83,1c17dfe0,5,99,1,0,0,5,7,0,1,2,-1,0.7,2.1,-1.5,0,0,0,0
84,1c50f354,17,967,10,11,4,6,19,4,14,11,3,9.0,15.2,-6.2,0,0,0,0
85,1c529186,17,1057,11,11,7,6,15,1,17,10,7,13.8,11.4,2.5,0,0,0,0
86,1c8c5aed,20,1564,17,17,16,3,14,1,25,18,7,19.4,21.5,-2.1,0,0,0,0
87,1c9cfad4,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
88,1ca1ee8a,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
89,1ceeae3e,11,189,2,0,0,11,11,0,2,5,-3,3.2,3.3,-0.2,0,0,0,0
90,1d00a56c,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
91,1e12c53b,30,2616,29,30,27,0,5,0,32,42,-10,27.3,42.6,-15.3,0,0,0,0
92,1e330270,0,0,0,0,0,0,29,0,0,0,0,0.0,0.0,0.0,0,0,0,0
93,1ea5f91c,36,2654,29,28,19,8,0,1,41,47,-6,33.8,37.0,-3.2,0,0,0,0
94,1f9328da,31,2613,29,31,23,0,2,1,42,20,22,46.8,29.6,17.2,0,0,0,0
95,1fca9171,24,1591,17,20,8,4,6,0,19,21,-2,16.9,20.7,-3.8,0,0,0,0
96,2054d037,26,1532,17,18,4,8,4,1,23,23,0,19.1,18.4,0.7,0,0,0,0
97,211c0e82,0,0,0,0,0,0,9,0,0,0,0,0.0,0.0,0.0,0,0,0,0
98,2146785a,21,1564,17,18,15,3,11,1,26,18,8,24.9,16.8,8.1,0,0,0,0
99,21b6d3e9,0,0,0,0,0,0,32,0,0,0,0,0.0,0.0,0.0,0,0,0,0
100,2258c078,29,2480,27,29,21,0,5,0,27,44,-17,27.1,40.3,-13.3,0,0,0,0
101,22ca11f1,1,18,0,0,0,1,14,1,1,1,0,0.0,0.3,-0.3,0,0,0,0
