id,MP,Min,90s,Starts,Compl,Subs,unSub,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
0000acda,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
008a6e6d,15,770,8,9,5,6,11,4,13,-9,11.9,14.1,-2.2,0,0,0,0
01040647,14,441,4,2,1,12,9,8,12,-4,6.1,9.3,-3.2,0,0,0,0
01a49bd2,28,2181,24,25,19,3,8,30,61,-31,25.9,46.3,-20.5,0,0,0,0
01b8a2b2,30,2677,29,30,29,0,8,55,32,23,56.7,30.0,26.7,2677,30,30,29
01c3aff5,34,1702,18,18,6,16,2,33,16,17,38.2,17.5,20.6,0,0,0,0
01efac19,34,2765,30,32,23,2,0,37,41,-4,37.0,41.3,-4.3,0,0,0,0
023937a9,33,2232,24,24,19,9,4,29,33,-4,23.1,38.3,-15.2,0,0,0,0
028e70b9,4,113,1,0,0,4,1,0,2,-2,1.2,2.4,-1.2,0,0,0,0
02caf6e0,32,2613,29,30,20,2,0,51,40,11,46.7,34.7,12.1,0,0,0,0
034eedbe,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0
0375723e,33,1620,18,17,2,16,1,25,24,1,24.7,25.8,-1.1,0,0,0,0
03f946ed,26,964,10,9,2,17,5,22,14,8,21.4,14.7,6.7,0,0,0,0
0489bb30,21,755,8,7,1,14,12,11,10,1,14.4,8.0,6.4,0,0,0,0
04b40c58,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
04df29a5,4,94,1,1,0,3,13,1,0,1,2.4,0.4,2.0,0,0,0,0
0511d050,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
05e19d6a,37,3226,35,36,32,1,0,70,39,31,67.1,43.4,23.7,0,0,0,0
0728bebe,34,2332,25,29,8,5,1,31,39,-8,31.3,37.2,-5.9,0,0,0,0
07767f42,10,440,4,7,0,3,21,9,4,5,7.9,4.9,3.0,0,0,0,0
07ea0ef2,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
081b6080,1,11,0,0,0,1,10,0,1,-1,0.0,0.3,-0.3,0,0,0,0
0821331c,26,2066,22,24,17,2,10,26,46,-20,27.3,37.0,-9.7,0,0,0,0
085e71a7,36,3148,35,36,34,0,0,46,56,-10,43.8,56.2,-12.4,3148,36,36,35
089550f5,9,224,2,1,1,8,9,3,2,1,5.0,3.8,1.2,0,0,0,0
08990838,1,32,0,0,0,1,1,0,1,-1,0.2,0.9,-0.7,0,0,0,0
08aa9cd1,8,169,1,1,0,7,20,9,0,9,6.1,0.7,5.4,0,0,0,0
08f5afaa,37,3330,37,37,37,0,0,71,38,33,68.2,44.9,23.3,3330,37,37,37
09538fdb,36,2370,26,26,16,10,1,28,40,-12,35.6,34.3,1.2000000000000002,0,0,0,0
097900fc,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
099a2de5,2,54,0,0,0,2,2,3,2,1,1.3,1.1,0.3,0,0,0,0
0a1efd3c,12,430,4,4,2,8,10,7,12,-5,6.4,11.1,-4.7,0,0,0,0
0a3065c8,20,1481,16,18,6,2,1,18,22,-4,24.0,24.9,-0.9,0,0,0,0
0a447501,14,978,10,12,4,2,1,12,14,-2,14.0,18.4,-4.4,0,0,0,0
0a483542,23,1456,16,16,8,7,15,31,26,5,25.2,24.1,1.1,0,0,0,0
0ab1f153,30,2175,24,26,17,4,0,47,25,22,46.2,22.2,23.9,0,0,0,0
0acc3f61,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
0b5a292a,27,1669,18,17,12,10,10,42,20,22,33.8,20.3,13.6,0,0,0,0
0c8f27b5,1,32,0,0,0,1,1,0,1,-1,0.2,0.9,-0.7,0,0,0,0
0cadc46d,27,832,9,7,2,20,4,9,11,-2,13.8,14.1,-0.3,0,0,0,0
0cd0e21b,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
0d077b88,15,528,5,4,2,11,10,15,11,4,10.9,10.1,0.8,0,0,0,0
0d422df7,34,3060,34,34,34,0,4,38,42,-4,40.5,44.9,-4.4,3060,34,34,34
0d82903c,26,1858,20,20,15,6,1,49,21,28,42.8,21.9,20.9,0,0,0,0
0db169ae,25,1330,14,17,4,8,10,28,16,12,31.9,17.6,14.3,0,0,0,0
0dfce079,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0
0e0e4422,1,5,0,0,0,1,5,0,0,0,0.1,0.0,0.1,0,0,0,0
0e21fc3c,20,491,5,4,0,16,7,7,8,-1,6.7,10.7,-4.0,0,0,0,0
0e490f6e,9,177,2,1,0,8,14,1,5,-4,1.1,4.2,-3.1,0,0,0,0
0fee6bda,27,1798,20,19,17,8,6,27,37,-10,27.1,34.2,-7.1,0,0,0,0
1079c685,23,369,4,3,0,20,12,5,7,-2,8.3,8.8,-0.5,0,0,0,0
10dc46f0,32,2880,32,32,32,0,3,42,62,-20,39.9,53.8,-13.9,2880,32,32,32
10e7f486,28,1877,20,21,16,7,6,30,29,1,32.0,29.1,2.8,0,0,0,0
11e0904f,7,104,1,0,0,7,26,2,2,0,2.3,1.2,1.1,0,0,0,0
1295552e,28,1672,18,18,4,10,8,35,29,6,29.0,26.3,2.7,0,0,0,0
129af0db,32,2014,22,23,10,9,1,44,23,21,45.6,23.5,22.1,0,0,0,0
12c35abe,18,532,5,3,0,15,17,16,7,9,11.5,4.8,6.7,0,0,0,0
12d73e55,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,0,0
130a7a3f,28,1181,13,12,3,16,7,23,13,10,21.8,15.1,6.8,0,0,0,0
13a0ff99,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,0,0
13c8e5f6,1,11,0,0,0,1,0,0,0,0,0.1,0.0,0.1,0,0,0,0
13e827f8,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
144607cc,34,2739,30,31,21,3,0,32,61,-29,32.6,47.8,-15.2,0,0,0,0
149c5f5d,24,1828,20,21,11,3,3,27,37,-10,24.3,30.6,-6.3,0,0,0,0
14ae023f,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
14b8fcdf,16,1001,11,12,7,4,4,8,17,-9,14.2,12.2,1.9,0,0,0,0
157d29b6,29,1514,16,17,5,12,4,28,31,-3,22.8,30.8,-8.0,0,0,0,0
1584e9f3,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0
15d0c248,14,909,10,10,4,4,2,19,12,7,12.9,11.1,1.8,0,0,0,0
162efffd,36,3201,35,36,33,0,0,39,56,-17,41.8,48.9,-7.0,0,0,0,0
16657b95,34,2155,23,22,17,12,1,45,32,13,41.7,27.7,14.0,0,0,0,0
16b9d5cf,17,1207,13,12,9,5,17,28,20,8,23.5,17.3,6.3,0,0,0,0
16bb656a,30,1860,20,22,13,8,2,20,28,-8,27.0,27.6,-0.6,0,0,0,0
173061c0,28,1956,21,22,17,6,0,20,47,-27,24.5,33.5,-9.0,0,0,0,0
174944a3,1,90,1,1,1,0,5,2,2,0,2.4,2.4,0.0,0,0,0,0
