id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,On-Off,onxG,onxGA,xG+/-,On-Off.1,MinGK,MPGK,StartsGK,90sGK
0000acda,18,540,6.0,4,0,14,15,0.92,4,14.0,-10.0,-2.95,7.1000000000000005,11.9,-4.9,-1.34,0,0,0,0.0
00459419,33,2694,29.9,32,20,1,1,1.24,35,43.0,-8.0,0.1,38.0,40.1,-2.1,0.63,0,0,0,0.0
0154d290,17,668,7.4,6,0,11,8,1.65,13,9.0,4.0,0.15,11.2,7.0,4.2,-0.18,0,0,0,0.0
01b8a2b2,33,2970,33.0,33,33,0,4,1.91,50,29.0,21.0,0.84,46.2,33.3,12.9,0.29,2970,33,33,33.0
01c3aff5,21,1369,15.2,15,9,6,2,1.67,20,16.0,4.0,-0.44,17.4,16.2,1.3,-0.45,0,0,0,0.0
01efac19,29,2340,26.0,27,20,2,1,1.52,48,42.0,6.0,0.23,35.5,34.0,1.5,0.07,0,0,0,0.0
023937a9,14,1053,11.7,12,9,2,0,1.07,12,17.0,-5.0,1.09,14.0,17.5,-3.5,0.66,0,0,0,0.0
02caf6e0,31,1665,18.5,16,9,15,3,1.61,39,30.0,9.0,-0.03,26.6,23.1,3.5,-0.02,0,0,0,0.0
0375723e,18,875,9.7,11,0,7,7,2.07,13,19.0,-6.0,2.41,11.600000000000001,17.3,-5.6000000000000005,-0.5,0,0,0,0.0
03f946ed,24,586,6.5,4,1,20,11,2.17,11,6.0,5.0,-0.44,10.4,5.4,5.0,0.13,0,0,0,0.0
0489bb30,12,429,4.8,5,0,7,7,0.83,2,10.0,-8.0,-1.02,5.2,9.4,-4.2,-0.28,0,0,0,0.0
04b40c58,2,35,0.4,0,0,2,28,1.5,0,1.0,-1.0,-1.8,1.3,0.6,0.8,2.69,0,0,0,0.0
05e19d6a,31,2308,25.6,25,18,6,0,2.26,43,21.0,22.0,-0.44,38.5,25.3,13.2,-0.33,0,0,0,0.0
05f2f323,0,0,0.0,0,0,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
06b08c45,0,0,0.0,0,0,0,8,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
06c2ba58,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0728bebe,23,1391,15.5,16,5,7,2,1.74,18,19.0,-1.0,-0.46,25.0,15.6,9.4,0.16,0,0,0,0.0
07767f42,12,271,3.0,2,0,10,22,1.42,5,10.0,-5.0,-1.75,3.6,7.5,-3.9,-1.12,0,0,0,0.0
07ea0ef2,5,175,1.9,2,0,3,8,0.8,3,6.0,-3.0,-0.38,1.8,3.0,-1.2,0.16,0,0,0,0.0
0821331c,17,1211,13.5,13,8,4,7,0.88,8,16.0,-8.0,0.42,12.7,18.7,-5.9,0.0,0,0,0,0.0
0847b5a5,32,2100,23.3,25,7,7,0,0.81,24,39.0,-15.0,0.72,24.8,39.9,-15.1,0.74,0,0,0,0.0
085e71a7,7,556,6.2,7,6,0,18,1.29,7,8.0,-1.0,-0.44,7.2,7.5,-0.3,-0.68,556,7,7,6.2
08990838,1,8,0.1,0,0,1,12,3.0,0,0.0,0.0,-0.5,0.1,0.0,0.1,1.3,0,0,0,0.0
08aa9cd1,36,2869,31.9,32,25,4,1,1.06,44,59.0,-15.0,0.35,39.3,54.4,-15.1,0.51,0,0,0,0.0
08eb3b58,26,1565,17.4,18,9,8,8,1.77,26,24.0,2.0,-0.56,27.4,19.2,8.3,-0.42,0,0,0,0.0
091795f2,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
09538fdb,28,1184,13.2,11,4,17,6,1.18,20,25.0,-5.0,-0.82,17.6,17.3,0.3,-0.02,0,0,0,0.0
0967845b,25,1477,16.4,16,9,9,7,1.12,22,27.0,-5.0,0.39,19.1,27.3,-8.2,0.1,0,0,0,0.0
09899de8,19,1497,16.6,17,15,2,14,1.0,20,27.0,-7.0,0.19,17.5,24.5,-6.9,0.25,0,0,0,0.0
0a3065c8,16,694,7.7,7,4,9,14,0.69,9,12.0,-3.0,-0.12,9.9,11.4,-1.5,0.0,0,0,0,0.0
0a447501,29,1803,20.0,22,6,7,3,1.24,29,20.0,9.0,0.67,25.7,19.4,6.3,0.12,0,0,0,0.0
0a483542,29,1975,21.9,22,17,7,5,1.17,40,39.0,1.0,0.23,33.1,43.7,-10.6,-0.48,0,0,0,0.0
0ab1f153,33,2487,27.6,28,18,5,2,1.85,45,23.0,22.0,0.99,39.3,23.7,15.7,0.79,0,0,0,0.0
0acda699,2,177,2.0,2,1,0,36,2.0,3,2.0,1.0,0.84,1.8,2.7,-0.8,-0.23,177,2,2,2.0
0b01908c,0,0,0.0,0,0,0,6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0b5a292a,34,2992,33.2,34,24,0,1,2.03,67,29.0,38.0,0.09,51.9,27.2,24.7,0.62,0,0,0,0.0
0be276c6,31,2563,28.5,30,24,1,3,0.9,22,51.0,-29.0,0.66,27.3,43.6,-16.3,0.74,0,0,0,0.0
0cadc46d,11,215,2.4,1,0,10,12,1.55,2,7.0,-5.0,-2.77,1.9,3.8,-1.9,-1.07,0,0,0,0.0
0ccac09c,7,348,3.9,5,0,2,10,0.71,2,8.0,-6.0,-0.76,1.6,6.6,-5.1,-0.97,0,0,0,0.0
0cf465f2,9,121,1.3,0,0,9,11,1.89,4,2.0,2.0,1.0,3.2,1.2,2.0,1.19,0,0,0,0.0
0d077b88,8,282,3.1,2,1,6,11,0.5,4,8.0,-4.0,-0.53,2.9,6.0,-3.0,-0.36,0,0,0,0.0
0d422df7,35,3150,35.0,35,35,0,0,1.26,55,50.0,5.0,0.81,47.3,46.4,0.8,0.65,3150,35,35,35.0
0d82903c,28,1780,19.8,17,13,11,4,1.61,26,25.0,1.0,-0.99,25.7,21.0,4.7,-0.23,0,0,0,0.0
0db169ae,36,2600,28.9,31,18,5,1,2.31,54,18.0,36.0,1.03,46.1,23.6,22.5,0.64,0,0,0,0.0
0dfce079,3,270,3.0,3,3,0,33,0.75,2,6.0,-4.0,-0.48,2.6,6.3,-3.7,-0.7,270,3,3,3.0
0e0d6c53,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
0fdcef0e,23,1353,15.0,14,12,9,10,0.96,13,24.0,-11.0,-0.34,14.9,25.0,-10.1,-0.19,0,0,0,0.0
0fee6bda,30,2576,28.6,30,27,0,0,1.07,29,51.0,-22.0,0.08,27.1,52.0,-24.9,-0.93,0,0,0,0.0
102e2599,1,18,0.2,0,0,1,5,3.0,1,0.0,1.0,5.56,0.0,1.3,-1.2,-5.95,0,0,0,0.0
10b9fa99,29,2282,25.4,26,18,3,0,0.69,20,44.0,-24.0,-0.08,22.2,47.5,-25.3,-0.2,0,0,0,0.0
10dc46f0,37,3330,37.0,37,37,0,1,0.76,27,59.0,-32.0,0.14,36.2,53.3,-17.1,-0.72,3330,37,37,37.0
10e7f486,23,1729,19.2,19,14,4,11,1.3,31,35.0,-4.0,-0.31,29.2,27.6,1.6,0.73,0,0,0,0.0
11962fe7,17,952,10.6,10,6,7,7,0.47,8,29.0,-21.0,-1.11,9.8,22.0,-12.1,-0.54,0,0,0,0.0
1226f0de,0,0,0.0,0,0,0,36,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1295552e,31,2046,22.7,24,16,7,6,1.42,35,43.0,-8.0,-0.74,30.3,41.1,-10.8,-0.49,0,0,0,0.0
129af0db,35,2302,25.6,26,7,9,1,1.83,37,20.0,17.0,0.42,36.5,25.6,10.9,0.23,0,0,0,0.0
12e6d21a,11,245,2.7,1,0,10,4,0.36,2,4.0,-2.0,0.2,3.4,5.4,-1.9,0.23,0,0,0,0.0
130a7a3f,5,125,1.4,1,0,4,17,2.0,6,0.0,6.0,3.45,2.4,1.3,1.1,0.18,0,0,0,0.0
13b44b02,33,2735,30.4,32,23,1,1,1.18,39,48.0,-9.0,1.15,36.6,50.8,-14.2,0.45,0,0,0,0.0
149c5f5d,21,1072,11.9,10,5,11,11,1.71,18,12.0,6.0,0.08,15.0,13.5,1.5,-0.47,0,0,0,0.0
14a96e1c,17,1485,16.5,16,16,1,13,0.59,13,27.0,-14.0,0.13,15.4,30.9,-15.5,-0.02,1485,17,16,16.5
14b8fcdf,12,879,9.8,9,8,3,23,2.17,14,9.0,5.0,-0.02,10.0,12.9,-2.9,-0.87,0,0,0,0.0
157d29b6,4,66,0.7,0,0,4,5,0.0,0,3.0,-3.0,-3.26,1.0,1.7,-0.7,-0.36,0,0,0,0.0
15d0c248,31,2491,27.7,28,22,3,3,1.61,51,39.0,12.0,-0.24,38.2,33.2,5.0,-0.07,0,0,0,0.0
15e9c7e6,10,287,3.2,3,0,7,7,0.2,4,8.0,-4.0,-0.36,3.4,5.8,-2.4,0.19,0,0,0,0.0
