id,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Tkld,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
c5942695,166.0,3.0,18.0,71.0,80.0,7.0,166.0,15.0,8.0,7.0,105.0,712.0,352.0,9.0,11.0,2.0,9.0,13.0,125.0,31.0
1c529186,864.0,35.0,237.0,428.0,206.0,8.0,864.0,1.0,0.0,1.0,386.0,1802.0,1124.0,20.0,18.0,0.0,7.0,6.0,563.0,65.0
b96b595c,2124.0,299.0,1076.0,954.0,135.0,21.0,2124.0,23.0,17.0,6.0,918.0,5957.0,2979.0,35.0,38.0,0.0,26.0,9.0,1044.0,14.0
d7403bd5,562.0,8.0,79.0,405.0,92.0,7.0,562.0,24.0,16.0,8.0,392.0,2545.0,1243.0,24.0,18.0,2.0,13.0,14.0,413.0,24.0
ce5b170a,691.0,38.0,199.0,296.0,207.0,26.0,691.0,19.0,9.0,10.0,344.0,2339.0,1105.0,31.0,25.0,10.0,23.0,24.0,365.0,54.0
06050480,1142.0,94.0,343.0,539.0,269.0,6.0,1142.0,33.0,25.0,8.0,472.0,2327.0,1139.0,25.0,21.0,2.0,19.0,15.0,538.0,56.0
f9714604,553.0,108.0,330.0,212.0,18.0,9.0,553.0,6.0,5.0,1.0,236.0,1060.0,448.0,2.0,2.0,0.0,6.0,4.0,203.0,0.0
5294a83f,2136.0,7.0,128.0,1050.0,995.0,67.0,2134.0,86.0,59.0,27.0,1461.0,8283.0,4656.0,126.0,109.0,20.0,56.0,54.0,1567.0,179.0
4bd414c1,2760.0,149.0,876.0,1839.0,55.0,28.0,2760.0,5.0,2.0,3.0,1838.0,9780.0,6268.0,27.0,10.0,0.0,6.0,3.0,2036.0,4.0
7a2e46a8,1405.0,1143.0,1395.0,11.0,0.0,0.0,1405.0,6.0,6.0,0.0,677.0,3374.0,2393.0,0.0,1.0,0.0,3.0,0.0,646.0,0.0
