id,Gls,Sh,SoT,FK,PK,PKatt,xG,npxG,G-xG,np:G-xG,TotDist
008a6e6d,0,6,1,0,0,0,0.4,0.4,-0.4,-0.4,109.2
01040647,0,9,0,1,0,0,0.3,0.3,-0.3,-0.3,232.2
01a49bd2,1,8,2,0,0,0,1.2,1.2,-0.2,-0.2,68.0
01b8a2b2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
01c3aff5,5,29,14,0,0,0,4.9,4.9,0.1,0.1,310.3
01efac19,7,45,16,1,0,0,6.8,6.8,0.2,0.2,715.5
023937a9,0,6,1,1,0,0,0.4,0.4,-0.4,-0.4,111.6
028e70b9,0,1,0,0,0,0,0.1,0.1,-0.1,-0.1,9.2
02caf6e0,2,24,6,0,0,0,2.1,2.1,-0.1,-0.1,463.2
0375723e,1,40,13,13,0,0,3.5,3.5,-2.5,-2.5,908.0
03f946ed,4,24,10,0,0,0,4.1,4.1,-0.1,-0.1,268.8
0489bb30,2,22,10,0,0,0,3.9,3.9,-1.9,-1.9,330.0
04df29a5,0,4,1,0,0,0,0.6,0.6,-0.6,-0.6,49.2
05e19d6a,13,36,8,0,11,13,14.0,3.8,-1.0,-1.8,698.4
0728bebe,5,32,13,0,0,0,3.0,3.0,2.0,2.0,553.6
07767f42,0,2,0,0,0,0,0.1,0.1,-0.1,-0.1,57.8
081b6080,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0821331c,0,13,3,0,0,0,1.2,1.2,-1.2,-1.2,241.8
085e71a7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
089550f5,0,2,1,0,0,0,0.1,0.1,-0.1,-0.1,46.2
08990838,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
08aa9cd1,1,4,2,0,0,0,0.7,0.7,0.3,0.3,57.2
08f5afaa,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
09538fdb,4,71,18,1,0,0,10.6,10.6,-6.6000000000000005,-6.6000000000000005,2122.9
099a2de5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0a1efd3c,3,7,3,0,0,1,3.0,2.2,0.0,0.8,86.8
0a3065c8,0,2,0,0,0,0,0.1,0.1,-0.1,-0.1,27.8
0a447501,5,20,11,0,0,0,3.3,3.3,1.7,1.7,298.0
0a483542,1,24,13,1,0,0,1.6,1.6,-0.6,-0.6,525.6
0ab1f153,2,18,6,0,1,1,2.3,1.5,-0.3,-0.5,320.4
0b5a292a,0,19,2,2,0,0,0.9,0.9,-0.9,-0.9,446.5
0c8f27b5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0cadc46d,1,31,8,0,0,0,3.2,3.2,-2.2,-2.2,415.4
0d077b88,1,9,3,3,0,0,0.5,0.5,0.5,0.5,204.3
0d422df7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0d82903c,2,13,3,0,0,0,1.6,1.6,0.4,0.4,174.2
0db169ae,0,10,3,1,0,0,0.4,0.4,-0.4,-0.4,241.0
0e0e4422,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0e21fc3c,0,5,0,0,0,0,0.3,0.3,-0.3,-0.3,101.5
0e490f6e,0,4,0,0,0,0,0.2,0.2,-0.2,-0.2,100.8
0fee6bda,3,10,3,0,0,0,1.2,1.2,1.8,1.8,123.0
1079c685,1,16,6,0,0,0,3.0,3.0,-2.0,-2.0,184.0
10dc46f0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
10e7f486,0,16,3,0,0,0,0.5,0.5,-0.5,-0.5,358.4
11e0904f,0,1,0,0,0,0,0.0,0.0,0.0,0.0,23.0
1295552e,0,15,1,0,0,0,0.8,0.8,-0.8,-0.8,249.0
129af0db,11,55,23,0,1,1,10.7,9.9,0.3,0.1,643.5
12c35abe,2,7,3,0,0,0,0.9,0.9,1.1,1.1,103.6
130a7a3f,1,25,7,1,0,0,2.5,2.5,-1.5,-1.5,445.0
13c8e5f6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
144607cc,4,35,10,0,0,0,3.7,3.7,0.3,0.3,661.5
149c5f5d,1,7,2,0,0,0,0.2,0.2,0.8,0.8,172.2
14b8fcdf,1,3,1,0,0,0,0.4,0.4,0.6,0.6,24.9
157d29b6,4,32,10,2,0,0,3.2,3.2,0.8,0.8,540.8
15d0c248,0,4,0,0,0,0,0.3,0.3,-0.3,-0.3,56.0
162efffd,9,79,19,10,3,3,6.2,3.8,2.8,2.2,2014.5
16657b95,1,28,8,1,0,0,2.4,2.4,-1.4,-1.4,532.0
16b9d5cf,0,5,1,0,0,0,0.6,0.6,-0.6,-0.6,41.5
16bb656a,0,15,4,0,0,0,1.9,1.9,-1.9,-1.9,180.0
173061c0,2,19,3,0,0,0,3.2,3.2,-1.2,-1.2,256.5
174944a3,0,1,0,0,0,0,0.3,0.3,-0.3,-0.3,5.0
1780bb4a,0,2,0,0,0,0,0.1,0.1,-0.1,-0.1,59.8
185bf610,0,1,1,0,0,0,0.3,0.3,-0.3,-0.3,12.3
18736214,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
18f9dbd0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
19d1c41f,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
19e4eab9,1,10,3,0,0,0,1.3,1.3,-0.3,-0.3,103.0
1ac232b8,1,21,4,1,0,0,1.2,1.2,-0.2,-0.2,411.6
1ad1f50d,4,10,5,1,1,1,2.4,1.6,1.6,1.4,173.0
1b82f8df,0,4,2,0,0,0,0.6,0.6,-0.6,-0.6,68.0
1bd5fc78,1,9,1,0,0,0,0.9,0.9,0.1,0.1,164.7
1cac99dc,0,2,1,0,0,0,0.1,0.1,-0.1,-0.1,33.0
1cadaf34,5,15,11,0,0,0,5.6,5.6,-0.6,-0.6,144.0
1d0bb7e4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1db295e5,2,5,2,0,1,1,1.2,0.4,0.8,0.6,56.5
1de40dae,0,2,0,0,0,0,0.1,0.1,-0.1,-0.1,49.0
1ea5f91c,6,39,10,0,0,0,4.6,4.6,1.4,1.4,670.8
1f9328da,1,52,6,0,0,0,1.6,1.6,-0.6,-0.6,2527.2
20094685,2,10,4,0,0,0,1.2,1.2,0.8,0.8,194.0
20730eae,6,43,20,0,0,0,6.0,6.0,0.0,0.0,705.2
2079b3cc,2,19,6,0,0,0,2.5,2.5,-0.5,-0.5,294.5
20b3a502,1,18,5,0,0,0,1.2,1.2,-0.2,-0.2,354.6
20b9f052,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2146785a,2,24,7,0,0,0,1.3,1.3,0.7,0.7,530.4
215f3907,2,25,8,3,0,0,2.9,2.9,-0.9,-0.9,492.5
217875a4,0,3,1,0,0,0,0.7,0.7,-0.7,-0.7,21.0
2200181e,0,5,0,2,0,0,0.5,0.5,-0.5,-0.5,83.0
226008f1,2,7,3,0,0,0,0.9,0.9,1.1,1.1,77.0
22bfb57e,0,4,0,0,0,0,0.1,0.1,-0.1,-0.1,103.6
22ca11f1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2306bf5c,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
230a2fac,3,28,12,0,0,0,3.8,3.8,-0.8,-0.8,347.2
2334478a,1,6,2,2,0,0,0.6,0.6,0.4,0.4,252.6
23610943,2,16,6,0,0,0,1.4,1.4,0.6,0.6,294.4
259deea9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
263b855a,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
26c54058,1,8,1,1,0,0,0.8,0.8,0.2,0.2,96.0
26cd1bff,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
26db8853,0,17,4,0,0,0,0.7,0.7,-0.7,-0.7,413.1
277da414,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2873973b,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2990c466,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2a1beb34,1,17,3,0,0,0,0.6,0.6,0.4,0.4,445.4
2bae5658,1,12,4,0,0,0,1.1,1.1,-0.1,-0.1,181.2
2c0f8e9e,7,28,15,4,0,1,6.4,5.6,0.6,1.4,462.0
2c38b327,3,29,11,0,0,0,2.6,2.6,0.4,0.4,498.8
2c851997,0,13,5,2,0,0,0.8,0.8,-0.8,-0.8,274.3
2cfae697,1,9,4,0,0,0,0.2,0.2,0.8,0.8,258.3
2d970560,11,52,21,0,0,0,8.4,8.4,2.6,2.6,639.6
2d9d9e42,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2e0ae188,0,1,0,0,0,0,0.0,0.0,0.0,0.0,23.6
2ead2809,8,75,28,5,0,1,9.7,8.8,-1.7,-0.8,1207.5
2f3452eb,0,8,0,0,0,0,0.3,0.3,-0.3,-0.3,204.8
2f557579,19,136,40,13,7,8,15.6,9.3,3.4,2.7,2951.2
2f7407fa,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
30223b33,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
30f5ffa9,3,15,6,0,0,0,2.3,2.3,0.7,0.7,154.5
31d7f557,0,2,0,0,0,0,0.1,0.1,-0.1,-0.1,21.8
326d09ef,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
32a33c68,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
32c0491f,0,1,0,0,0,0,0.1,0.1,-0.1,-0.1,11.9
339c6ed4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
339fe0e8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
33b8d077,2,25,4,1,0,0,1.0,1.0,1.0,1.0,592.5
33e98344,0,1,0,0,0,0,0.0,0.0,0.0,0.0,20.9
33ecf462,3,24,10,0,0,0,1.9,1.9,1.1,1.1,532.8
343c0d52,6,43,13,0,0,0,7.7,7.7,-1.7,-1.7,593.4
343f753a,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
348bafd4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
34bb6fbd,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3535098b,0,1,0,0,0,0,0.0,0.0,0.0,0.0,32.4
356c9002,5,55,18,4,2,2,4.9,3.4,0.1,-0.4,1254.0
35b4bc62,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
35dd6d80,1,5,1,0,1,1,0.9,0.1,0.1,-0.1,146.0
3626daea,2,22,6,0,0,0,1.7,1.7,0.3,0.3,387.2
366be751,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3688af6c,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
36d7971a,0,1,0,0,0,0,0.0,0.0,0.0,0.0,26.6
36d9dabe,0,6,2,0,0,0,0.2,0.2,-0.2,-0.2,147.6
38bf62b5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
39583cfd,1,17,9,1,0,0,1.4,1.4,-0.4,-0.4,273.7
39ee6cb6,0,4,1,0,0,0,0.4,0.4,-0.4,-0.4,92.4
3a35db3d,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3b333ac3,2,27,13,0,0,0,3.2,3.2,-1.2,-1.2,326.7
3b61c9ec,0,5,0,0,0,0,0.1,0.1,-0.1,-0.1,128.5
3b8674e6,0,15,5,0,0,0,0.6,0.6,-0.6,-0.6,376.5
3bb7af3b,2,10,4,0,0,0,1.0,1.0,1.0,1.0,141.0
3bb7f478,7,69,24,0,0,1,13.2,12.4,-6.2,-5.4,903.9
3ca7254a,5,43,15,0,0,0,4.2,4.2,0.8,0.8,817.0
3cb132e6,0,4,1,0,0,0,0.2,0.2,-0.2,-0.2,67.2
3cd3b384,1,8,2,0,0,0,0.3,0.3,0.7,0.7,154.4
3cf7dc7e,0,21,5,3,0,0,1.0,1.0,-1.0,-1.0,569.1
3dd45b70,3,13,7,0,0,0,0.4,0.4,2.6,2.6,295.1
3e092724,0,6,1,3,0,0,0.3,0.3,-0.3,-0.3,166.8
3ead85f9,1,15,3,0,0,0,2.8,2.8,-1.8,-1.8,108.0
3ec3c1c9,1,16,4,0,0,0,1.5,1.5,-0.5,-0.5,267.2
3f1107d5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3f79a1c8,0,7,3,0,0,0,0.7,0.7,-0.7,-0.7,171.5
407feb71,4,26,8,0,0,0,3.4,3.4,0.6,0.6,436.8
41bd99ea,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
42b1a58a,1,2,1,0,0,0,0.4,0.4,0.6,0.6,12.8
42fff925,0,1,1,0,0,0,0.1,0.1,-0.1,-0.1,10.7
4366d5e9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
440c84ed,1,11,1,0,0,0,0.4,0.4,0.6,0.6,232.1
4431aed2,20,112,44,0,4,8,19.8,13.6,0.2,2.4,1848.0
44510fde,2,13,4,0,0,0,1.6,1.6,0.4,0.4,172.9
44ac04e9,1,6,3,0,0,0,0.8,0.8,0.2,0.2,94.8
44eb9093,3,8,6,0,0,0,1.3,1.3,1.7,1.7,89.6
45191c29,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
45392b06,5,14,4,2,4,4,3.8,0.6,1.2,0.4,407.4
4571fa88,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
457cb02f,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
45b9b619,8,53,22,0,1,1,6.9,6.3,1.1,0.7,736.7
4611e028,1,16,3,4,0,0,0.8,0.8,0.2,0.2,393.6
46fa7204,1,19,4,0,0,0,1.5,1.5,-0.5,-0.5,326.8
48b3dd60,1,3,1,0,0,0,0.1,0.1,0.9,0.9,75.0
48d5bd33,8,66,20,12,1,1,5.6,4.9,2.4,2.1,1458.6
4a56052c,10,35,14,2,5,5,8.1,4.1,1.9,0.9,721.0
4a5a45c7,7,69,26,10,1,1,5.6,4.8,1.4,1.2,1421.4
4a6914ff,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
4ae67f27,0,3,0,0,0,0,0.3,0.3,-0.3,-0.3,20.1
4b029b31,0,7,0,0,0,0,0.5,0.5,-0.5,-0.5,93.8
4b3e1a38,1,5,2,0,0,0,0.4,0.4,0.6,0.6,53.0
4b520f96,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
4c3a6744,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
4c62d0c8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
4c78b5ed,0,12,3,0,0,0,0.4,0.4,-0.4,-0.4,297.6
4c7919df,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
4cde5509,15,75,34,7,3,6,16.2,11.9,-1.2,0.1,1252.5
4d17df3e,0,7,1,0,0,0,0.7,0.7,-0.7,-0.7,71.4
4dea2f2c,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
4e358a2d,1,3,2,0,0,0,0.2,0.2,0.8,0.8,34.2
4e6dbac4,8,63,21,11,0,0,6.9,6.9,1.1,1.1,1178.1
4f2908e5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
4fa7cb9b,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
5048486b,0,4,2,0,0,0,0.6,0.6,-0.6,-0.6,66.4
509a4ccb,7,44,19,0,0,0,5.7,5.7,1.3,1.3,611.6
5128bde4,3,32,11,2,0,0,3.4,3.4,-0.4,-0.4,569.6
51ffa295,1,8,3,0,0,0,0.8,0.8,0.2,0.2,156.0
524eb8c5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
528492ea,0,8,0,0,0,0,0.2,0.2,-0.2,-0.2,424.8
5294a83f,9,69,29,3,0,0,5.1,5.0,3.9,4.0,1469.7
52ec54d0,2,16,3,0,0,0,2.5,2.5,-0.5,-0.5,219.2
536cebe5,11,43,23,0,0,0,5.9,5.6,5.1,5.4,623.5
539230cf,0,9,2,0,0,0,1.6,1.6,-1.6,-1.6,68.4
53a0e358,17,105,32,10,7,8,15.0,8.7,2.0,1.3,2278.5
53de807a,0,6,0,0,0,0,0.4,0.4,-0.4,-0.4,68.4
543d9d2b,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
54ab971f,1,15,5,0,0,0,0.7,0.7,0.3,0.3,322.5
54e53b7e,5,47,15,8,0,1,4.0,3.2,1.0,1.8,1019.9
5570e6fb,1,5,2,0,0,0,0.4,0.4,0.6,0.6,50.0
55a1cac2,6,22,10,0,0,0,3.2,3.2,2.8,2.8,338.8
55db5c36,0,4,0,0,0,0,0.1,0.1,-0.1,-0.1,100.8
563a68ad,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
56400c01,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
570bb4b9,5,43,14,1,0,0,4.1,4.1,0.9,0.9,791.2
57469b2d,8,39,17,0,0,0,5.7,5.7,2.3,2.3,565.5
5832ebfe,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
585a73a8,1,10,3,3,0,0,0.4,0.4,0.6,0.6,235.0
58e933d2,1,17,6,0,0,0,3.2,3.2,-2.2,-2.2,180.2
5944af8f,1,17,4,1,0,0,0.6,0.6,0.4,0.4,397.8
59bf127b,2,16,4,0,0,0,1.1,1.1,0.9,0.9,288.0
5a2cb25d,0,10,3,0,0,0,0.4,0.4,-0.4,-0.4,210.0
5aa53281,4,28,11,0,0,0,2.7,2.7,1.3,1.3,383.6
5aaef9ef,7,56,15,2,4,4,7.1,4.0,-0.1,-1.0,1176.0
5bd72174,11,40,16,0,3,3,9.9,7.6,1.1,0.4,568.0
5c397195,0,12,5,1,0,0,0.7,0.7,-0.7,-0.7,217.2
5cec2c74,1,15,7,0,0,0,1.0,1.0,0.0,0.0,634.5
5e861944,9,63,19,1,0,0,5.2,5.2,3.8,3.8,1234.8
5eae500a,24,90,42,1,6,6,23.0,18.2,1.0,-0.2,1305.0
5efc5389,4,28,7,9,0,0,2.1,2.1,1.9,1.9,588.0
5f951ef1,1,7,3,0,0,0,0.3,0.3,0.7,0.7,111.3
5fa57166,0,1,0,0,0,0,0.1,0.1,-0.1,-0.1,7.4
5fd5ed86,5,26,9,0,0,0,3.2,3.2,1.8,1.8,267.8
601ef102,4,24,9,0,0,0,3.8,3.8,0.2,0.2,302.4
6029a945,0,4,0,0,0,0,0.1,0.1,-0.1,-0.1,100.8
608f2092,0,4,0,0,0,0,0.1,0.1,-0.1,-0.1,81.6
61b3978f,1,3,1,0,0,0,0.2,0.2,0.8,0.8,51.3
61f2f56a,0,2,0,0,0,0,0.2,0.2,-0.2,-0.2,18.4
620922ed,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
6213fd82,2,30,7,0,0,0,1.5,1.5,0.5,0.5,597.0
62437b4f,3,17,7,0,0,0,2.5,2.5,0.5,0.5,248.2
63071a3f,0,3,1,0,0,0,0.1,0.1,-0.1,-0.1,62.4
649b01d8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
64cd167d,0,2,0,0,0,0,0.1,0.1,-0.1,-0.1,45.6
64e8ed6d,10,40,15,0,0,0,6.8,6.8,3.2,3.2,584.0
658d44be,0,1,0,0,0,0,0.0,0.0,0.0,0.0,30.1
6604165d,0,4,1,2,0,0,0.4,0.4,-0.4,-0.4,92.4
6639e500,1,14,5,0,0,0,0.7,0.6,0.3,0.4,302.4
6662d731,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
67cdbc0e,1,21,3,0,0,0,2.4,2.4,-1.4,-1.4,319.2
67f649be,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
6817095b,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
68252d6d,6,57,17,4,2,2,4.9,3.3,1.1,0.7,1185.6
6928979a,3,36,8,0,0,0,2.4,2.4,0.6,0.6,763.2
6a189491,0,2,1,0,0,0,0.1,0.1,-0.1,-0.1,29.6
6b635f5c,1,6,1,0,0,0,0.7,0.7,0.3,0.3,76.2
6c1f7328,0,8,5,0,0,0,0.8,0.8,-0.8,-0.8,144.0
6cc97b6a,0,10,3,0,0,0,0.5,0.5,-0.5,-0.5,208.0
6e058f06,6,24,12,1,0,0,4.3,4.3,1.7,1.7,331.2
6e4df551,4,29,12,3,0,0,2.5,2.5,1.5,1.5,585.8
6eee05f1,0,20,1,0,0,0,1.7,1.7,-1.7,-1.7,224.0
6f5ead86,7,32,8,7,1,1,3.4,2.6,3.6,3.4,752.0
6fe90922,4,35,10,0,0,0,5.2,5.2,-1.2,-1.2,458.5
7005ac66,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
7033ca08,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
71dc23da,0,10,2,0,0,0,0.5,0.5,-0.5,-0.5,227.0
7280b54f,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
72be9309,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
73ddc40c,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
741e058f,1,5,1,0,0,0,0.4,0.4,0.6,0.6,109.0
74419746,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
75b86fb3,0,10,1,0,0,0,1.0,1.0,-1.0,-1.0,99.0
75e60d75,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
75efed2e,0,1,1,0,0,0,0.0,0.0,0.0,0.0,31.8
75f2c59f,5,27,6,0,1,1,4.0,3.2,1.0,0.8,480.6
7737dee2,0,1,1,0,0,0,0.0,0.0,0.0,0.0,22.9
77d6fd4d,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
780e3631,2,22,10,0,0,0,2.4,2.4,-0.4,-0.4,341.0
78841da9,0,10,1,0,0,0,0.4,0.4,-0.4,-0.4,174.0
79083382,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
79443529,21,80,33,1,6,6,18.5,13.8,2.5,1.2,1192.0
7b075c75,1,8,2,0,0,0,1.4,1.4,-0.4,-0.4,76.0
7b082ec2,0,8,2,0,0,0,0.5,0.5,-0.5,-0.5,144.0
7ba1f1ef,1,5,2,0,0,0,0.2,0.2,0.8,0.8,96.0
7cd520e8,0,1,0,0,0,0,0.3,0.3,-0.3,-0.3,6.0
7d3cbc67,0,2,1,0,0,0,0.1,0.1,-0.1,-0.1,30.4
7d50454d,0,7,1,0,0,0,0.5,0.5,-0.5,-0.5,79.8
7eb97a8e,2,31,13,3,0,0,3.9,3.9,-1.9,-1.9,561.1
7ec7738e,2,14,5,0,0,0,2.3,2.3,-0.3,-0.3,214.2
7edfbb8a,1,5,4,0,0,0,0.8,0.8,0.2,0.2,48.0
7f267d66,0,11,2,1,0,0,0.4,0.4,-0.4,-0.4,513.7
7f78ad23,0,13,2,8,0,0,0.6,0.6,-0.6,-0.6,364.0
7fac99d4,3,27,10,1,0,0,1.4,1.4,1.6,1.6,664.2
7fd58fe3,0,6,3,0,0,0,0.4,0.4,-0.4,-0.4,105.0
7fe90ccd,4,41,13,0,0,0,2.6,2.6,1.4,1.4,820.0
801831fe,0,1,1,0,0,0,0.1,0.1,-0.1,-0.1,17.1
80dbbd10,20,55,24,0,8,8,19.1,12.8,0.9,-0.8,693.0
81255c03,16,71,29,3,4,5,12.5,8.7,3.5,3.3,1072.1
817c6964,1,8,5,1,0,0,0.7,0.7,0.3,0.3,166.4
81a4c239,3,19,10,0,0,0,2.7,2.7,0.3,0.3,324.9
822a7761,0,11,1,0,0,0,0.7,0.7,-0.7,-0.7,174.9
82328faf,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
825b8997,0,1,0,0,0,0,0.1,0.1,-0.1,-0.1,7.3
82b1198a,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
82dbf623,1,13,5,0,0,0,2.0,2.0,-1.0,-1.0,239.2
82efe6fa,0,16,4,0,0,0,1.2,1.2,-1.2,-1.2,251.2
83e4643e,1,19,4,3,0,0,1.8,1.8,-0.8,-0.8,359.1
852351df,1,12,6,0,0,0,0.9,0.9,0.1,0.1,213.6
854ee61a,3,22,9,0,0,0,2.1,2.1,0.9,0.9,398.2
85f7d1be,1,3,1,0,0,0,0.9,0.9,0.1,0.1,21.0
8650af85,0,25,5,0,0,0,2.0,2.0,-2.0,-2.0,320.0
8697c095,0,3,1,2,0,0,0.1,0.1,-0.1,-0.1,88.5
875898c7,0,2,0,0,0,0,0.1,0.1,-0.1,-0.1,31.4
8790f988,8,45,16,1,2,2,7.9,6.3,0.1,-0.3,792.0
8794e251,4,33,12,0,0,0,2.7,2.7,1.3,1.3,577.5
881ef58c,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
