id,Gls,Sh,SoT,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,G-xG,np:G-xG
f586779e,17,92,35,0.15,0.4,12.9,3.0,3,3,20.7,18.4,-3.7,-4.4
b96b595c,4,15,7,0.27,0.57,10.8,0.0,0,0,2.4,2.4,1.6,1.6
f9c927de,0,2,2,0.0,0.0,22.7,0.0,0,0,0.1,0.1,-0.1,-0.1
0154d290,2,17,7,0.12,0.29,16.1,0.0,0,0,1.7,1.7,0.3,0.3
46fa7204,3,21,11,0.14,0.27,17.2,0.0,0,0,2.6,2.6,0.4,0.4
246d153b,0,10,4,0.0,0.0,23.6,0.0,0,0,0.2,0.2,-0.2,-0.2
414e1f69,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
fdf4b948,0,3,0,0.0,0.0,18.6,0.0,0,0,0.1,0.1,-0.1,-0.1
5294a83f,5,47,16,0.11,0.31,21.0,2.0,0,0,3.3,3.3,1.7,1.7
aa5322d5,1,18,6,0.06,0.17,13.7,0.0,0,0,1.0,1.0,0.0,0.0
35b4bc62,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
bcc81786,1,26,7,0.04,0.14,15.1,0.0,0,0,2.6,2.6,-1.6,-1.6
555d5edd,0,16,6,0.0,0.0,23.8,1.0,0,0,0.9,0.9,-0.9,-0.9
10b9fa99,0,7,1,0.0,0.0,20.2,0.0,0,0,0.3,0.3,-0.3,-0.3
5a2cb25d,1,4,3,0.25,0.33,26.6,0.0,0,0,0.1,0.1,0.9,0.9
9f1893b9,6,44,16,0.14,0.38,16.4,0.0,0,0,6.2,6.2,-0.2,-0.2
39aa05a7,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
bbafc0c4,0,7,1,0.0,0.0,18.4,0.0,0,0,0.3,0.3,-0.3,-0.3
38d9ce53,1,11,2,0.09,0.5,10.4,0.0,0,0,1.4,1.4,-0.4,-0.4
0847b5a5,7,55,15,0.07,0.27,24.5,17.0,3,4,6.8,3.6,0.2,0.4
00459419,14,89,32,0.13,0.38,15.2,3.0,2,3,14.7,12.5,-0.7,-0.5
963a328b,1,23,9,0.04,0.11,22.8,1.0,0,0,1.2,1.2,-0.2,-0.2
a820e429,2,23,8,0.09,0.25,9.9,0.0,0,0,4.2,4.2,-2.2,-2.2
a69cc629,0,7,0,0.0,0.0,18.9,0.0,0,0,0.4,0.4,-0.4,-0.4
0fdcef0e,1,17,6,0.06,0.17,25.6,2.0,0,0,0.8,0.8,0.2,0.2
649b01d8,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
3cd3b384,1,7,2,0.14,0.5,18.3,0.0,0,0,0.4,0.4,0.6,0.6
6a1f66a7,0,1,0,0.0,0.0,23.6,0.0,0,0,0.0,0.0,0.0,0.0
2200181e,1,5,1,0.2,1.0,16.9,2.0,0,0,0.3,0.3,0.7,0.7
e8c930bb,1,21,5,0.05,0.2,23.1,0.0,0,0,1.0,1.0,0.0,0.0
ad263695,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
956a78ea,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
f42d6c13,6,51,18,0.06,0.17,21.0,8.0,3,3,6.4,4.0,-0.4,-1.0
59bf127b,0,4,0,0.0,0.0,21.0,0.0,0,0,0.3,0.3,-0.3,-0.3
102e2599,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
509a4ccb,3,27,11,0.11,0.27,13.3,0.0,0,0,3.5,3.5,-0.5,-0.5
f449640d,0,2,1,0.0,0.0,14.9,0.0,0,0,0.3,0.3,-0.3,-0.3
d44360be,2,35,11,0.06,0.18,19.9,0.0,0,0,2.2,2.2,-0.2,-0.2
0821331c,0,9,1,0.0,0.0,10.5,0.0,0,0,1.1,1.1,-1.1,-1.1
01efac19,11,47,20,0.15,0.35,15.7,2.0,4,4,8.9,5.7,2.1,1.3
0acda699,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
