matches_gk,starts_gk,minutes_gk,nineties_gk,goals_ag,sot_ag,saves,gk_won,gk_drew,gk_lost,cs,pk_att_ag,pk_scored_ag,pk_saved,pk_missed_ag,season,comp,id
3,2,226,2.5,1,5,4,2,0,0,2,0,0,0,0,18,ENG,10072610
2,2,180,2.0,6,13,8,1,0,1,0,0,0,0,0,18,ENG,1148323a
35,35,3150,35.0,34,106,74,20,6,9,15,2,2,0,0,18,ENG,1840e36d
1,1,90,1.0,1,4,4,0,1,0,0,0,0,0,0,18,ENG,1bebde9d
1,1,90,1.0,0,3,3,1,0,0,1,0,0,0,0,18,ENG,1e26e376
19,19,1710,19.0,14,45,30,11,5,3,10,3,2,1,0,18,ENG,32e7ce92
18,18,1620,18.0,26,68,42,3,8,7,4,1,1,0,0,18,ENG,36c2ca73
12,12,1080,12.0,11,37,25,6,1,5,4,1,0,1,0,18,ENG,3a949a25
36,36,3194,35.5,26,80,54,30,4,2,16,2,0,2,0,18,ENG,3bb7b8b4
38,38,3420,38.0,54,172,121,9,13,16,10,3,1,2,0,18,ENG,4535e4bb
38,38,3420,38.0,58,178,119,13,10,15,10,5,3,1,1,18,ENG,4806ec67
35,34,3115,34.6,35,148,113,12,11,11,12,5,3,1,1,18,ENG,4b40d9ca
33,33,2965,32.9,47,138,90,11,10,12,8,3,1,2,0,18,ENG,53af52f3
1,1,90,1.0,0,3,3,1,0,0,1,0,0,0,0,18,ENG,63d17038
34,34,3039,33.8,48,135,85,16,6,12,11,6,5,1,0,18,ENG,71672fa0
27,27,2430,27.0,41,127,88,8,6,13,7,1,1,0,0,18,ENG,76eca7e2
38,38,3420,38.0,61,170,109,11,11,16,6,3,2,1,0,18,ENG,7b4de647
37,37,3330,37.0,28,140,114,24,6,7,18,1,1,0,0,18,ENG,7ba6d84e
1,1,90,1.0,1,3,2,0,1,0,0,0,0,0,0,18,ENG,7ca2d989
5,4,381,4.2,3,12,9,3,0,1,2,0,0,0,0,18,ENG,82b1198a
15,14,1292,14.4,24,56,32,4,3,7,4,3,3,0,0,18,ENG,85b011bb
11,11,990,11.0,14,43,29,3,5,3,2,1,1,0,0,18,ENG,8e65a5e5
36,36,3240,36.0,35,117,82,22,7,7,15,3,2,0,1,18,ENG,8f62b6ee
38,38,3420,38.0,56,190,133,8,9,21,9,6,3,3,0,18,ENG,9328b835
38,38,3420,38.0,58,158,99,9,10,19,10,6,4,2,0,18,ENG,939bc634
3,3,270,3.0,7,15,8,0,1,2,0,0,0,0,0,18,ENG,9dab6e3b
3,3,270,3.0,4,11,7,1,1,1,1,0,0,0,0,18,ENG,a179d516
4,4,305,3.4,4,12,8,2,1,1,0,0,0,0,0,18,ENG,a6de6361
16,16,1440,16.0,21,64,43,5,2,9,3,2,1,1,0,18,ENG,b1b25949
20,20,1800,20.0,30,97,66,4,7,9,4,1,0,1,0,18,ENG,c3e39f12
19,19,1710,19.0,39,91,51,3,6,10,4,5,4,1,0,18,ENG,cb4f24c6
