fk_ag,ck_ag,og_ag,ps_xG,ps_xG_delta,cmp_launch,att_launch,att_gk_pass,att_gk_throw,gk_pass_len,att_goal_kick,goal_kick_len,att_cross_ag,stop_cross_ag,def_outside_pen,def_outside_pen_dist,goal_kicks_launched,season,comp,id
0,0,0,1.6,0.6,4,9,61,16,1543.3,10,395,21,2,46,15.4,5,18,ENG,10072610
0,0,1,4.6,-0.4,16,36,41,12,1861.4,14,865,24,0,160,20.1,13,18,ENG,1148323a
0,2,2,31.6,-0.4,153,430,949,214,32076.2,248,11234,446,26,316,13.2,126,18,ENG,1840e36d
0,0,1,0.5,0.5,2,4,17,2,450.5,9,291,14,0,34,17.0,3,18,ENG,1bebde9d
0,0,0,0.9,0.9,6,14,18,5,673.2,7,408,18,1,0,4.0,6,18,ENG,1e26e376
0,2,0,13.3,-0.7,66,227,524,106,17082.4,103,4717,199,10,577,17.5,54,18,ENG,32e7ce92
0,4,0,20.5,-5.5,99,340,304,56,13436.8,158,9401,311,19,109,10.9,146,18,ENG,36c2ca73
0,0,0,14.2,3.2,61,198,255,32,9817.5,93,5208,184,13,167,12.9,75,18,ENG,3a949a25
1,1,2,23.9,-0.1,110,230,935,167,24497.0,160,7376,265,19,1635,18.8,85,18,ENG,3bb7b8b4
1,15,5,48.8,-0.2,345,875,823,122,36623.5,352,20380,623,38,173,10.2,328,18,ENG,4535e4bb
0,6,0,56.1,-1.9,322,945,984,162,47035.2,340,22848,591,27,759,14.9,315,18,ENG,4806ec67
0,3,1,42.5,8.5,351,997,920,118,47932.0,297,19809,600,57,475,12.5,281,18,ENG,4b40d9ca
3,11,1,39.5,-6.5,304,792,866,107,37930.8,273,17444,500,28,880,16.3,258,18,ENG,53af52f3
0,0,0,0.7,0.7,3,7,17,3,559.3,8,247,10,2,12,12.3,2,18,ENG,63d17038
0,6,0,45.9,-2.1,149,414,809,223,27829.6,225,10620,426,33,748,14.4,136,18,ENG,71672fa0
1,7,2,38.2,-0.8,226,587,554,92,26204.2,227,14800,435,31,294,13.4,209,18,ENG,76eca7e2
2,7,1,54.8,-5.2,223,647,832,215,32364.8,328,18204,611,35,183,10.2,267,18,ENG,7b4de647
1,5,2,38.5,12.5,232,613,799,147,31640.4,290,16182,483,16,268,12.8,225,18,ENG,7ba6d84e
0,0,0,0.3,-0.7,7,16,12,0,602.4,7,373,22,3,0,7.5,6,18,ENG,7ca2d989
0,0,0,2.5,-0.5,15,46,116,27,3398.8,28,1330,82,6,91,13.1,20,18,ENG,82b1198a
0,2,0,19.8,-4.2,121,321,323,31,15568.6,81,4698,182,10,120,13.4,75,18,ENG,85b011bb
0,4,0,13.3,-0.7,86,239,223,18,10079.6,89,5064,177,6,137,13.7,85,18,ENG,8e65a5e5
