y_card,r_card,two_y_card,fouls,fouled,offside,pens_won,pens_con,own_goal,recov,aerials_won,aerials_lost,aerials_attempted,season,comp,id
5,1,0,35,29,43,0,0,0,103,22,39,61,18,ENG,00459419
0,0,0,7,12,0,0,0,0,96,37,39,76,18,ENG,008a6e6d
0,1,0,2,3,0,0,0,0,14,3,6,9,18,ENG,00963611
2,0,0,32,33,1,0,0,0,146,43,51,94,18,ENG,01226327
10,0,0,44,26,2,0,1,0,345,42,51,93,18,ENG,02b29014
1,0,0,8,20,0,0,0,0,50,2,12,14,18,ENG,032f894e
0,0,0,0,1,0,0,0,0,1,2,1,3,18,ENG,0356cf4f
0,0,0,3,13,0,0,0,0,53,14,11,25,18,ENG,0420d84f
1,0,0,4,0,0,0,0,0,10,3,3,6,18,ENG,0442183b
0,0,0,6,3,3,0,0,0,8,4,9,13,18,ENG,07802f7f
7,0,0,38,20,4,0,0,0,188,22,25,47,18,ENG,08aa17d0
2,0,0,17,4,0,1,0,0,85,38,31,69,18,ENG,099e666f
0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,0c61c77c
0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,0cc5f4a5
9,0,0,28,22,0,0,1,1,190,76,66,142,18,ENG,0d267745
6,0,0,45,9,2,0,1,0,166,87,82,169,18,ENG,0db5d2c8
3,0,0,21,24,14,0,0,0,133,60,73,133,18,ENG,0e6bc38c
0,0,0,5,21,4,0,0,0,60,1,7,8,18,ENG,0ef89a37
0,0,0,0,1,0,0,0,0,4,1,0,1,18,ENG,10072610
7,0,0,41,27,0,0,0,0,207,93,72,165,18,ENG,101da2b5
0,0,0,0,0,0,0,0,0,0,1,2,3,18,ENG,10b9fa99
2,0,0,15,18,0,0,0,0,149,20,31,51,18,ENG,111c3236
0,0,0,0,1,0,0,0,0,4,1,0,1,18,ENG,1148323a
1,0,0,10,4,0,0,0,0,90,24,9,33,18,ENG,119b9a8e
1,0,0,8,19,0,0,0,0,69,9,17,26,18,ENG,11b9265b
7,0,0,41,44,29,0,0,0,58,54,58,112,18,ENG,129af0db
7,0,0,37,18,1,0,2,0,160,44,34,78,18,ENG,12aa7661
5,0,0,25,24,3,0,2,0,127,144,58,202,18,ENG,15ea812b
0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,15f3ec41
0,0,0,5,2,1,0,0,0,10,2,3,5,18,ENG,15fd5593
4,0,0,18,22,12,1,0,0,100,1,12,13,18,ENG,16380240
0,0,0,1,0,0,0,0,0,2,0,1,1,18,ENG,1695c659
0,0,0,13,9,5,0,0,0,23,69,42,111,18,ENG,16ceb862
2,0,0,2,3,0,0,2,0,37,2,1,3,18,ENG,1840e36d
0,0,0,14,25,0,0,0,0,133,21,21,42,18,ENG,184e4970
3,0,0,15,49,14,1,0,0,48,14,31,45,18,ENG,189cee7b
4,0,0,26,14,2,0,0,0,175,58,38,96,18,ENG,18b896d6
2,0,0,5,1,0,0,0,0,3,14,3,17,18,ENG,18e96f64
3,1,0,29,47,3,0,0,0,152,12,28,40,18,ENG,1931bde9
0,0,0,0,0,0,0,0,0,2,0,1,1,18,ENG,199ff86e
4,0,0,14,26,3,0,0,0,91,14,25,39,18,ENG,19b8b0b9
2,0,0,28,16,23,0,0,0,63,143,131,274,18,ENG,19ba6c6d
2,0,0,16,7,0,0,1,0,89,39,31,70,18,ENG,1a160ea3
4,0,0,15,6,1,0,1,0,107,104,60,164,18,ENG,1a2935f6
1,2,1,5,7,0,0,0,0,30,10,7,17,18,ENG,1a4ef233
5,0,0,22,19,0,0,1,0,61,26,27,53,18,ENG,1ae30132
0,0,0,3,2,0,0,0,0,29,8,6,14,18,ENG,1b780599
0,0,0,1,10,3,0,0,0,14,3,6,9,18,ENG,1b7ec703
0,0,0,0,0,0,0,0,0,2,0,0,0,18,ENG,1bebde9d
1,0,0,4,1,1,0,0,0,10,13,7,20,18,ENG,1bf811d4
1,0,0,5,2,0,0,0,0,72,31,35,66,18,ENG,1c7012b8
0,0,0,8,13,1,0,0,0,139,55,26,81,18,ENG,1cb49278
1,0,0,9,0,0,0,0,0,28,5,8,13,18,ENG,1d387eee
3,0,0,20,15,12,0,0,0,22,121,92,213,18,ENG,1d6ac165
2,0,0,10,17,1,0,0,0,95,5,21,26,18,ENG,1d8c99b0
9,2,1,24,15,1,0,0,0,159,142,73,215,18,ENG,1e0b6a73
0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,1e26e376
2,0,0,7,28,12,0,0,0,76,7,19,26,18,ENG,1ecb65be
5,0,0,58,29,2,0,1,0,154,50,45,95,18,ENG,1ef37668
0,0,0,5,10,0,0,0,0,50,27,13,40,18,ENG,1f9a3a04
6,0,0,23,39,1,0,0,0,105,13,27,40,18,ENG,20b104bc
0,0,0,0,0,0,0,0,0,6,0,4,4,18,ENG,210d9ecb
1,0,0,18,20,3,0,0,0,147,35,29,64,18,ENG,21512407
0,0,0,0,1,0,0,0,0,11,0,2,2,18,ENG,21a66e33
5,0,0,34,40,42,1,0,0,72,58,78,136,18,ENG,21a66f6a
2,0,0,26,9,2,0,0,0,117,22,35,57,18,ENG,22551915
4,0,0,46,52,10,0,0,0,140,6,41,47,18,ENG,2475dcc6
