id,Player,Nation
0000acda,Marco Benassi,Italy
000b3da6,Manuel Iturra,Chile
00242715,Moussa Niakhate,France
00242b75,Leandro Barreiro Martins,Luxembourg
0027c6cc,Eitan Tibi,Israel
0033fb1b,Niclas Eliasson,Sweden
003a5c72,Mikel San José,Spain
003d7410,Vitaliy Denisov,Uzbekistan
00459419,Marko Arnautović,Austria
0049d544,Yassine El Ghanassy,Belgium
004d185e,Tete Morente,Spain
00528660,Filippo Costa,Italy
005c0807,Zinedine Ferhat,Algeria
005ca692,Maycon,Brazil
00638016,Léo Pétrot,France
00672021,Alan Patrick,Brazil
00672803,Lasse Günther,Germany
007414dd,Samuel Edozie,England
0076ab7f,Nemanja Gudelj,Serbia
007b39a5,Onel Hernández,Cuba
007faf7a,Lucas Da Cunha,France
00823e9a,Cesar Falletti,Uruguay
00844823,Niklas Moisander,Finland
00891164,Cédric Hountondji,Benin
008a6e6d,Ragnar Klavan,Estonia
00963611,Konstantinos Mavropanos,Greece
009a4f60,Julian Ryerson,Norway
00a6485f,Andreas Beck,Germany
00a8d210,Przemysław Frankowski,Poland
00b0bb87,Fabrizio Cacciatore,Italy
00b28772,Nemanja Maksimović,Serbia
00b86f5e,Kenan Pirić,Bosnia and Herzegovina
00bc97e8,Joackim Jørgensen,Norway
00c3d4dc,Sebastian Soto,United States
00c9a283,Hugo Larsson,Sweden
00ddb7f7,Marcel Ritzmaier,Austria
00eba9c9,Selim Amallah,Morocco
00f0482f,Shola Shoretire,England
00f518d8,Faride Alidou,Germany
01040647,Gennaro Acampora,Italy
0107757e,Filip Jörgensen,Denmark
0118c54c,Anthony Caci,France
011d8c56,Miguel Ángel Moyá,Spain
01204d46,Daniel Høegh,Denmark
01226327,Ryan Bertrand,England
0127419a,Ianis Hagi,Romania
012c38ec,Meritan Shabani,Albania
012c975a,Rhys Williams,England
01464072,Aleksandar Lutovac,Serbia
014aa7bd,Álvaro Aguado,Spain
014b57f5,Sergio Moreno,Spain
0154d290,Felix Afena-Gyan,Ghana
016ff750,Valentino Lazaro,Austria
0174ba21,Robin Hack,Germany
0176f037,Gergő Lovrencsics,Hungary
017ab4d4,Arda Turan,Turkey
01834aa0,Sebastiaan Bornauw,Belgium
01870104,Mohamed Lamine Bayo,Guinea
0193a8bf,Moumi Ngamaleu,Cameroon
01962d0d,Joe Gelhardt,England
019f4d0d,Leandro Castán,Brazil
01a49bd2,Lisandro Magallán,Argentina
01ae64cd,Aythami Artiles,Spain
01b8a2b2,Wojciech Szczęsny,Poland
01ba3996,Taylor Perry,England
01becd60,Alan Virginius,France
01c3aff5,Weston McKennie,United States
01ccefab,Simen Juklerød,Norway
01ce9e70,Kieffer Moore,Wales
01da7812,Myrto Uzuni,Albania
01e5f06e,Sergio Gómez,Spain
01eb744d,Ángel Correa,Argentina
01efac19,Antonín Barák,Czech Republic
01fd01e8,Souleymane Touré,France
02319ad7,Jaime Mata,Spain
023937a9,Ivan Radovanović,Serbia
023efc8b,Simeon Slavchev,Bulgaria
02760e49,Michel Vlap,Netherlands
028e70b9,Joshua Zirkzee,Netherlands
02a496ff,Lucas Bareiro,Argentina
02b29014,Abdoulaye Doucouré,Mali
02b2937c,Daniele Dessena,Italy
02b952ce,Aapo Halme,Finland
02bcaf8e,Bilal Brahimi,Algeria
02c15616,Marcos Llorente,Spain
02caf6e0,Manuel Lazzari,Italy
02ce2030,Uroš Spajić,Serbia
02d2c436,Luis Hernández,Spain
02df3a4b,Aleksandr Anyukov,Russia
02ee4c77,Bjørn Johnsen,Norway
02ef8778,Raúl de Tomás,Spain
02f4b798,Adam Tzanetopoulos,Greece
02fbc447,Yevhen Cheberko,Ukraine
02febfdc,Raffaele Maiello,Italy
03049c8c,Keidi Bare,Albania
030ef8d6,Jofre,Spain
0313a347,Ezri Konsa,England
031ebd52,Atomu Tanaka,Japan
032f894e,Renato Sanches,Portugal
0331786b,Dion Cools,Malaysia
0356cf4f,Jonathan Walters,Republic of Ireland
03622183,Odion Ighalo,Nigeria
0362c29e,Henry Wingo,United States
0366fc78,Daniel Candeias,Portugal
036bba5f,Rubén Alcaraz,Spain
037130ca,Robert Tesche,Germany
0375723e,Simone Verdi,Italy
03760df0,Emiliano Viviano,Italy
037dbd30,Son,Spain
037f2523,Jean-Philippe Krasso,Ivory Coast
038aa94a,Júnior Caiçara,Brazil
03998238,Danylo Sikan,Ukraine
039a4fb6,Tio Cipot,Slovenia
039ae103,Rubén Yáñez,Spain
03b6afa9,Bright Osayi-Samuel,Nigeria
03bd0bf4,Naldo,Brazil
03dc5b1f,Nino,Spain
03de83d9,David Goresh,Israel
03df04ff,Odisseas Vlachodimos,Greece
03e48abb,Matty Daly,England
03e7a498,Japhet Sery,Denmark
03e91055,Jason Berthomier,France
03edb878,Daniel Jebbison,England
03f946ed,Andrea Petagna,Italy
0400dd2f,Badredine Bouanani,Algeria
0412b9cd,Felipe Vizeu,Brazil
0420d84f,Séamus Coleman,Republic of Ireland
042d286e,Fyodor Chalov,Russia
042e8a49,Kingsley Coman,France
0442183b,Nathaniel Clyne,England
048877f5,Stefano Sorrentino,Italy
0488e833,Miloš Kopečný,Czech Republic
0489bb30,Eddie Salcedo,Italy
0489db27,Dominik Kovačić,Croatia
048a1cbc,Raphaël Guerreiro,Portugal
04964f4f,Marquinhos,Brazil
04965583,Aleix Vidal,Spain
049751d7,András Schäfer,Hungary
0497a545,Francesco Verde,Italy
04981123,Filip Malbašić,Serbia
04989945,Simone Muratore,Italy
049a888d,Mykhailo Mudryk,Ukraine
04a35432,Kaspars Dubra,Latvia
04a65a8f,Markel Bergara,Spain
04ac78d2,Bamo Meïté,Ivory Coast
04ac8285,Jasper Cillessen,Netherlands
04b40c58,Nicolò Bertola,Italy
04bb2b06,Ibrahima Koné,Mali
04c11885,Marvin Bakalorz,Germany
