id,Player,Nation
1c529186,Ignazio Abate,it ITA
c2304da8,Hatem Abd Elhamed,il ISR
2f798b41,Aymen Abdennour,tn TUN
4c07f0e8,Anicet Abel,mg MAD
64a674d9,Maxwell Acosty,gh GHA
81442ecb,Marcos Acuña,ar ARG
936d9e3e,Emmanuel Adebayor,tg TOG
884a8908,Samuel Adegbenro,ng NGA
182c10aa,James Adeniyi,ng NGA
2557c196,Luiz Adriano,br BRA
293211e1,Aritz Aduriz,es ESP
e3207d47,Luka Adžić,rs SRB
f9c927de,Michel Aebischer,ch SUI
c84c1afc,Imanol Agirretxe,es ESP
9d01ec0f,Hosam Aiesh,sy SYR
aeee3365,Astrit Ajdarević,al ALB
a8c0acb7,Kristoffer Ajer,no NOR
c5eaff5c,Ager Aketxe,es ESP
42ec696a,Igor Akinfeev,ru RUS
5294a83f,Luis Alberto,es ESP
4bd414c1,Raúl Albiol,es ESP
d849ef0f,Alef,br BRA
d40cff47,Mukhtar Ali,sa KSA
2b59d76f,Ömer Ali Şahiner,tr TUR
a1474d8e,Denis Alibec,ro ROU
5c46e908,Fidan Aliti,xk KVX
b15e93aa,Allan,br BRA
cc700722,Allan,br BRA
ba6e52b0,André Almeida Pinto,pt POR
3ecc11d8,Yeray Álvarez,es ESP
84566787,Danny Amankwaa,dk DEN
22721b88,Jordan Amavi,fr FRA
555d5edd,Nadiem Amiri,de GER
314c2af0,Stephan Andersen,dk DEN
9f1893b9,Felipe Anderson,br BRA
ef8f266e,Pål André Helland,no NOR
4e3f5992,Oleksandr Andriyevskyi,ua UKR
d3149135,Giannis Anestis,gr GRE
011d8c56,Miguel Ángel Moyá,es ESP
f08a8947,Marin Aničić,ba BIH
df525574,Peter Ankersen,dk DEN
1a63f024,Gheorghe Anton,md MDA
40f0ed6c,Luca Antonelli,it ITA
a5db0bec,Houssem Aouar,fr FRA
ba7673a6,João Araújo,br BRA
080ac8d8,Sergio Araujo,ar ARG
6e8272e0,Musa Araz,ch SUI
c48130b7,Frank Arhin,gh GHA
30643ce2,Ari,ru RUS
9f0ea33f,Sergio Asenjo,es ESP
5d5219b1,Roger Assalé,ci CIV
583d6c1f,David Atanga,gh GHA
9deab2db,Eliran Atar,il ISR
92fffd91,Omer Atzili,il ISR
97bfa797,Jean-Kévin Augustin,fr FRA
05a275e0,João Aurélio,pt POR
63a60d73,Selim Ay,tr TUR
6e905b8d,Volkan Babacan,tr TUR
816cdcbb,Ruslan Babenko,ua UKR
075fe5a3,Srđan Babić,rs SRB
ba998e22,Jean-Sylvain Babin,mq MTQ
09a9e921,Carlos Bacca,co COL
75229233,Fouad Bachirou,km COM
4285332d,Ondřej Bačo,cz CZE
799caf80,Ziguy Badibanga,be BEL
ce538b0b,Dzmitry Baha,by BLR
b18095b6,Leighton Baines,eng ENG
50ccf47d,Michalis Bakakis,gr GRE
0af4dcf0,Cédric Bakambu,cd COD
dead55e5,Anastasios Bakasetas,gr GRE
a3bf2258,Marek Bakoš,sk SVK
cb85d8d0,Mihai Bălașa,ro ROU
1fe67e86,Mikel Balenziaga,es ESP
7d74f9fd,Wilfried Balima,bf BFA
f7b10c66,David von Ballmoos,ch SUI
8ff07990,Mario Balotelli,it ITA
ca9178af,Beni Baningime,cd COD
0557ff4f,Danilo Barbosa,br BRA
aad4f74f,Mariano Barbosa,ar ARG
b58b3e7b,Elyaniv Barda,il ISR
d7c09951,Dmitri Barinov,ru RUS
c2e41cfb,Vasilios Barkas,gr GRE
28c2d647,Tigran Barseghyan,am ARM
d2ba04be,Robert Bartolomeu,cz CZE
3811e046,Lukáš Bartošák,cz CZE
3b57f7f8,Dušan Basta,rs SRB
c01c66d9,Bastos,ao ANG
b340a30a,Mehmet Batdal,tr TUR
2973d8ff,Michy Batshuayi,be BEL
d637fc22,Rodrigo Battaglia,ar ARG
0f9b8301,Cristian Battocchio,it ITA
404a2746,Marvin Baudry,cg CGO
47064058,Oliver Baumann,de GER
debc6b55,Jon Bautista,es ESP
a08b5224,Jean-David Beauguel,fr FRA
beb6c168,Abzal Beisebekov,kz KAZ
f874dd44,Héctor Bellerín,es ESP
48add958,Emre Belözoğlu,tr TUR
2277a390,Tal Ben Haim,il ISR
9f9c57f0,Nicklas Bendtner,dk DEN
d1992a3b,Pierre Bengtsson,se SWE
8a2248b4,Walter Benítez,ar ARG
f5b6fb78,Loris Benito,ch SUI
2e3596d1,Romario Benzar,ro ROU
bb6ab7af,Yevgeniy Berezkin,by BLR
84ad89fa,Aleksei Berezutski,ru RUS
a49fd565,Vasili Berezutski,ru RUS
0b2c9aec,Mitchell van Bergen,nl NED
5d0d1ec7,Steve von Bergen,ch SUI
73221bb0,Doug Bergqvist,se SWE
ee833569,Etrit Berisha,al ALB
d5575935,Valon Berisha,xk KVX
17370b95,Bernardo,br BRA
2e06f387,Leonardo Bertone,ch SUI
7ca9f0f0,Muhamed Bešić,ba BIH
11c0fa9d,Artem Besyedin,ua UKR
7aac47fe,Ermin Bičakčić,ba BIH
5710a281,Lucas Biglia,ar ARG
79370f8c,Kristijan Bistrović,hr CRO
dc62fbee,Leonardo Bittencourt,de GER
26b7d548,Ben Bitton,il ISR
d4e7c451,Nick Blackman,bb BRB
33c7af24,Michael Blauensteiner,at AUT
bf5fc4fc,Dejan Blaževski,mk MKD
c9e5f0f6,Younes Bnou Marzouk,ma MAR
27f0fcda,Richmond Boakye,gh GHA
faa1b07d,Salvatore Bocchetti,it ITA
08fe932d,Nicolai Boilesen,dk DEN
d995ed27,Giacomo Bonaventura,it ITA
13b0c150,Daniele Bonera,it ITA
52ec54d0,Leonardo Bonucci,it ITA
65166f80,Vedat Bora,tr TUR
2b3efa4a,Jan Bořil,cz CZE
ef5b337e,Fabio Borini,it ITA
5e8936be,Milan Borjan,ca CAN
1443ca7d,Aleksandar Borković,at AUT
e66a1ad7,Louis Bostyn,be BEL
3d13d9e4,Erik Botheim,no NOR
cd0ecf81,Mattia Bottani,ch SUI
0d077b88,Mehdi Bourabia,ma MAR
1771f2c1,Eneko Bóveda,es ESP
1e064bfb,Denys Boyko,ua UKR
605873e1,Filip Bradarić,hr CRO
8d3bca49,Vladica Brdarovski,mk MKD
93b0fa3c,Josip Brezovec,hr CRO
43309491,Nathan Broadhead,wls WAL
6503ae16,Jorge Broun,ar ARG
0be28faf,Scott Brown,sct SCO
60963682,Vladimir Brown,il ISR
5caa62a7,Bruma,pt POR
16952f65,Thomas Bruns,nl NED
2196d7d2,Constantin Budescu,ro ROU
6b8b53d7,Johannes Bühler,de GER
4c54b6ec,Jurica Buljat,hr CRO
44f050bc,Mykyta Burda,ua UKR
70a9cba5,Mick van Buren,nl NED
794e2914,Marco Bürki,ch SUI
9d12e142,Roman Bürki,ch SUI
8746d5d0,Patrick Burner,mq MTQ
eb2b33aa,Heorhiy Bushchan,ua UKR
a44f7c60,Alexander Büttner,nl NED
b8814868,Vitaliy Buyalskyi,ua UKR
e94d79e3,Martín Cáceres,uy URU
038aa94a,Júnior Caiçara,br BRA
93b891d1,Felipe Caicedo,ec ECU
2146785a,Davide Calabria,it ITA
ac7e640b,Mattia Caldara,it ITA
94f8d10c,Duje Ćaleta-Car,hr CRO
cd0fa27b,Hakan Çalhanoğlu,tr TUR
78841da9,José Callejón,es ESP
59e6e5bf,Dominic Calvert-Lewin,eng ENG
394c5d32,Ali Çamdalı,tr TUR
96f2d977,Gustavo Campanharo,br BRA
a6de370d,Sergio Canales,es ESP
950ff24d,Yoan Cardinale,fr FRA
7352dca8,Carlinhos,br BRA
601299e9,João Carlos Teixeira,pt POR
