id,Player,Nation
a7e4760c,Ismael Aaneba,fr FRA
32c2d95f,Yunis Abdelhamid,ma MAR
a4c3f7af,Mehdi Abeid,dz ALG
31626657,Laurent Abergel,fr FRA
469d3d84,Charles Abi,fr FRA
0e46fa2f,Matthis Abline,fr FRA
8bc373ea,Pape Abou Cissé,sn SEN
26777636,Yacine Adli,fr FRA
288e1e13,Nayef Aguerd,ma MAR
3dd738a1,Ruben Aguilar,fr FRA
5ea9ebd4,Matteo Ahlinvi,bj BEN
48b28bfd,Jean-Eudes Aholou,ci CIV
9b398aea,Rayan Aït Nouri,fr FRA
462475ed,Ludovic Ajorque,fr FRA
414e1f69,Marley Aké,fr FRA
5314e067,Sofiane Alakouch,ma MAR
f8405304,Mohamed Ali Cho,fr FRA
bdedd861,Rachid Alioui,ma MAR
b052b8bf,Saturnin Allagbé,bj BEN
9260926b,Ibrahim Amadou,fr FRA
d7bf3d19,Romain Amalfitano,fr FRA
22721b88,Jordan Amavi,fr FRA
2945f4b7,Thierry Ambrose,gp GLP
e34fc66d,Joachim Andersen,dk DEN
ef9c1c95,Benjamin André,fr FRA
d8992b84,Victorien Angban,ci CIV
a5db0bec,Houssem Aouar,fr FRA
b94b8be1,Adil Aouchiche,fr FRA
feb5d3ab,Dennis Appiah,fr FRA
fa18c72e,Luiz Araújo,br BRA
08534272,Karim Aribi,dz ALG
5d5219b1,Roger Assalé,ci CIV
6a827d8e,Youcef Atal,dz ALG
97bfa797,Jean-Kévin Augustin,fr FRA
d3ce9f1f,Ludovic Baal,gf GUF
114bbdee,Loïc Bade,fr FRA
06df8256,Benoît Badiashile,fr FRA
5046b7d4,Stéphane Bahoken,cm CMR
be13e5a8,Stefan Bajic,fr FRA
a8567629,Mitchel Bakker,nl NED
2b5a35e5,Dilane Bakwa,fr FRA
7c3ed041,Leonardo Balerdi,ar ARG
f449640d,Fodé Ballo-Touré,sn SEN
7fecbcdb,Abdoulaye Bamba,ci CIV
b2bd0f6c,Jonathan Bamba,fr FRA
d4fa7d01,Robson Bambu,br BRA
be47b750,Simon Banza,fr FRA
0557ff4f,Danilo Barbosa,br BRA
1ddbc7ca,Melvin Bard,fr FRA
80556f08,Toma Bašić,hr CRO
0f9b8301,Cristian Battocchio,it ITA
2515040a,Paul Baysse,fr FRA
7615f332,Erwan Belhadji,fr FRA
2b1bed19,Haris Belkebla,dz ALG
10f0fdd3,Jean-Ricner Bellegarde,fr FRA
c05d65d1,Sami Ben Amar,ma MAR
74dc806c,Hatem Ben Arfa,fr FRA
1f6298f2,Salim Ben Seghir,fr FRA
942b4f90,Wissam Ben Yedder,fr FRA
90c99c5c,Samy Benchamma,fr FRA
bef0a7ac,Darío Benedetto,ar ARG
8a2248b4,Walter Benítez,ar ARG
f5b6fb78,Loris Benito,ch SUI
b6047994,Bilal Benkhedim,fr FRA
2ab14aaa,Djamel Benlamri,dz ALG
fbf76716,Yassine Benrahou,fr FRA
6fbde63a,Yassine Benzia,dz ALG
d5575935,Valon Berisha,xk KVX
28dabd43,Paul Bernardoni,fr FRA
433dc9a2,Juan Bernat,es ESP
380a15e2,Dimitry Bertaud,fr FRA
4e9957ff,Loïc Bessile,tg TOG
de40e38c,Giulian Biancone,fr FRA
47c609d5,El Bilal Touré,ml MLI
6191093d,Ludovic Blas,fr FRA
7d937aa1,Antonin Bobichon,fr FRA
6c8ddd52,Sacha Boey,fr FRA
f6496133,Quentin Boisgard,fr FRA
