id,Player,Nation
cadd666a,Dickson Abiama,ng NGA
dc38e3bc,Ragnar Ache,de GER
2b09d998,Tyler Adams,us USA
22919e97,Sargis Adamyan,am ARM
dcfb17f4,Amine Adli,fr FRA
a6c58494,Naouirou Ahamada,fr FRA
89ac64a6,Manuel Akanji,ch SUI
6ec6fde0,Kevin Akpoguma,ng NGA
834d0be5,Lucas Alario,ar ARG
555d5edd,Nadiem Amiri,de GER
b4cf5806,Sebastian Andersson,se SWE
6ea23758,Andrés Andrade Cedeño,pa PAN
3724baa1,Fredrik André Bjørkan,no NOR
e0b113a7,Robert Andrich,de GER
30941e96,Angeliño,es ESP
5e66fa06,Waldemar Anton,de GER
0a3f6cde,Christopher Antwi-Adjei,gh GHA
56413b1f,Charles Aránguiz,cl CHI
86e119e0,Maximilian Arnold,de GER
13ddc856,Takuma Asano,jp JPN
e26fcca3,Santiago Ascacíbar,ar ARG
35f67a30,Fisnik Asllani,xk KVX
dfc85b89,Simon Asta,de GER
e5478b87,Taiwo Awoniyi,ng NGA
10549b49,Sardar Azmoun,ir IRN
a8567629,Mitchel Bakker,nl NED
442b56fa,Ridle Baku,de GER
a2a85828,Aymen Barkok,ma MAR
00242b75,Leandro Barreiro Martins,lu LUX
c0d3bd23,Jacob Barrett Laursen,dk DEN
8df328f4,Abdourahmane Barry,fr FRA
44a20f0c,Maximilian Bauer,de GER
47064058,Oliver Baumann,de GER
bd7d2e6d,Timo Baumgartl,de GER
69374ff5,Julian Baumgartlinger,at AUT
437f2b00,Christoph Baumgartner,at AUT
fbbc8e15,Noah Joel Sarenren Bazee,ng NGA
a53b661f,Ihlas Bebou,tg TOG
8eb55dbb,Sheraldo Becker,sr SUR
30ae134d,Kevin Behrens,de GER
ff182fdc,Ishak Belfodil,dz ALG
857a5abe,Stefan Bell,de GER
a39d11bc,Armel Bella Kotchap,de GER
bee0bab1,Karim Bellarabi,de GER
57d88cf9,Jude Bellingham,eng ENG
aca0a525,George Bello,us USA
fe888e39,László Bénes,sk SVK
f4c7c708,Keanan Bennetts,eng ENG
378825c7,Ramy Bensebaini,dz ALG
9af1f9ff,Louis Beyer,de GER
763b8b37,Bartosz Bialek,pl POL
7aac47fe,Ermin Bičakčić,ba BIH
07d3bfec,Tom Bischof,de GER
eb61713c,Danny Blum,de GER
f4ec4fd0,Kevin-Prince Boateng,gh GHA
5ad8c360,Herbert Bockhorn,de GER
635f2732,Jean-Paul Boëtius,nl NED
6ebbc28a,Tarsis Bonga,de GER
dd7b6eb8,Solomon Bonnah,nl NED
01834aa0,Sebastiaan Bornauw,be BEL
c68da769,Rafael Borré,co COL
7c473e12,Dedryck Boyata,be BEL
a167537f,Julian Brandt,de GER
db8c8860,Iker Bravo,es ESP
d28339cb,Fabian Bredlow,de GER
d4a2533d,Josip Brekalo,hr CRO
4c184730,Brian Brobbey,nl NED
e27da244,John Brooks,us USA
a7813ac4,Daniel Brosinski,de GER
f0a37d36,Cédric Brunner,ch SUI
4e204552,Jacob Bruun Larsen,dk DEN
25bdea4b,Sascha Burchert,de GER
05e2d5ea,Delano Burgzorg,nl NED
05f99a4a,Jonathan Burkardt,de GER
9d12e142,Roman Bürki,ch SUI
10745192,Jamie Bynoe-Gittens,eng ENG
d1273f09,Daniel Caligiuri,it ITA
a65ce836,Emre Can,de GER
db401046,Koen Casteels,be BEL
68829001,Gonzalo Castro,de GER
ae7058f9,Julian Chabot,de GER
b3b7f5a6,Timothy Chandler,us USA
3c569f37,Justin Che,us USA
e7b899b8,Max Christiansen,de GER
042e8a49,Kingsley Coman,fr FRA
8356931a,Lucas Copado,de GER
229cd98a,Sergio Córdova,ve VEN
5ddb8f9f,Danny da Costa,de GER
05ba9d7c,Tanguy Coulibaly,fr FRA
5722eced,Mickaël Cuisance,fr FRA
dc62b55d,Matheus Cunha,br BRA
b0a0698b,Rafael Czichos,de GER
7ba1f1ef,Lennart-Marten Czyborra,de GER
eac044ad,Moanes Dabbur,il ISR
dee3013b,Finn Dahmen,de GER
db4ed67b,Mahmoud Dahoud,de GER
41bff4fa,Márton Dárdai,de GER
3eb0f2df,Vladimír Darida,cz CZE
d781d855,Alphonso Davies,ca CAN
41df88b8,Saulo Decarli,ch SUI
fe641c1a,Thomas Delaney,dk DEN
54b4dc4e,Kerem Demirbay,de GER
ed79b7d3,Ermedin Demirović,ba BIH
25f50295,Mike van der Hoorn,nl NED
aeed5c06,Moussa Diaby,fr FRA
d3096421,Daniel Didavi,de GER
34a0f5ff,Javairô Dilrosun,nl NED
96d0b6f0,Lee Dongjun,kr KOR
7f73bdf4,Niklas Dorsch,de GER
79ca3e23,Ondrej Duda,sk SVK
5a8d6540,Jeremy Dudziak,tn TUN
cf623c78,Erik Durm,de GER
beb882a8,Maximilian Eggestein,de GER
2f7fec15,Lilian Egloff,de GER
76b2817e,Kingsley Ehizibue,nl NED
943b9602,Julian Eitschberger,de GER
73d6a176,Jurgen Ekkelenkamp,nl NED
48035304,Nico Elvedi,ch SUI
0b4f388a,Breel Embolo,ch SUI
1a83027b,Keita Endo,jp JPN
c149016b,Wataru Endo,jp JPN
83e0eeb4,Michael Esser,de GER
93c9e7d9,Wahidullah Faghir,dk DEN
8307b663,Ömer Faruk Beyaz,tr TUR
60097ff6,Adrian Fein,de GER
677da306,Ohis Felix Uduokhai,de GER
3bb625ac,Edimilson Fernandes,ch SUI
f9e7c4ac,Alfreð Finnbogason,is ISL
a92ab7be,Mark Flekken,nl NED
9a2e0ccc,Emil Forsberg,se SWE
76fa965f,Philipp Förster,de GER
a9142dc3,Timothy Fosu-Mensah,nl NED
626fab5f,Raphael Framberger,de GER
b77f44a4,Marvin Friedrich,de GER
74f2e748,Jeremie Frimpong,nl NED
1940be91,Christian Früchtl,de GER
0cf778df,Chris Führich,de GER
86314793,Marius Funk,de GER
18c2e247,Stephan Fürstner,de GER
16daec92,Mijat Gaćinović,rs SRB
f27680d9,Cristian Gamboa,cr CRC
6c731625,Silvère Ganvoula M'Boussy,cg CGO
ad2b068c,Linus Gechter,de GER
37f606f0,Dennis Geiger,de GER
62ab9184,Yannick Gerhardt,de GER
5723931e,Hamadi Al Ghaddioui,ma MAR
7242b495,Niko Gießelmann,de GER
17376543,Rafał Gikiewicz,pl POL
e5f63987,Daniel Ginczek,de GER
f521b80a,Matthias Ginter,de GER
88e357ef,Serge Gnabry,de GER
cc86b9a3,Leon Goretzka,de GER
1025db8e,Jeffrey Gouweleeuw,nl NED
f26dee6b,Jens Grahl,de GER
ad1d6fa4,Julian Green,us USA
8e235926,Michael Gregoritsch,at AUT
a8db7ebb,Sebastian Griesbeck,de GER
54e4866f,Vincenzo Grifo,it ITA
37998008,Lennart Grill,de GER
ffbbc83b,Florian Grillitsch,at AUT
f2dd9a21,Carlos Gruezo,ec ECU
048a1cbc,Raphaël Guerreiro,pt POR
e6c43eec,Josuha Guilavogui,fr FRA
bcb2ccd8,Péter Gulácsi,hu HUN
25ab9c9c,Manuel Gulde,de GER
1df0c0b9,Robert Gumny,pl POL
8593f88c,Christian Günter,de GER
00672803,Lasse Günther,de GER
