id,Player,Nation
1c529186,Ignazio Abate,it ITA
b96b595c,Francesco Acerbi,it ITA
d7403bd5,Afriyie Acquah,gh GHA
ce5b170a,Claud Adjapong,it ITA
06050480,Ali Adnan Kadhim,iq IRQ
fe0b8f0e,Emmanuel Agyemang-Badu,gh GHA
246d153b,Ola Aina,ng NGA
5294a83f,Luis Alberto,es ESP
4bd414c1,Raúl Albiol,es ESP
cc700722,Allan,br BRA
585a73a8,Bruno Alves,pt POR
e34fc66d,Joachim Andersen,dk DEN
13d820de,Marco Andreolli,it ITA
bbafc0c4,Cristian Ansaldi,ar ARG
43a2e16c,Mirco Antenucci,it ITA
40f0ed6c,Luca Antonelli,it ITA
0830a4f9,Mauro Antonio Burruchaga,ar ARG
eb823875,Joaquín Ardaiz,uy URU
68b78c2a,Lorenzo Ariaudo,it ITA
2f7407fa,Nicolò Armini,it ITA
089550f5,Kwadwo Asamoah,gh GHA
649b01d8,Emil Audero,it ITA
422ec08a,Khouma Babacar,sn SEN
e8c930bb,Milan Badelj,hr CRO
59bf127b,Tiemoué Bakayoko,fr FRA
509a4ccb,Keita Baldé,sn SEN
9be4ee80,Andrija Balić,hr CRO
0821331c,Mattia Bani,it ITA
01efac19,Antonín Barák,cz CZE
c010b898,Federico Barba,it ITA
0acda699,Francesco Bardi,it ITA
6928979a,Nicolò Barella,it ITA
a64cbd35,Antonino Barillà,it ITA
43a1bea5,Édgar Barreto,py PAR
e5bf73f3,Musa Barrow,gm GAM
7c0000fd,Andrea Barzagli,it ITA
ea06dd97,Daniele Baselli,it ITA
75b86fb3,Alessandro Bastoni,it ITA
c01c66d9,Bastos,ao ANG
438dfc6a,Andrea Beghetto,it ITA
d3d758d8,Valon Behrami,ch SUI
d705ba44,Andrea Belotti,it ITA
0000acda,Marco Benassi,it ITA
3b15ef2d,Medhi Benatia,ma MAR
db092d3b,Ismaël Bennacer,dz ALG
3b8674e6,Rodrigo Bentancur,uy URU
53a0e358,Domenico Berardi,it ITA
dc1c2fce,Álex Berenguer,es ESP
61b3978f,Bartosz Bereszyński,pl POL
ee833569,Etrit Berisha,al ALB
d5575935,Valon Berisha,xk KVX
ee93c1a9,Federico Bernardeschi,it ITA
88895312,Daniel Bessa,it ITA
6b99d135,Jonathan Biabiany,fr FRA
5710a281,Lucas Biglia,ar ARG
9e1577aa,Cristiano Biraghi,it ITA
64cd167d,Davide Biraschi,it ITA
455a2b79,Valter Birsa,si SVN
f4ec4fd0,Kevin-Prince Boateng,gh GHA
fe012aca,Jeremie Boga,ci CIV
d995ed27,Giacomo Bonaventura,it ITA
fb77bfef,Kevin Bonifazi,it ITA
52ec54d0,Leonardo Bonucci,it ITA
ef5b337e,Fabio Borini,it ITA
0d077b88,Mehdi Bourabia,ma MAR
605873e1,Filip Bradarić,hr CRO
5fd5ed86,Gleison Bremer,br BRA
54c356b0,Nicolò Brighenti,it ITA
d417b306,Matteo Brighi,it ITA
d0643f8f,Enrico Brignola,it ITA
33b8d077,Marcelo Brozović,hr CRO
806f7a26,Rafael Cabral,br BRA
00b0bb87,Fabrizio Cacciatore,it ITA
e94d79e3,Martín Cáceres,uy URU
93b891d1,Felipe Caicedo,ec ECU
34bb6fbd,Arturo Calabresi,it ITA
2146785a,Davide Calabria,it ITA
cd0fa27b,Hakan Çalhanoğlu,tr TUR
78841da9,José Callejón,es ESP
895ff3ca,Joel Campbell,cr CRC
a65ce836,Emre Can,de GER
bd6351cd,João Cancelo,pt POR
356c9002,Antonio Candreva,it ITA
28237d7e,Luan Capanni,br BRA
07ea0ef2,Leonardo Capezzi,it ITA
54e53b7e,Gianluca Caprari,it ITA
616aea37,Marco Capuano,it ITA
5bd72174,Francesco Caputo,it ITA
96960855,Francesco Cassata,it ITA
197640fd,Timothy Castagne,be BEL
130a7a3f,Samu Castillejo,es ESP
56b2957b,Lucas Castro,ar ARG
ba3d3bea,Danilo Cataldi,it ITA
d9624b51,Federico Ceccherini,it ITA
868c6958,Žan Celar,si SVN
7d50454d,Luca Ceppitelli,it ITA
4cc93246,Fabio Ceravolo,it ITA
1079c685,Alberto Cerri,it ITA
c1d18f10,Boštjan Cesar,si SVN
aa5a409a,Raman Chibsah,gh GHA
e85fb9b8,Giorgio Chiellini,it ITA
b0f7e36c,Federico Chiesa,it ITA
c316607a,Vlad Chiricheș,ro ROU
2114abf9,Camillo Ciano,it ITA
1ab0b878,Amato Ciciretti,it ITA
ae64d449,Luca Cigarini,it ITA
b09a3ecc,Daniel Ciofani,it ITA
46f5c54d,Thiago Cionek,pl POL
8b95acda,Omar Colley,gm GAM
8cabdc1e,Andrea Consigli,it ITA
8fef5412,Andrea Conti,it ITA
091795f2,Gabriele Corbo,it ITA
2d3f7367,Ante Ćorić,hr CRO
45b9b619,Joaquín Correa,ar ARG
4fa7cb9b,Douglas Costa,br BRA
00528660,Filippo Costa,it ITA
f554e29b,Alessio Cragno,it ITA
35dd6d80,Domenico Criscito,it ITA
f54dfca8,Lorenzo Crisetig,it ITA
16657b95,Bryan Cristante,it ITA
b6667741,Alessio da Cruz,cv CPV
0ab1f153,Juan Cuadrado,co COL
a4fe8cda,Patrick Cutrone,it ITA
060606ec,Marco D'Alessandro,it ITA
44eb9093,Danilo D'Ambrosio,it ITA
c53083ad,Bryan Dabo,bf BFA
8cea6319,Felipe dal Belo,br BRA
59a3efba,Nicola Dalmonte,it ITA
54e0c0cc,Vitalie Damașcan,md MDA
952a03fe,Sebastien De Maio,fr FRA
162efffd,Rodrigo De Paul,ar ARG
532d2690,Daniele De Rossi,it ITA
ae4e2852,Mattia De Sciglio,it ITA
e74f0e59,Lorenzo De Silvestri,it ITA
854ee61a,Grégoire Defrel,mq MTQ
7f267d66,Alessandro Deiola,it ITA
b0243215,Cristian Dell'Orco,it ITA
e3cceee6,Merih Demiral,tr TUR
d97f2e8d,Fabio Depaoli,it ITA
