matches,minutes,nineties,starts,completed,sub,sub_unused,onpitch_goals,onpitch_goals_ag,onpitch_goals_delta,onpitch_xg,onpitch_xga,onpitch_xg_delta,season,comp,id
31,2313,25,28,14,3,1,34,48,-14,25.4,36.5,-11,18,ENG,00459419
19,1451,16,16,16,3,11,31,15,16,30.6,12.9,17,18,ENG,008a6e6d
3,195,2,3,2,0,0,6,3,3,3.2,2.1,1,18,ENG,00963611
35,3135,34,35,32,0,0,34,49,-15,37.0,39.1,-2,18,ENG,01226327
37,3324,36,37,36,0,0,44,63,-19,43.5,50.5,-7,18,ENG,02b29014
12,702,7,9,4,3,5,3,10,-7,4.8,10.1,-5,18,ENG,032f894e
3,39,0,0,0,3,7,0,2,-2,0.6,0.8,0,18,ENG,0356cf4f
12,1035,11,12,11,0,0,14,12,2,13.4,12.4,1,18,ENG,0420d84f
3,174,1,2,1,1,2,0,1,-1,1.7,1.6,0,18,ENG,0442183b
8,267,3,3,0,5,9,3,0,3,5.6,1.0,4,18,ENG,07802f7f
31,2740,30,31,28,0,1,57,22,35,45.4,33.0,12,18,ENG,08aa17d0
19,1590,17,17,17,2,5,27,31,-4,19.3,29.7,-10,18,ENG,099e666f
1,16,0,0,0,1,4,0,1,-1,0.4,0.5,0,18,ENG,0c61c77c
2,16,0,0,0,2,2,0,0,0,0.3,0.0,0,18,ENG,0cc5f4a5
34,2967,33,33,31,1,1,90,25,65,68.9,21.4,47,18,ENG,0d267745
38,3420,38,38,38,0,0,28,58,-30,31.3,48.5,-17,18,ENG,0db5d2c8
30,2314,25,26,18,4,1,28,45,-17,25.3,36.7,-11,18,ENG,0e6bc38c
14,1109,12,13,5,1,1,29,14,15,23.2,11.5,11,18,ENG,0ef89a37
3,226,2,2,2,1,35,8,1,7,3.9,1.7,2,18,ENG,10072610
34,2881,32,33,28,1,0,89,24,65,66.2,19.6,46,18,ENG,101da2b5
1,11,0,0,0,1,11,0,1,-1,0.0,0.2,0,18,ENG,10b9fa99
22,1741,19,21,15,1,3,55,17,38,42.4,11.4,31,18,ENG,111c3236
2,180,2,2,2,0,8,7,6,1,3.5,3.2,0,18,ENG,1148323a
9,806,9,9,8,0,5,28,5,23,18.0,4.0,14,18,ENG,119b9a8e
16,1266,14,14,14,2,8,28,19,9,25.9,15.6,10,18,ENG,11b9265b
31,2061,22,24,12,7,0,38,19,19,34.8,19.2,15,18,ENG,129af0db
28,2382,26,26,24,2,4,30,47,-17,32.6,36.7,-4,18,ENG,12aa7661
31,2790,31,31,31,0,0,31,30,1,26.7,40.5,-13,18,ENG,15ea812b
2,29,0,0,0,2,2,0,1,-1,0.7,0.2,0,18,ENG,15f3ec41
7,251,2,3,0,4,5,3,6,-3,2.8,2.4,0,18,ENG,15fd5593
26,2163,24,24,21,2,1,48,36,12,44.7,32.6,12,18,ENG,16380240
4,31,0,0,0,4,9,1,2,-1,1.9,1.5,0,18,ENG,1695c659
29,1001,11,7,3,22,2,19,11,8,20.0,10.3,9,18,ENG,16ceb862
35,3150,35,35,35,0,0,56,34,22,50.1,30.9,19,18,ENG,1840e36d
27,2219,24,25,19,2,8,26,49,-23,25.2,39.5,-14,18,ENG,184e4970
28,1548,17,16,9,12,3,21,36,-15,16.1,27.7,-11,18,ENG,189cee7b
27,2338,26,25,25,2,9,46,22,24,37.8,19.5,18,18,ENG,18b896d6
5,235,2,2,1,3,10,2,4,-2,2.3,5.6,-3,18,ENG,18e96f64
33,2137,23,26,10,7,1,16,36,-20,18.3,28.5,-10,18,ENG,1931bde9
1,26,0,0,0,1,0,0,0,0,1.5,0.0,1,18,ENG,199ff86e
26,1280,14,13,8,13,5,13,23,-10,14.3,21.4,-7,18,ENG,19b8b0b9
28,1855,20,21,12,7,6,14,32,-18,18.7,24.1,-5,18,ENG,19ba6c6d
20,1525,16,17,14,3,8,15,31,-16,16.9,28.2,-11,18,ENG,1a160ea3
29,2127,23,24,22,5,5,54,24,30,42.8,22.0,20,18,ENG,1a2935f6
8,487,5,6,4,2,11,7,7,0,6.8,6.9,0,18,ENG,1a4ef233
13,1125,12,13,12,0,20,8,13,-5,10.2,18.3,-8,18,ENG,1ae30132
6,481,5,6,4,0,6,6,15,-9,5.5,12.0,-6,18,ENG,1b780599
15,549,6,7,1,8,6,9,8,1,11.5,5.6,5,18,ENG,1b7ec703
1,90,1,1,1,0,36,1,1,0,1.2,0.8,0,18,ENG,1bebde9d
5,248,2,2,1,3,7,4,7,-3,2.4,4.1,-1,18,ENG,1bf811d4
26,1430,15,15,12,11,10,24,29,-5,15.8,24.8,-9,18,ENG,1c7012b8
27,2086,23,23,18,4,9,37,23,14,34.3,19.3,15,18,ENG,1cb49278
15,429,4,4,1,11,12,1,11,-10,3.4,10.1,-6,18,ENG,1d387eee
30,998,11,7,4,23,7,12,16,-4,10.8,14.3,-3,18,ENG,1d6ac165
25,1868,20,21,16,4,0,16,29,-13,17.0,30.2,-13,18,ENG,1d8c99b0
32,2705,30,31,28,1,0,36,47,-11,32.6,48.0,-15,18,ENG,1e0b6a73
1,90,1,1,1,0,29,1,0,1,0.4,0.6,0,18,ENG,1e26e376
20,1221,13,13,11,7,10,19,17,2,16.1,16.700000000000003,0,18,ENG,1ecb65be
31,2718,30,30,27,1,1,29,50,-21,28.7,47.2,-18,18,ENG,1ef37668
13,1049,11,11,11,2,1,7,14,-7,8.9,15.6,-6,18,ENG,1f9a3a04
27,2071,23,22,20,5,1,24,38,-14,21.9,35.9,-14,18,ENG,20b104bc
2,96,1,1,1,1,8,0,5,-5,0.4,3.1,-2,18,ENG,210d9ecb
24,1914,21,21,18,3,11,37,21,16,33.2,22.4,10,18,ENG,21512407
4,207,2,2,1,2,1,2,1,1,2.1,2.4,0,18,ENG,21a66e33
37,3076,34,35,26,2,0,65,34,31,57.6,29.8,27,18,ENG,21a66f6a
21,1830,20,20,19,1,14,20,30,-10,20.3,30.3,-10,18,ENG,22551915
36,2791,31,34,11,2,2,32,43,-11,33.6,36.9,-3,18,ENG,2475dcc6
4,268,3,3,2,1,5,0,4,-4,2.3,4.0,-1,18,ENG,24fae784
15,494,5,3,1,12,11,4,13,-9,6.9,12.5,-5,18,ENG,25b166d0
24,1944,21,24,16,0,13,17,27,-10,18.4,31.2,-12,18,ENG,25f50295
12,527,5,5,3,7,8,10,7,3,9.3,5.1,4,18,ENG,2649ff32
19,745,8,8,3,11,7,3,14,-11,6.5,14.7,-8,18,ENG,26679cdf
36,2165,24,21,14,15,1,26,23,3,23.0,32.6,-9,18,ENG,2691c772
27,2042,22,23,14,4,0,30,44,-14,22.2,34.4,-12,18,ENG,26f6dca8
16,849,9,9,3,7,6,6,8,-2,6.8,11.3,-4,18,ENG,27d7453c
38,3420,38,38,38,0,0,34,54,-20,37.0,50.8,-13,18,ENG,282f75f3
27,2371,26,27,26,0,2,26,40,-14,25.7,41.1,-15,18,ENG,285a3d44
28,1922,21,23,7,5,8,34,10,24,33.4,16.6,16,18,ENG,29733c72
12,360,4,3,1,9,9,11,7,4,4.8,3.6,1,18,ENG,2973d8ff
32,1386,15,15,6,17,5,27,18,9,25.1,12.5,12,18,ENG,2acd49b9
29,2237,24,25,20,4,6,32,42,-10,28.0,40.1,-12,18,ENG,2afc7272
32,2419,26,27,18,5,2,72,22,50,53.2,17.5,35,18,ENG,2b114be3
25,1720,19,20,12,5,6,18,31,-13,19.4,26.5,-7,18,ENG,2b471f99
6,210,2,2,0,4,6,6,6,0,3.9,3.3,0,18,ENG,2b622f01
20,1746,19,19,19,1,14,21,30,-9,22.5,30.0,-7,18,ENG,2b91cf8e
1,1,0,0,0,1,3,0,0,0,0.0,0.0,0,18,ENG,2baec6ce
