goals,shot,shot_on_target,tot_shot_dist,fk,pk,att_pk,xG,npxG,G__xG,npG__npxG,season,comp,id
11,71,33,1029.5,0,0,0,8.6,8.6,2.4,2.4,18,ENG,00459419
1,1,1,0.9,0,0,0,0.9,0.9,0.1,0.1,18,ENG,008a6e6d
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,00963611
0,20,2,390.0,3,0,0,1.7,1.7,-1.7,-1.7,18,ENG,01226327
7,47,17,972.9,0,0,0,3.5,3.5,3.5,3.5,18,ENG,02b29014
0,12,0,342.0,4,0,0,0.5,0.5,-0.5,-0.5,18,ENG,032f894e
0,1,0,8.7,0,0,0,0.2,0.2,-0.2,-0.2,18,ENG,0356cf4f
0,5,2,48.5,0,0,0,1.0,1.0,-1.0,-1.0,18,ENG,0420d84f
0,2,1,23.6,0,0,0,0.1,0.1,-0.1,-0.1,18,ENG,0442183b
1,8,5,94.4,0,0,0,1.1,1.1,-0.1,-0.1,18,ENG,07802f7f
3,16,3,342.4,0,0,0,0.5,0.5,2.5,2.5,18,ENG,08aa17d0
0,3,1,53.7,0,0,0,0.1,0.1,-0.1,-0.1,18,ENG,099e666f
0,1,0,29.6,0,0,0,0.0,0.0,0.0,0.0,18,ENG,0c61c77c
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,0cc5f4a5
4,32,10,518.4,0,0,0,2.7,2.7,1.3,1.3,18,ENG,0d267745
0,13,3,169.0,0,0,0,1.9,1.9,-1.9,-1.9,18,ENG,0db5d2c8
5,60,18,978.0,0,0,0,5.9,5.9,-0.9,-0.9,18,ENG,0e6bc38c
7,54,17,1296.0,10,0,0,3.5,3.5,3.5,3.5,18,ENG,0ef89a37
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,10072610
5,47,19,1085.7,0,0,0,2.1,2.1,2.9,2.9,18,ENG,101da2b5
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,10b9fa99
1,10,3,289.0,0,0,0,0.3,0.3,0.7,0.7,18,ENG,111c3236
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,1148323a
0,3,0,79.5,0,0,0,0.1,0.1,-0.1,-0.1,18,ENG,119b9a8e
0,12,2,274.8,1,0,0,0.5,0.5,-0.5,-0.5,18,ENG,11b9265b
11,79,34,1074.4,0,0,0,13.0,13.0,-2.0,-2.0,18,ENG,129af0db
0,17,3,440.3,2,0,0,0.6,0.6,-0.6,-0.6,18,ENG,12aa7661
0,18,4,178.2,0,0,0,1.4,1.4,-1.4,-1.4,18,ENG,15ea812b
0,2,1,39.8,0,0,0,0.1,0.1,-0.1,-0.1,18,ENG,15f3ec41
0,2,2,50.0,0,0,0,0.1,0.1,-0.1,-0.1,18,ENG,15fd5593
4,39,13,729.3,6,0,0,4.4,4.4,-0.4,-0.4,18,ENG,16380240
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,1695c659
7,48,14,1060.8,0,0,0,6.9,6.9,0.09999999999999998,0.09999999999999998,18,ENG,16ceb862
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,1840e36d
1,11,2,283.8,0,0,0,0.4,0.4,0.6,0.6,18,ENG,184e4970
8,29,16,394.4,1,0,0,5.0,5.0,3.0,3.0,18,ENG,189cee7b
2,15,4,247.5,0,0,0,1.7,1.7,0.3,0.3,18,ENG,18b896d6
0,2,0,19.0,0,0,0,0.1,0.1,-0.1,-0.1,18,ENG,18e96f64
3,42,14,907.2,0,1,1,3.1,2.3,-0.1,-0.3,18,ENG,1931bde9
0,1,0,11.7,0,0,0,0.1,0.1,-0.1,-0.1,18,ENG,199ff86e
0,16,2,252.8,0,0,0,1.4,1.4,-1.4,-1.4,18,ENG,19b8b0b9
7,49,22,695.8,1,0,0,5.2,5.2,1.8,1.8,18,ENG,19ba6c6d
0,5,0,70.5,0,0,0,0.3,0.3,-0.3,-0.3,18,ENG,1a160ea3
2,14,4,130.2,0,0,0,1.4,1.4,0.6,0.6,18,ENG,1a2935f6
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,1a4ef233
0,2,2,64.2,0,0,0,0.0,0.0,0.0,0.0,18,ENG,1ae30132
0,1,0,34.1,0,0,0,0.0,0.0,0.0,0.0,18,ENG,1b780599
2,24,8,876.0,1,0,0,2.4,2.4,-0.4,-0.4,18,ENG,1b7ec703
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,1bebde9d
0,4,0,61.2,0,0,0,0.3,0.3,-0.3,-0.3,18,ENG,1bf811d4
0,5,0,105.5,0,0,0,0.2,0.2,-0.2,-0.2,18,ENG,1c7012b8
0,12,1,130.8,0,0,0,0.9,0.9,-0.9,-0.9,18,ENG,1cb49278
0,5,2,73.0,0,0,0,0.4,0.4,-0.4,-0.4,18,ENG,1d387eee
4,33,8,422.4,0,0,0,2.8,2.8,1.2,1.2,18,ENG,1d6ac165
2,20,6,496.0,1,0,0,0.9,0.9,1.1,1.1,18,ENG,1d8c99b0
0,13,1,256.1,1,0,0,0.6,0.6,-0.6,-0.6,18,ENG,1e0b6a73
0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,ENG,1e26e376
3,19,8,277.4,0,0,0,2.5,2.5,0.5,0.5,18,ENG,1ecb65be
0,3,1,60.6,0,0,0,0.1,0.1,-0.1,-0.1,18,ENG,1ef37668
