id,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
2590ddf7,Issah Abbas,gh GHA,"DF,FW",Mainz 05,21,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
565bf0da,David Abraham,ar ARG,DF,Eint Frankfurt,34,1986,13.6,5,0.37,3,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
1c08a3c8,Amir Abrashi,al ALB,"MF,DF",Freiburg,30,1990,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
dc38e3bc,Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,22,1998,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2b09d998,Tyler Adams,us USA,"MF,DF",RB Leipzig,21,1999,20.6,37,1.80,31,0,0,0,3,3,3,0.15,2,0,0,0,0,1,Matches
22919e97,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,27,1993,5.3,22,4.12,15,1,2,2,2,0,6,1.12,4,0,0,2,0,0,Matches
cb6d81b3,Felix Agu,de GER,DF,Werder Bremen,20,1999,7.8,8,1.03,4,1,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
a6c58494,Naouirou Ahamada,fr FRA,MF,Stuttgart,18,2002,2.8,2,0.71,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
89ac64a6,Manuel Akanji,ch SUI,DF,Dortmund,25,1995,26.1,22,0.84,16,1,0,3,1,1,2,0.08,2,0,0,0,0,0,Matches
6ec6fde0,Kevin Akpoguma,ng NGA,DF,Hoffenheim,25,1995,13.2,7,0.53,5,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
05439de2,David Alaba,at AUT,"DF,MF",Bayern Munich,28,1992,29.7,60,2.02,55,1,0,3,0,1,7,0.24,6,1,0,0,0,0,Matches
834d0be5,Lucas Alario,ar ARG,FW,Leverkusen,27,1992,13.8,30,2.17,22,0,2,3,3,0,3,0.22,2,0,0,1,0,0,Matches
bb08bce9,Omar Alderete,py PAR,DF,Hertha BSC,23,1996,14.4,7,0.48,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
555d5edd,Nadiem Amiri,de GER,MF,Leverkusen,23,1996,21.0,80,3.81,57,13,4,6,0,0,10,0.48,8,1,1,0,0,0,Matches
b4cf5806,Sebastian Andersson,se SWE,FW,Köln,29,1991,12.5,14,1.12,10,0,0,3,1,0,3,0.24,1,0,0,1,1,0,Matches
e0b113a7,Robert Andrich,de GER,MF,Union Berlin,25,1994,28.1,56,2.00,48,0,3,2,2,1,7,0.25,6,0,0,0,1,0,Matches
30941e96,Angeliño,es ESP,"DF,FW",RB Leipzig,23,1997,24.0,96,4.00,65,14,6,6,3,2,9,0.37,5,1,1,1,1,0,Matches
5e66fa06,Waldemar Anton,de GER,DF,Stuttgart,24,1996,30.1,31,1.03,26,0,0,2,1,2,5,0.17,4,0,0,0,1,0,Matches
56413b1f,Charles Aránguiz,cl CHI,MF,Leverkusen,31,1989,18.5,36,1.94,33,0,1,0,0,2,1,0.05,1,0,0,0,0,0,Matches
fdd60087,Santiago Arias,co COL,DF,Leverkusen,28,1992,1.0,1,1.00,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
86e119e0,Maximilian Arnold,de GER,MF,Wolfsburg,26,1994,28.7,108,3.76,48,42,2,6,10,0,12,0.42,5,4,1,0,2,0,Matches
a42760bc,Toluwalase Arokodare,ng NGA,"FW,MF",Köln,19,2000,1.2,4,3.21,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
e26fcca3,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,23,1997,8.5,14,1.66,10,0,1,1,1,1,1,0.12,0,0,0,1,0,0,Matches
9fec8860,Ludwig Augustinsson,se SWE,"DF,FW",Werder Bremen,26,1994,21.7,68,3.13,37,26,1,2,1,1,7,0.32,3,4,0,0,0,0,Matches
e5478b87,Taiwo Awoniyi,ng NGA,FW,Union Berlin,22,1997,15.1,36,2.39,26,1,2,2,5,0,7,0.46,3,1,1,0,2,0,Matches
fe46e261,Mehmet-Can Aydin,de GER,DF,Schalke 04,18,2002,5.6,2,0.36,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3a233281,Leon Bailey,jm JAM,"FW,MF",Leverkusen,22,1997,23.8,100,4.20,57,16,12,7,8,0,13,0.55,7,4,1,1,0,0,Matches
442b56fa,Ridle Baku,de GER,"FW,DF",Wolfsburg,22,1998,29.8,95,3.19,76,3,5,4,6,1,15,0.50,14,0,1,0,0,0,Matches
442b56fa,Ridle Baku,de GER,DF,Mainz 05,22,1998,2.0,2,1.00,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
3f7cd8f1,Philipp Bargfrede,de GER,MF,Werder Bremen,31,1989,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
a2a85828,Aymen Barkok,ma MAR,"MF,DF",Eint Frankfurt,22,1998,10.9,41,3.78,27,8,4,0,2,0,7,0.65,4,1,2,0,0,0,Matches
00242b75,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,20,2000,25.6,30,1.17,24,0,1,1,3,1,2,0.08,2,0,0,0,0,0,Matches
c0d3bd23,Jacob Barrett Laursen,dk DEN,DF,Arminia,25,1994,12.3,11,0.89,8,2,0,0,1,0,1,0.08,1,0,0,0,0,0,Matches
47064058,Oliver Baumann,de GER,GK,Hoffenheim,30,1990,31.0,5,0.16,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
69374ff5,Julian Baumgartlinger,at AUT,MF,Leverkusen,32,1988,11.9,20,1.68,15,0,0,1,4,0,2,0.17,1,0,0,1,0,0,Matches
437f2b00,Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,20,1999,26.3,83,3.16,59,1,3,5,12,3,11,0.42,8,0,1,0,2,0,Matches
fbbc8e15,Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Augsburg,23,1996,0.4,3,7.50,2,0,0,0,1,0,1,2.50,1,0,0,0,0,0,Matches
a53b661f,Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,26,1994,24.4,74,3.03,57,0,9,3,5,0,13,0.53,6,0,4,2,1,0,Matches
8eb55dbb,Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,25,1995,12.3,38,3.10,29,0,3,3,3,0,8,0.65,7,0,0,0,1,0,Matches
543ddcaf,Timo Becker,de GER,DF,Schalke 04,23,1997,18.2,10,0.55,6,1,1,0,2,0,2,0.11,1,1,0,0,0,0,Matches
b1a21aca,Brian Behrendt,de GER,DF,Arminia,28,1991,0.9,1,1.13,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5db45ee5,Maximilian Beier,de GER,"FW,DF",Hoffenheim,17,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
ff182fdc,Ishak Belfodil,dz ALG,"FW,MF",Hoffenheim,28,1992,6.6,20,3.02,15,0,0,2,3,0,1,0.15,1,0,0,0,0,0,Matches
857a5abe,Stefan Bell,de GER,DF,Mainz 05,28,1991,14.1,10,0.71,8,1,0,0,0,1,2,0.14,1,1,0,0,0,0,Matches
bee0bab1,Karim Bellarabi,de GER,"FW,MF",Leverkusen,30,1990,8.9,35,3.95,25,0,6,4,0,0,1,0.11,0,0,0,1,0,0,Matches
57d88cf9,Jude Bellingham,eng ENG,MF,Dortmund,17,2003,18.9,39,2.07,33,0,1,1,3,1,7,0.37,7,0,0,0,0,0,Matches
c50281a0,Lars Bender,de GER,DF,Leverkusen,31,1989,10.4,17,1.63,17,0,0,0,0,0,4,0.38,4,0,0,0,0,0,Matches
070ec0b1,Sven Bender,de GER,DF,Leverkusen,31,1989,13.0,12,0.92,11,0,0,1,0,0,2,0.15,2,0,0,0,0,0,Matches
fe888e39,László Bénes,sk SVK,MF,Augsburg,22,1997,7.3,26,3.55,12,8,1,1,4,0,1,0.14,0,1,0,0,0,0,Matches
fe888e39,László Bénes,sk SVK,MF,M'Gladbach,22,1997,1.7,7,4.20,1,4,0,0,2,0,2,1.20,0,1,0,0,1,0,Matches
378825c7,Ramy Bensebaini,dz ALG,DF,M'Gladbach,25,1995,20.1,24,1.19,19,0,2,1,1,1,4,0.20,1,0,1,1,1,0,Matches
3189f61a,Nabil Bentaleb,dz ALG,MF,Schalke 04,25,1994,6.1,5,0.82,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
9af1f9ff,Louis Beyer,de GER,DF,M'Gladbach,20,2000,2.1,3,1.44,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
763b8b37,Bartosz Bialek,pl POL,"FW,MF",Wolfsburg,18,2001,3.0,11,3.67,8,0,0,2,0,1,3,1.00,2,0,0,0,0,1,Matches
7aac47fe,Ermin Bičakčić,ba BIH,DF,Hoffenheim,30,1990,1.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
