id,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
22919e97,Sargis Adamyan,am ARM,"FW,MF",Köln,29-292,1993,6.4,3,0,0,16,5,4,13,3,6,0,0,0,31,10,22,31.3,Matches
501055d8,Karim Adeyemi,de GER,"FW,MF",Dortmund,21-052,2002,8.9,5,0,0,11,18,0,15,6,7,0,0,0,43,7,2,77.8,Matches
dcfb17f4,Amine Adli,fr FRA,FW,Leverkusen,22-305,2000,8.4,1,1,0,25,26,3,10,4,9,0,1,0,31,12,18,40.0,Matches
cb6d81b3,Felix Agu,de GER,"DF,FW",Werder Bremen,23-165,1999,0.5,0,0,0,3,3,0,1,0,0,0,1,0,3,1,1,50.0,Matches
a6c58494,Naouirou Ahamada,fr FRA,MF,Stuttgart,20-347,2002,15.5,4,1,1,16,17,1,6,8,11,0,1,0,88,7,16,30.4,Matches
462475ed,Ludovic Ajorque,fr FRA,FW,Mainz 05,29-014,1994,5.2,1,0,0,11,4,1,1,0,2,0,0,0,23,40,33,54.8,Matches
6ec6fde0,Kevin Akpoguma,ng NGA,DF,Hoffenheim,27-326,1995,13.3,7,0,0,18,10,0,7,15,27,0,0,0,85,37,27,57.8,Matches
834d0be5,Lucas Alario,ar ARG,FW,Eint Frankfurt,30-154,1992,3.0,0,0,0,7,2,5,0,0,2,0,0,0,9,12,16,42.9,Matches
00f518d8,Faride Alidou,de GER,"DF,MF",Eint Frankfurt,21-236,2001,1.4,0,0,0,7,1,2,2,1,4,0,0,0,11,1,7,12.5,Matches
8ce30c57,Éder Álvarez Balanta,co COL,MF,Schalke 04,30-011,1993,1.6,1,0,0,1,0,0,0,2,2,0,0,0,10,1,1,50.0,Matches
cd682b6b,Lukáš Ambros,cz CZE,MF,Wolfsburg,18-279,2004,0.2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,Matches
555d5edd,Nadiem Amiri,de GER,"MF,FW",Leverkusen,26-135,1996,7.8,3,0,0,10,19,3,11,4,3,0,0,0,47,1,8,11.1,Matches
e0b113a7,Robert Andrich,de GER,MF,Leverkusen,28-170,1994,18.7,6,0,0,29,11,0,4,25,28,0,0,1,102,33,30,52.4,Matches
30941e96,Angeliño,es ESP,DF,Hoffenheim,26-066,1997,20.7,2,0,0,10,20,6,135,15,15,0,0,0,107,10,19,34.5,Matches
5e66fa06,Waldemar Anton,de GER,DF,Stuttgart,26-234,1996,22.4,3,0,0,21,22,1,24,30,22,0,0,0,166,38,38,50.0,Matches
0a3f6cde,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29-032,1994,12.8,0,0,0,11,22,12,35,3,11,0,0,0,62,10,26,27.8,Matches
56413b1f,Charles Aránguiz,cl CHI,MF,Leverkusen,33-328,1989,5.5,1,0,0,7,10,0,12,7,7,0,0,0,33,2,7,22.2,Matches
86e119e0,Maximilian Arnold,de GER,MF,Wolfsburg,28-288,1994,22.2,5,0,0,24,49,0,117,19,21,0,0,0,170,21,22,48.8,Matches
13ddc856,Takuma Asano,jp JPN,"FW,MF",Bochum,28-121,1994,10.4,1,0,0,8,18,5,14,6,3,0,0,0,41,8,19,29.6,Matches
35f67a30,Fisnik Asllani,xk KVX,FW,Hoffenheim,20-215,2002,1.4,0,0,0,1,2,2,2,2,0,0,0,0,2,2,4,33.3,Matches
fe46e261,Mehmet-Can Aydin,de GER,DF,Schalke 04,21-030,2002,4.3,0,0,0,5,2,0,11,9,11,0,0,0,32,8,7,53.3,Matches
ce81d82d,Ayman Azhil,ma MAR,MF,Leverkusen,21-335,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
10549b49,Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,28-069,1995,6.2,1,0,0,10,1,6,0,1,3,1,0,0,25,12,27,30.8,Matches
f582d5c1,Sanoussy Ba,de GER,DF,RB Leipzig,19-065,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
a8567629,Mitchel Bakker,nl NED,"MF,DF",Leverkusen,22-264,2000,11.8,4,1,1,12,10,0,18,9,7,0,0,0,75,9,8,52.9,Matches
442b56fa,Ridle Baku,de GER,DF,Wolfsburg,24-337,1998,21.9,4,0,0,22,26,3,58,18,14,0,0,0,125,15,25,37.5,Matches
a2a85828,Aymen Barkok,ma MAR,MF,Mainz 05,24-294,1998,3.8,1,0,0,13,1,0,10,3,6,0,0,0,33,11,7,61.1,Matches
00242b75,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,23-067,2000,15.0,4,0,0,28,22,2,5,26,21,1,1,0,94,25,26,49.0,Matches
e61bdd69,Gil Bastião Dias,pt POR,FW,Stuttgart,26-164,1996,3.1,0,0,0,4,5,0,6,1,4,0,0,0,22,2,2,50.0,Matches
44a20f0c,Maximilian Bauer,de GER,DF,Augsburg,23-030,2000,12.2,6,0,0,13,16,1,1,20,10,0,1,0,73,47,29,61.8,Matches
47064058,Oliver Baumann,de GER,GK,Hoffenheim,32-282,1990,23.0,1,0,0,0,0,0,0,0,0,0,0,0,49,12,0,100.0,Matches
bd7d2e6d,Timo Baumgartl,de GER,DF,Union Berlin,27-007,1996,4.5,1,0,0,6,3,0,5,1,5,0,0,0,29,15,5,75.0,Matches
69374ff5,Julian Baumgartlinger,at AUT,MF,Augsburg,35-068,1988,4.0,0,0,0,2,6,0,2,4,3,0,0,0,24,6,9,40.0,Matches
437f2b00,Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,23-222,1999,20.5,5,0,0,48,36,4,23,13,14,2,0,0,106,39,48,44.8,Matches
fbbc8e15,Noah Joel Sarenren Bazee,ng NGA,FW,Augsburg,26-202,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
a53b661f,Ihlas Bebou,tg TOG,FW,Hoffenheim,28-322,1994,5.2,0,0,0,8,4,2,4,4,5,0,1,0,17,9,17,34.6,Matches
8eb55dbb,Sheraldo Becker,sr SUR,FW,Union Berlin,28-030,1995,18.2,1,0,0,19,13,18,79,2,4,1,0,0,52,13,33,28.3,Matches
30ae134d,Kevin Behrens,de GER,FW,Union Berlin,32-036,1991,10.2,2,0,0,19,13,2,4,4,4,0,0,0,32,107,94,53.2,Matches
857a5abe,Stefan Bell,de GER,DF,Mainz 05,31-199,1991,15.7,6,0,0,32,5,3,12,33,13,0,0,0,121,58,42,58.0,Matches
bee0bab1,Karim Bellarabi,de GER,FW,Leverkusen,32-337,1990,0.9,0,0,0,2,0,2,5,0,0,0,0,0,4,0,0,,Matches
57d88cf9,Jude Bellingham,eng ENG,MF,Dortmund,19-255,2003,21.1,6,0,0,25,58,1,20,29,32,0,0,0,152,29,25,53.7,Matches
378825c7,Ramy Bensebaini,dz ALG,DF,M'Gladbach,27-329,1995,20.8,5,1,1,18,35,2,24,26,20,0,0,1,124,53,29,64.6,Matches
eb6e14be,Mergim Berisha,de GER,FW,Augsburg,24-304,1998,14.9,9,1,1,24,25,13,74,0,4,0,0,0,40,33,55,37.5,Matches
7aac47fe,Ermin Bičakčić,ba BIH,DF,Hoffenheim,33-046,1990,1.8,0,0,0,0,1,0,1,4,0,0,0,0,7,7,7,50.0,Matches
07d3bfec,Tom Bischof,de GER,"MF,FW",Hoffenheim,17-256,2005,2.9,0,0,0,8,5,0,6,0,7,0,0,0,14,0,3,0.0,Matches
dc62fbee,Leonardo Bittencourt,de GER,"MF,DF",Werder Bremen,29-082,1993,11.3,6,0,0,29,25,3,30,8,14,0,0,0,72,4,11,26.7,Matches
663e080e,Janis Blaswich,de GER,GK,RB Leipzig,31-313,1991,16.0,0,0,0,1,3,0,0,0,0,0,1,0,23,8,0,100.0,Matches
691bef82,Daley Blind,nl NED,"DF,MF",Bayern Munich,33-002,1990,1.4,0,0,0,1,0,0,1,2,0,0,0,0,7,2,1,66.7,Matches
f4ec4fd0,Kevin-Prince Boateng,gh GHA,MF,Hertha BSC,36-005,1987,1.6,1,0,0,13,2,0,5,0,1,0,0,0,13,4,4,50.0,Matches
635f2732,Jean-Paul Boëtius,nl NED,MF,Hertha BSC,28-354,1994,9.5,2,0,0,11,24,0,4,10,14,0,0,0,63,4,15,21.1,Matches
36578017,Yvandro Borges Sanches,lu LUX,"FW,MF",M'Gladbach,18-291,2004,0.3,0,0,0,1,0,0,2,0,2,0,0,0,3,0,0,,Matches
01834aa0,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,23-354,1999,13.8,5,0,0,15,3,0,2,18,10,0,0,0,69,31,23,57.4,Matches
c68da769,Rafael Borré,co COL,"FW,MF",Eint Frankfurt,27-177,1995,6.2,2,0,0,14,6,11,6,2,11,0,0,0,30,11,18,37.9,Matches
a167537f,Julian Brandt,de GER,"MF,FW",Dortmund,26-313,1996,19.5,2,0,0,8,14,5,127,14,14,0,0,0,107,7,20,25.9,Matches
d28339cb,Fabian Bredlow,de GER,GK,Stuttgart,28-009,1995,4.0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,,Matches
d4a2533d,Josip Brekalo,hr CRO,"MF,FW",Wolfsburg,24-261,1998,3.0,0,0,0,2,3,1,13,2,1,0,0,0,14,0,2,0.0,Matches
e27da244,John Brooks,us USA,DF,Hoffenheim,30-042,1993,4.0,2,0,0,6,4,0,0,6,4,0,0,0,22,17,5,77.3,Matches
bbd79358,Moritz Broschinski,de GER,FW,Bochum,22-169,2000,1.1,1,0,0,2,1,0,1,0,0,0,0,0,6,4,4,50.0,Matches
f0a37d36,Cédric Brunner,ch SUI,DF,Schalke 04,29-022,1994,17.8,2,0,0,21,27,0,41,33,21,0,0,0,94,31,34,47.7,Matches
4e204552,Jacob Bruun Larsen,dk DEN,FW,Hoffenheim,24-173,1998,3.3,0,0,0,1,1,4,4,1,2,0,0,0,6,2,4,33.3,Matches
45e95f21,Lee Buchanan,eng ENG,"DF,FW",Werder Bremen,22-004,2001,3.3,1,0,0,4,4,0,15,7,8,0,0,0,20,5,4,55.6,Matches
ab5b7dc1,Marius Bülter,de GER,"FW,MF",Schalke 04,29-347,1993,19.3,4,0,0,16,37,5,76,9,9,0,0,0,85,32,47,40.5,Matches
05e2d5ea,Delano Burgzorg,nl NED,"FW,MF",Mainz 05,24-124,1998,2.3,2,0,0,4,3,3,1,0,3,0,0,0,4,0,11,0.0,Matches
05f99a4a,Jonathan Burkardt,de GER,"MF,FW",Mainz 05,22-243,2000,5.9,2,0,0,6,11,3,11,1,1,2,0,0,13,8,15,34.8,Matches
f631c17f,Oliver Burke,sct SCO,"FW,MF",Werder Bremen,25-338,1997,3.0,0,0,0,3,4,3,6,0,0,1,0,0,7,6,11,35.3,Matches
b4705807,Aurélio Buta,pt POR,DF,Eint Frankfurt,26-029,1997,4.5,1,0,0,11,4,0,10,4,6,0,0,0,22,6,9,40.0,Matches
10745192,Jamie Bynoe-Gittens,eng ENG,"FW,MF",Dortmund,18-215,2004,4.7,0,0,0,7,14,0,5,0,4,0,0,0,18,7,10,41.2,Matches
0118c54c,Anthony Caci,fr FRA,DF,Mainz 05,25-253,1997,14.5,1,0,0,10,5,0,41,37,20,0,0,0,103,15,26,36.6,Matches
d1db4b83,Kerim Calhanoglu,de GER,DF,Schalke 04,20-197,2002,0.7,0,0,0,3,1,0,2,0,1,0,1,0,3,1,2,33.3,Matches
d1273f09,Daniel Caligiuri,it ITA,"DF,MF",Augsburg,35-055,1988,2.9,1,0,0,5,4,0,10,3,5,0,0,0,28,2,5,28.6,Matches
a65ce836,Emre Can,de GER,MF,Dortmund,29-058,1994,11.1,4,0,0,16,12,0,0,14,20,0,0,0,90,19,7,73.1,Matches
bd6351cd,João Cancelo,pt POR,"FW,DF",Bayern Munich,28-288,1994,2.5,0,0,0,3,3,3,7,4,6,0,0,0,17,6,3,66.7,Matches
5e080f73,Irvin Cardona,fr FRA,MF,Augsburg,25-215,1997,0.6,1,0,0,1,0,0,1,2,0,0,0,0,1,0,0,,Matches
db401046,Koen Casteels,be BEL,GK,Wolfsburg,30-259,1992,23.0,0,0,0,0,1,0,0,1,0,0,0,0,38,2,1,66.7,Matches
ae7058f9,Julian Chabot,de GER,DF,Köln,25-027,1998,10.4,2,0,0,17,13,2,1,19,16,0,0,0,62,43,19,69.4,Matches
b3b7f5a6,Timothy Chandler,us USA,DF,Eint Frankfurt,32-347,1990,0.9,0,0,0,0,0,0,3,0,2,0,0,0,5,1,0,100.0,Matches
48780156,Fabio Chiarodia,it ITA,DF,Werder Bremen,17-279,2005,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0,Matches
af104654,Oliver Christensen,dk DEN,GK,Hertha BSC,23-354,1999,23.0,1,0,0,0,6,0,0,0,0,0,0,0,40,4,2,66.7,Matches
c6608135,Darko Churlinov,mk MKD,FW,Stuttgart,22-243,2000,0.3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0.0,Matches
