id,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
22919e97,Sargis Adamyan,am ARM,"FW,MF",Köln,29-292,1993,6.4,106,151,70.2,1733,426,53,64,82.8,41,55,74.5,9,14,64.3,2,0.7,1.1,+1.3,8,6,10,2,20,Matches
501055d8,Karim Adeyemi,de GER,"FW,MF",Dortmund,21-052,2002,8.9,210,287,73.2,2631,763,129,158,81.6,56,71,78.9,6,15,40.0,2,2.0,1.7,0.0,13,12,11,0,27,Matches
dcfb17f4,Amine Adli,fr FRA,FW,Leverkusen,22-305,2000,8.4,231,300,77.0,3259,780,135,167,80.8,68,82,82.9,13,21,61.9,2,1.2,1.2,+0.8,14,18,6,1,28,Matches
cb6d81b3,Felix Agu,de GER,"DF,FW",Werder Bremen,23-165,1999,0.5,16,25,64.0,299,144,4,5,80.0,9,10,90.0,2,6,33.3,0,0.1,0.1,-0.1,1,1,1,0,2,Matches
a6c58494,Naouirou Ahamada,fr FRA,MF,Stuttgart,20-347,2002,15.5,449,529,84.9,6965,1651,223,242,92.1,187,204,91.7,21,40,52.5,2,1.2,0.9,+0.8,15,38,7,2,56,Matches
462475ed,Ludovic Ajorque,fr FRA,FW,Mainz 05,29-014,1994,5.2,94,172,54.7,1498,361,55,91,60.4,20,45,44.4,13,15,86.7,1,1.0,1.2,0.0,7,10,5,0,14,Matches
6ec6fde0,Kevin Akpoguma,ng NGA,DF,Hoffenheim,27-326,1995,13.3,512,652,78.5,9640,3623,171,201,85.1,283,318,89.0,50,105,47.6,0,0.4,0.7,-0.4,3,56,6,2,61,Matches
834d0be5,Lucas Alario,ar ARG,FW,Eint Frankfurt,30-154,1992,3.0,43,64,67.2,602,130,24,34,70.6,13,18,72.2,4,5,80.0,0,0.0,0.2,0.0,1,3,0,0,5,Matches
00f518d8,Faride Alidou,de GER,"DF,MF",Eint Frankfurt,21-236,2001,1.4,43,58,74.1,664,267,22,23,95.7,18,26,69.2,2,5,40.0,0,0.3,0.1,-0.3,1,5,5,1,10,Matches
8ce30c57,Éder Álvarez Balanta,co COL,MF,Schalke 04,30-011,1993,1.6,28,44,63.6,588,196,8,11,72.7,14,17,82.4,6,12,50.0,0,0.1,0.0,-0.1,3,6,0,0,6,Matches
cd682b6b,Lukáš Ambros,cz CZE,MF,Wolfsburg,18-279,2004,0.2,3,3,100.0,43,4,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
555d5edd,Nadiem Amiri,de GER,"MF,FW",Leverkusen,26-135,1996,7.8,298,350,85.1,4897,1165,148,160,92.5,108,119,90.8,31,45,68.9,1,0.8,1.1,+0.2,11,31,7,1,36,Matches
e0b113a7,Robert Andrich,de GER,MF,Leverkusen,28-170,1994,18.7,879,1048,83.9,14505,4100,432,485,89.1,351,413,85.0,64,92,69.6,2,1.0,0.7,+1.0,13,67,9,2,76,Matches
30941e96,Angeliño,es ESP,DF,Hoffenheim,26-066,1997,20.7,739,1119,66.0,13920,5387,313,366,85.5,316,453,69.8,100,232,43.1,5,4.5,4.9,+0.5,41,54,37,19,75,Matches
5e66fa06,Waldemar Anton,de GER,DF,Stuttgart,26-234,1996,22.4,1098,1393,78.8,21616,8442,371,432,85.9,608,699,87.0,114,215,53.0,0,0.8,1.1,-0.8,8,72,12,4,94,Matches
0a3f6cde,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29-032,1994,12.8,208,349,59.6,3355,1147,108,139,77.7,70,122,57.4,19,52,36.5,6,2.8,2.0,+3.2,20,6,18,9,16,Matches
56413b1f,Charles Aránguiz,cl CHI,MF,Leverkusen,33-328,1989,5.5,248,311,79.7,3706,1211,136,154,88.3,84,96,87.5,15,39,38.5,0,0.2,0.2,-0.2,3,21,3,0,32,Matches
86e119e0,Maximilian Arnold,de GER,MF,Wolfsburg,28-288,1994,22.2,861,1144,75.3,19519,6199,232,268,86.6,434,509,85.3,179,326,54.9,2,3.3,3.8,-1.3,31,74,16,2,102,Matches
13ddc856,Takuma Asano,jp JPN,"FW,MF",Bochum,28-121,1994,10.4,134,189,70.9,1824,507,85,107,79.4,43,58,74.1,2,7,28.6,1,0.6,0.9,+0.4,11,11,9,2,20,Matches
35f67a30,Fisnik Asllani,xk KVX,FW,Hoffenheim,20-215,2002,1.4,30,50,60.0,306,35,22,35,62.9,4,6,66.7,0,0,,0,0.2,0.1,-0.2,3,1,0,0,0,Matches
fe46e261,Mehmet-Can Aydin,de GER,DF,Schalke 04,21-030,2002,4.3,94,162,58.0,1719,636,43,60,71.7,39,63,61.9,10,20,50.0,0,0.7,0.2,-0.7,2,4,1,1,4,Matches
ce81d82d,Ayman Azhil,ma MAR,MF,Leverkusen,21-335,2001,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
10549b49,Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,28-069,1995,6.2,101,151,66.9,1536,571,51,73,69.9,27,39,69.2,11,15,73.3,1,2.1,1.0,-1.1,10,14,6,0,26,Matches
f582d5c1,Sanoussy Ba,de GER,DF,RB Leipzig,19-065,2004,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
a8567629,Mitchel Bakker,nl NED,"MF,DF",Leverkusen,22-264,2000,11.8,508,643,79.0,8002,2507,279,318,87.7,188,238,79.0,32,61,52.5,2,1.9,1.2,+0.1,13,22,11,2,42,Matches
442b56fa,Ridle Baku,de GER,DF,Wolfsburg,24-337,1998,21.9,943,1203,78.4,17372,5784,374,430,87.0,461,557,82.8,97,166,58.4,1,3.0,3.8,-2.0,22,91,26,9,103,Matches
a2a85828,Aymen Barkok,ma MAR,MF,Mainz 05,24-294,1998,3.8,104,155,67.1,1586,581,57,72,79.2,34,50,68.0,8,13,61.5,1,0.3,0.9,+0.7,5,9,5,1,22,Matches
00242b75,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,23-067,2000,15.0,248,367,67.6,3499,1222,150,189,79.4,75,107,70.1,11,35,31.4,2,1.9,0.9,+0.1,10,32,3,1,38,Matches
e61bdd69,Gil Bastião Dias,pt POR,FW,Stuttgart,26-164,1996,3.1,85,125,68.0,1329,342,38,51,74.5,41,48,85.4,3,9,33.3,0,0.7,0.4,-0.7,7,6,6,1,11,Matches
44a20f0c,Maximilian Bauer,de GER,DF,Augsburg,23-030,2000,12.2,311,438,71.0,6448,2652,106,126,84.1,161,189,85.2,42,112,37.5,0,0.3,0.1,-0.3,2,22,2,0,25,Matches
47064058,Oliver Baumann,de GER,GK,Hoffenheim,32-282,1990,23.0,806,1002,80.4,19803,13502,198,198,100.0,392,397,98.7,208,395,52.7,0,0.0,0.0,0.0,1,13,0,0,1,Matches
bd7d2e6d,Timo Baumgartl,de GER,DF,Union Berlin,27-007,1996,4.5,190,235,80.9,3582,1311,73,78,93.6,99,109,90.8,17,45,37.8,0,0.1,0.2,-0.1,2,15,4,2,21,Matches
69374ff5,Julian Baumgartlinger,at AUT,MF,Augsburg,35-068,1988,4.0,122,151,80.8,2290,596,45,56,80.4,63,73,86.3,12,16,75.0,0,0.0,0.2,0.0,1,10,7,1,17,Matches
437f2b00,Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,23-222,1999,20.5,470,699,67.2,7214,2214,252,333,75.7,153,211,72.5,37,65,56.9,3,3.9,3.9,-0.9,20,52,26,3,81,Matches
fbbc8e15,Noah Joel Sarenren Bazee,ng NGA,FW,Augsburg,26-202,1996,0.1,1,1,100.0,10,5,1,1,100.0,0,0,,0,0,,0,0.1,0.0,-0.1,1,0,0,0,0,Matches
a53b661f,Ihlas Bebou,tg TOG,FW,Hoffenheim,28-322,1994,5.2,62,99,62.6,783,143,40,53,75.5,15,23,65.2,2,7,28.6,0,0.2,0.3,-0.2,6,4,2,0,6,Matches
8eb55dbb,Sheraldo Becker,sr SUR,FW,Union Berlin,28-030,1995,18.2,226,389,58.1,3883,996,93,152,61.2,90,138,65.2,30,50,60.0,4,3.0,3.8,+1.0,29,13,33,24,26,Matches
30ae134d,Kevin Behrens,de GER,FW,Union Berlin,32-036,1991,10.2,187,297,63.0,2517,704,107,155,69.0,59,87,67.8,8,12,66.7,1,0.7,1.0,+0.3,14,21,15,1,42,Matches
857a5abe,Stefan Bell,de GER,DF,Mainz 05,31-199,1991,15.7,560,727,77.0,10994,5393,206,244,84.4,256,291,88.0,91,157,58.0,1,0.5,0.7,+0.5,7,42,8,1,55,Matches
