id,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
2590ddf7,Issah Abbas,gh GHA,FW,Mainz 05,19,1998,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
565bf0da,David Abraham,ar ARG,DF,Eint Frankfurt,32,1986,15.8,671,646,22,20,0,13,8,2,0,0,0,0,514,3,12,Matches
1c08a3c8,Amir Abrashi,al ALB,MF,Freiburg,28,1990,8.8,372,368,4,1,0,0,2,2,0,0,0,0,319,0,9,Matches
2b09d998,Tyler Adams,us USA,MF,RB Leipzig,19,1999,8.0,530,511,18,15,4,3,2,3,0,0,0,0,424,1,12,Matches
54507986,Antonis Aidonis,de GER,DF,Stuttgart,17,2001,0.9,35,27,8,0,0,0,6,8,0,0,0,0,13,0,3,Matches
89ac64a6,Manuel Akanji,ch SUI,DF,Dortmund,23,1995,24.5,1855,1799,54,38,0,27,2,16,0,0,0,0,1722,2,9,Matches
debc2f28,Chadrac Akolo,cd COD,"MF,FW",Stuttgart,23,1995,5.8,161,161,0,0,0,0,8,0,0,0,0,0,119,0,7,Matches
6ec6fde0,Kevin Akpoguma,ng NGA,DF,Hoffenheim,23,1995,5.5,269,255,14,8,0,0,0,6,0,0,0,0,228,0,5,Matches
6ec6fde0,Kevin Akpoguma,ng NGA,DF,Hannover 96,23,1995,3.5,171,164,7,5,0,1,0,2,0,0,0,0,135,0,6,Matches
05439de2,David Alaba,at AUT,DF,Bayern Munich,26,1992,28.1,2153,1843,300,30,1,9,115,265,5,0,5,0,1769,10,52,Matches
834d0be5,Lucas Alario,ar ARG,"FW,MF",Leverkusen,25,1992,14.1,412,386,24,1,0,2,5,1,0,0,0,0,307,2,18,Matches
d459281d,Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,27,1990,18.4,966,756,203,13,0,3,57,188,2,0,2,0,715,7,31,Matches
a7a9d95a,Paco Alcácer,es ESP,FW,Dortmund,24,1993,13.5,290,255,32,0,8,0,3,2,0,0,0,0,213,3,3,Matches
77e84962,Thiago Alcántara,es ESP,MF,Bayern Munich,27,1991,26.8,2587,2437,146,75,3,49,69,7,62,47,2,1,2325,4,20,Matches
b15e93aa,Allan,br BRA,MF,Eint Frankfurt,21,1997,2.0,64,63,1,1,0,1,3,0,0,0,0,0,42,0,2,Matches
d73a07e2,Alfons Amade,de GER,MF,Hoffenheim,18,1999,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
555d5edd,Nadiem Amiri,de GER,MF,Hoffenheim,21,1996,8.4,375,360,14,8,2,1,11,6,0,0,0,0,320,1,7,Matches
5e66fa06,Waldemar Anton,de GER,DF,Hannover 96,22,1996,34.0,1733,1644,86,74,0,17,5,12,0,0,0,0,1444,3,25,Matches
c311243f,Dennis Aogo,de GER,MF,Stuttgart,31,1987,11.4,580,522,55,20,0,9,52,8,27,11,16,0,474,3,8,Matches
56413b1f,Charles Aránguiz,cl CHI,MF,Leverkusen,29,1989,21.0,1661,1593,60,43,2,11,24,3,14,7,7,0,1457,8,25,Matches
86e119e0,Maximilian Arnold,de GER,MF,Wolfsburg,24,1994,31.9,1473,1258,207,113,4,38,134,23,71,30,25,3,1111,8,20,Matches
13ddc856,Takuma Asano,jp JPN,"MF,FW",Hannover 96,23,1994,7.8,162,160,1,0,0,0,9,1,0,0,0,0,110,1,11,Matches
e26fcca3,Santiago Ascacíbar,ar ARG,MF,Stuttgart,21,1997,27.0,1111,1085,22,17,1,5,11,5,0,0,0,0,888,4,24,Matches
dfc85b89,Simon Asta,de GER,DF,Augsburg,17,2001,1.0,37,32,5,0,0,0,1,5,0,0,0,0,21,0,1,Matches
97bfa797,Jean-Kévin Augustin,fr FRA,FW,RB Leipzig,21,1997,5.1,88,85,3,0,0,0,2,0,0,0,0,0,69,0,3,Matches
9fec8860,Ludwig Augustinsson,se SWE,DF,Werder Bremen,24,1994,33.6,1972,1615,354,37,0,12,129,301,16,9,7,0,1546,3,54,Matches
2200181e,Kaan Ayhan,tr TUR,DF,Düsseldorf,23,1994,27.2,1440,1348,90,79,3,48,4,11,0,0,0,0,1265,2,9,Matches
