id,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
abf0cad0,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,24,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
cadd666a,Dickson Abiama,ng NGA,FW,Greuther Fürth,22,1998,24,726,30,23.7,8.1,5,79,2,19,17,8,0.46,8,29,-21,-2.60,-1.33,6.6,17.6,-11.0,-1.36,-0.62,Matches
dc38e3bc,Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,23,1998,13,259,20,8.5,2.9,1,72,0,12,16,6,1.23,5,4,+1,+0.35,+0.51,3.7,4.7,-1.0,-0.35,-0.21,Matches
2b09d998,Tyler Adams,us USA,MF,RB Leipzig,22,1999,24,1351,56,44.2,15.0,12,84,8,12,29,6,1.88,27,14,+13,+0.87,-0.29,28.5,18.6,+10.0,+0.66,-0.10,Matches
22919e97,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,28,1993,13,331,25,10.8,3.7,2,76,0,11,16,3,1.85,8,6,+2,+0.54,+0.68,7.7,4.3,+3.4,+0.92,+0.91,Matches
dcfb17f4,Amine Adli,fr FRA,"FW,MF",Leverkusen,21,2000,25,1256,50,41.0,14.0,13,75,3,12,23,0,1.76,24,23,+1,+0.07,-1.52,23.3,18.9,+4.4,+0.31,-0.40,Matches
a6c58494,Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,19,2002,3,61,20,2.0,0.7,0,,0,3,20,9,0.00,1,1,0,0.00,+0.54,0.8,0.7,+0.1,+0.17,+0.48,Matches
89ac64a6,Manuel Akanji,ch SUI,DF,Dortmund,26,1995,26,2261,87,73.9,25.1,25,89,23,1,45,0,2.00,64,44,+20,+0.80,-0.67,47.9,38.0,+10.0,+0.40,-0.48,Matches
6ec6fde0,Kevin Akpoguma,ng NGA,"DF,FW",Hoffenheim,26,1995,26,1527,59,49.9,17.0,19,71,5,7,24,4,1.50,33,30,+3,+0.18,+0.47,28.4,26.6,+1.8,+0.11,0.00,Matches
834d0be5,Lucas Alario,ar ARG,FW,Leverkusen,28,1992,27,655,24,21.4,7.3,5,79,3,22,12,2,1.74,17,9,+8,+1.10,+0.16,16.8,8.5,+8.3,+1.13,+0.75,Matches
0f2f73bc,Julian Albrecht,de GER,MF,Hertha BSC,19,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
555d5edd,Nadiem Amiri,de GER,"MF,FW",Leverkusen,24,1996,13,369,28,12.1,4.1,3,80,1,10,13,5,2.00,6,6,0,0.00,-1.10,7.3,6.0,+1.3,+0.33,-0.25,Matches
b4cf5806,Sebastian Andersson,se SWE,FW,Köln,30,1991,26,1257,48,41.1,14.0,13,77,3,13,20,1,1.38,15,17,-2,-0.14,-0.39,19.2,20.8,-1.6,-0.12,-0.17,Matches
6ea23758,Andrés Andrade Cedeño,pa PAN,DF,Arminia,22,1998,17,1046,62,34.2,11.6,12,81,9,5,15,9,1.00,12,18,-6,-0.52,+0.38,8.2,21.4,-13.2,-1.14,-0.09,Matches
3724baa1,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,22,1998,9,353,39,11.5,3.9,2,90,2,7,25,1,0.56,4,16,-12,-3.06,-2.33,4.4,11.7,-7.3,-1.87,-1.41,Matches
e0b113a7,Robert Andrich,de GER,MF,Leverkusen,26,1994,26,1817,70,59.4,20.2,21,81,14,5,22,1,1.92,48,31,+17,+0.84,-0.32,34.3,24.6,+9.7,+0.48,-0.17,Matches
30941e96,Angeliño,es ESP,DF,RB Leipzig,24,1997,29,2298,79,75.1,25.5,26,86,21,3,20,2,1.66,48,31,+17,+0.67,-1.46,45.5,30.8,+14.6,+0.57,-0.59,Matches
5e66fa06,Waldemar Anton,de GER,DF,Stuttgart,25,1996,29,2595,89,84.8,28.8,29,89,27,0,,0,1.07,35,48,-13,-0.45,+0.52,38.2,44.8,-6.6,-0.23,+0.46,Matches
0a3f6cde,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,27,1994,25,1130,45,36.9,12.6,12,77,3,13,16,4,1.04,13,18,-5,-0.40,+0.02,15.4,20.3,-4.9,-0.42,+0.04,Matches
56413b1f,Charles Aránguiz,cl CHI,MF,Leverkusen,32,1989,26,1578,61,51.6,17.5,16,84,10,10,23,0,2.12,46,22,+24,+1.37,+0.82,34.2,21.6,+12.6,+0.72,+0.36,Matches
86e119e0,Maximilian Arnold,de GER,MF,Wolfsburg,27,1994,34,2994,88,97.8,33.3,34,88,31,0,,0,1.24,43,53,-10,-0.30,+1.06,46.8,46.9,-0.1,0.00,-0.72,Matches
1394bf42,Bright Arrey-Mbi,de GER,DF,Bayern Munich,18,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
1394bf42,Bright Arrey-Mbi,de GER,DF,Köln,18,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
13ddc856,Takuma Asano,jp JPN,"FW,MF",Bochum,26,1994,27,1608,60,52.5,17.9,20,72,3,7,23,1,1.52,21,24,-3,-0.17,+0.51,20.1,29.9,-9.8,-0.55,-0.22,Matches
e26fcca3,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,24,1997,28,2375,85,77.6,26.4,27,87,20,1,33,6,0.96,29,52,-23,-0.87,+0.57,25.6,40.3,-14.7,-0.56,+0.27,Matches
35f67a30,Fisnik Asllani,xk KVX,"MF,FW",Hoffenheim,18,2002,2,9,5,0.3,0.1,0,,0,2,5,5,1.50,0,0,0,0.00,+0.06,0.2,0.1,+0.2,+1.69,+1.58,Matches
dfc85b89,Simon Asta,de GER,DF,Greuther Fürth,20,2001,13,783,60,25.6,8.7,9,83,6,4,10,13,0.31,9,22,-13,-1.49,+0.13,6.6,16.7,-10.1,-1.16,-0.37,Matches
05c1f4c7,Christalino Atemona,de GER,DF,Hertha BSC,19,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
dbd1b101,Noah Atubolu,de GER,GK,Freiburg,19,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
e5478b87,Taiwo Awoniyi,ng NGA,FW,Union Berlin,23,1997,31,2174,70,71.0,24.2,29,73,1,2,26,0,1.61,33,31,+2,+0.08,-0.32,32.7,26.6,+6.1,+0.25,0.00,Matches
10549b49,Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,26,1995,9,359,40,11.7,4.0,4,73,0,5,13,0,2.11,7,5,+2,+0.50,-0.53,8.7,4.7,+4.0,+1.01,+0.52,Matches
a8567629,Mitchel Bakker,nl NED,DF,Leverkusen,21,2000,25,1822,73,59.5,20.2,19,86,13,6,31,1,2.00,49,29,+20,+0.99,+0.04,37.8,29.4,+8.4,+0.41,-0.33,Matches
442b56fa,Ridle Baku,de GER,"DF,FW",Wolfsburg,23,1998,34,2446,72,79.9,27.2,28,83,18,6,21,0,1.24,40,40,0,0.00,+1.61,40.0,36.8,+3.1,+0.12,+0.51,Matches
a2a85828,Aymen Barkok,ma MAR,"MF,DF",Eint Frankfurt,23,1998,5,160,32,5.2,1.8,2,51,0,3,19,4,1.20,2,5,-3,-1.69,-1.66,1.2,3.9,-2.7,-1.52,-1.44,Matches
00242b75,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,21,2000,31,1789,58,58.5,19.9,20,78,7,11,22,2,1.48,25,24,+1,+0.05,-0.23,28.6,24.6,+4.0,+0.20,+0.02,Matches
c0d3bd23,Jacob Barrett Laursen,dk DEN,DF,Arminia,26,1994,24,1632,68,53.3,18.1,20,76,8,4,27,4,0.83,12,27,-15,-0.83,-0.13,15.6,33.1,-17.5,-0.97,+0.23,Matches
8df328f4,Abdourahmane Barry,fr FRA,DF,Greuther Fürth,21,2000,8,210,26,6.9,2.3,1,76,0,7,19,10,0.00,3,12,-9,-3.86,-2.44,1.7,6.2,-4.6,-1.96,-1.15,Matches
44a20f0c,Maximilian Bauer,de GER,DF,Greuther Fürth,21,2000,26,1690,65,55.2,18.8,18,87,16,8,16,4,0.65,12,54,-42,-2.24,-1.45,15.3,36.2,-20.9,-1.11,-0.50,Matches
47064058,Oliver Baumann,de GER,GK,Hoffenheim,31,1990,33,2970,90,97.1,33.0,33,90,33,0,,0,1.30,52,57,-5,-0.15,-3.15,54.3,53.5,+0.8,+0.02,-2.92,Matches
bd7d2e6d,Timo Baumgartl,de GER,DF,Union Berlin,25,1996,25,2166,87,70.8,24.1,25,87,22,0,,4,1.44,29,33,-4,-0.17,-1.17,30.4,28.6,+1.8,+0.07,-0.60,Matches
69374ff5,Julian Baumgartlinger,at AUT,"MF,FW",Leverkusen,33,1988,6,88,15,2.9,1.0,1,59,0,5,6,5,2.67,4,0,+4,+4.09,+3.21,2.8,0.9,+1.8,+1.86,+1.35,Matches
437f2b00,Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,21,1999,29,1888,65,61.7,21.0,23,76,9,6,24,0,1.34,29,33,-4,-0.19,-0.34,34.4,32.5,+1.9,+0.09,-0.05,Matches
fbbc8e15,Noah Joel Sarenren Bazee,ng NGA,"MF,FW",Augsburg,24,1996,14,241,17,7.9,2.7,1,67,0,13,13,3,0.93,5,3,+2,+0.75,+1.35,4.0,5.3,-1.3,-0.50,+0.14,Matches
29dd9279,Luca Bazzoli,de GER,DF,Stuttgart,20,2000,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
a53b661f,Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,27,1994,28,2091,75,68.3,23.2,25,79,6,3,42,0,1.50,34,40,-6,-0.26,-0.63,38.4,37.5,+0.9,+0.04,-0.23,Matches
8eb55dbb,Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,26,1995,28,1758,63,57.5,19.5,22,75,4,6,19,3,1.71,30,24,+6,+0.31,+0.31,27.1,22.3,+4.8,+0.25,-0.01,Matches
30ae134d,Kevin Behrens,de GER,FW,Union Berlin,30,1991,24,499,21,16.3,5.5,2,63,0,22,17,5,1.75,13,8,+5,+0.90,+0.87,10.3,7.4,+2.9,+0.52,+0.32,Matches
ff182fdc,Ishak Belfodil,dz ALG,FW,Hertha BSC,29,1992,26,1636,63,53.5,18.2,17,77,3,9,36,4,0.96,20,38,-18,-0.99,+0.02,16.0,33.7,-17.7,-0.97,-0.76,Matches
857a5abe,Stefan Bell,de GER,DF,Mainz 05,29,1991,33,2864,87,93.6,31.8,33,87,27,0,,0,1.39,46,41,+5,+0.16,+0.16,48.0,41.5,+6.4,+0.20,+0.18,Matches
a39d11bc,Armel Bella Kotchap,de GER,DF,Bochum,19,2001,22,1768,80,57.8,19.6,20,88,18,2,2,9,0.95,18,35,-17,-0.87,-1.07,20.5,30.3,-9.8,-0.52,-0.18,Matches
bee0bab1,Karim Bellarabi,de GER,"FW,MF",Leverkusen,31,1990,16,683,43,22.3,7.6,9,62,0,7,18,1,1.94,23,6,+17,+2.24,+1.63,16.9,8.7,+8.3,+1.09,+0.70,Matches
57d88cf9,Jude Bellingham,eng ENG,MF,Dortmund,18,2003,32,2790,87,91.2,31.0,32,87,27,0,,0,2.06,76,46,+30,+0.97,-0.03,58.5,41.4,+17.1,+0.55,+0.32,Matches
aca0a525,George Bello,us USA,DF,Arminia,19,2002,10,434,43,14.2,4.8,3,90,3,7,23,3,0.20,2,12,-10,-2.07,-1.53,2.7,12.5,-9.7,-2.02,-1.10,Matches
fe888e39,László Bénes,sk SVK,MF,M'Gladbach,23,1997,13,246,19,8.0,2.7,2,62,0,11,11,17,1.31,6,6,0,0.00,+0.22,4.1,6.3,-2.2,-0.81,-0.92,Matches
f4c7c708,Keanan Bennetts,eng ENG,"FW,DF",M'Gladbach,22,1999,4,50,13,1.6,0.6,0,,0,4,13,19,0.50,1,0,+1,+1.80,+2.04,3.0,0.7,+2.3,+4.08,+4.11,Matches
378825c7,Ramy Bensebaini,dz ALG,DF,M'Gladbach,26,1995,23,2020,88,66.0,22.4,22,90,21,1,46,0,1.09,37,48,-11,-0.49,-0.84,34.4,37.0,-2.6,-0.12,-0.43,Matches
9af1f9ff,Louis Beyer,de GER,DF,M'Gladbach,21,2000,17,1384,81,45.2,15.4,15,89,13,2,23,6,1.53,25,19,+6,+0.39,+1.09,25.1,19.8,+5.3,+0.37,+0.58,Matches
763b8b37,Bartosz Bialek,pl POL,"FW,DF",Wolfsburg,19,2001,12,178,15,5.8,2.0,1,64,0,11,10,7,1.58,5,2,+3,+1.52,+1.95,1.2,2.8,-1.6,-0.81,-0.88,Matches
7aac47fe,Ermin Bičakčić,ba BIH,DF,Hoffenheim,31,1990,1,5,5,0.2,0.1,0,,0,1,5,0,0.00,0,0,0,0.00,+0.06,0.2,0.0,+0.2,+2.90,+2.79,Matches
2472dfb8,Matteo Bignetti,at AUT,GK,Eint Frankfurt,17,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
07d3bfec,Tom Bischof,de GER,MF,Hoffenheim,16,2005,1,14,14,0.5,0.2,0,,0,1,14,6,0.00,0,0,0,0.00,+0.06,0.0,0.1,-0.1,-0.39,-0.51,Matches
eb61713c,Danny Blum,de GER,FW,Bochum,30,1991,13,346,27,11.3,3.8,2,52,0,11,22,4,1.31,4,2,+2,+0.52,+1.05,6.0,5.7,+0.3,+0.07,+0.58,Matches
f4ec4fd0,Kevin-Prince Boateng,gh GHA,"MF,FW",Hertha BSC,34,1987,18,696,39,22.7,7.7,8,61,0,10,21,6,1.11,10,13,-3,-0.39,+0.79,9.4,7.9,+1.6,+0.20,+1.06,Matches
4f380a04,Ben Bobzien,de GER,FW,Mainz 05,18,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
5ad8c360,Herbert Bockhorn,de GER,DF,Bochum,26,1995,18,850,47,27.8,9.4,7,89,6,11,21,9,0.61,7,19,-12,-1.27,-1.19,7.5,19.8,-12.3,-1.45,-1.34,Matches
635f2732,Jean-Paul Boëtius,nl NED,MF,Mainz 05,27,1994,33,1800,55,58.8,20.0,19,78,7,14,23,0,1.30,31,34,-3,-0.15,-0.72,28.1,28.6,-0.5,-0.03,-0.53,Matches
1fda91b3,Melayro Bogarde,nl NED,DF,Hoffenheim,19,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
6ebbc28a,Tarsis Bonga,de GER,"MF,FW",Bochum,24,1997,3,17,6,0.6,0.2,0,,0,3,6,4,1.33,0,1,-1,-5.29,-4.91,0.2,0.9,-0.6,-3.26,-2.83,Matches
dd7b6eb8,Solomon Bonnah,nl NED,DF,RB Leipzig,17,2003,1,6,6,0.2,0.1,0,,0,1,6,6,0.00,0,0,0,0.00,-1.03,0.9,0.0,+0.9,+11.02,+10.32,Matches
01834aa0,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,22,1999,27,2007,74,65.6,22.3,23,85,18,4,14,5,0.96,30,37,-7,-0.31,+0.03,32.3,30.1,+2.2,+0.10,+0.25,Matches
c68da769,Rafael Borré,co COL,FW,Eint Frankfurt,25,1995,31,2378,77,77.7,26.4,28,82,13,3,25,1,1.32,41,40,+1,+0.04,+0.70,34.8,35.6,-0.8,-0.03,+0.57,Matches
7c473e12,Dedryck Boyata,be BEL,DF,Hertha BSC,30,1990,23,1898,83,62.0,21.1,22,86,19,1,4,1,1.17,25,40,-15,-0.71,+0.76,21.2,30.6,-9.4,-0.44,+0.46,Matches
a167537f,Julian Brandt,de GER,"MF,FW",Dortmund,25,1996,31,2078,67,67.9,23.1,22,81,8,9,34,0,2.03,63,33,+30,+1.30,+1.02,47.4,29.9,+17.5,+0.76,+0.74,Matches
db8c8860,Iker Bravo,es ESP,FW,Leverkusen,16,2005,1,12,12,0.4,0.1,0,,0,1,12,1,1.00,1,0,+1,+7.50,+6.56,0.6,0.1,+0.5,+4.10,+3.57,Matches
d28339cb,Fabian Bredlow,de GER,GK,Stuttgart,26,1995,4,360,90,11.8,4.0,4,90,4,0,,26,0.50,3,7,-4,-1.00,-0.53,2.5,7.4,-4.8,-1.20,-1.02,Matches
d4a2533d,Josip Brekalo,hr CRO,FW,Wolfsburg,23,1998,1,21,21,0.7,0.2,0,,0,1,21,1,3.00,2,0,+2,+8.57,+8.96,0.7,0.1,+0.5,+2.29,+2.29,Matches
4c184730,Brian Brobbey,nl NED,"FW,MF",RB Leipzig,19,2002,9,131,15,4.3,1.5,1,42,0,8,11,5,0.78,4,3,+1,+0.69,-0.36,2.5,2.9,-0.4,-0.29,-1.06,Matches
e27da244,John Brooks,us USA,DF,Wolfsburg,28,1993,31,2615,84,85.5,29.1,29,88,24,2,32,3,1.32,38,44,-6,-0.21,+0.80,41.0,40.6,+0.4,+0.01,0.00,Matches
a7813ac4,Daniel Brosinski,de GER,DF,Mainz 05,33,1988,11,390,35,12.7,4.3,4,81,2,7,9,21,0.91,6,10,-4,-0.92,-1.23,5.2,8.0,-2.7,-0.63,-0.94,Matches
f0a37d36,Cédric Brunner,ch SUI,DF,Arminia,27,1994,27,2183,81,71.3,24.3,26,84,19,1,11,0,1.00,20,30,-10,-0.41,+1.23,19.2,40.7,-21.5,-0.88,+0.66,Matches
4e204552,Jacob Bruun Larsen,dk DEN,"FW,MF",Hoffenheim,22,1998,25,812,32,26.5,9.0,9,66,1,16,14,2,1.04,14,19,-5,-0.55,-0.67,13.0,16.5,-3.6,-0.40,-0.69,Matches
25bdea4b,Sascha Burchert,de GER,GK,Greuther Fürth,31,1989,14,1260,90,41.2,14.0,14,90,14,0,,17,0.71,11,28,-17,-1.21,+0.64,11.9,21.5,-9.6,-0.68,+0.35,Matches
05e2d5ea,Delano Burgzorg,nl NED,MF,Mainz 05,22,1998,3,27,9,0.9,0.3,0,,0,3,9,1,2.00,3,0,+3,+10.00,+9.94,0.5,0.2,+0.3,+0.99,+0.81,Matches
05f99a4a,Jonathan Burkardt,de GER,"FW,MF",Mainz 05,21,2000,34,2611,77,85.3,29.0,32,80,9,2,34,0,1.35,41,39,+2,+0.07,-0.53,43.9,38.6,+5.3,+0.18,-0.05,Matches
c59b67ed,Nishan Burkart,ch SUI,MF,Freiburg,21,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
9d12e142,Roman Bürki,ch SUI,GK,Dortmund,30,1990,1,90,90,2.9,1.0,1,90,1,0,,2,3.00,2,1,+1,+1.00,+0.03,1.3,1.0,+0.4,+0.38,-0.15,Matches
bb13d261,Jakob Busk,dk DEN,GK,Union Berlin,27,1993,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
10745192,Jamie Bynoe-Gittens,eng ENG,FW,Dortmund,16,2004,4,134,34,4.4,1.5,1,62,0,3,24,1,1.50,5,3,+2,+1.34,+0.39,5.0,1.7,+3.4,+2.25,+1.81,Matches
d1273f09,Daniel Caligiuri,it ITA,"DF,MF",Augsburg,33,1988,28,2004,72,65.5,22.3,24,80,8,4,20,4,1.21,26,38,-12,-0.54,-0.11,24.7,36.5,-11.8,-0.53,+0.28,Matches
a65ce836,Emre Can,de GER,"DF,MF",Dortmund,27,1994,24,1690,70,55.2,18.8,19,84,14,5,19,0,2.13,45,22,+23,+1.22,+0.57,33.9,23.0,+10.9,+0.58,+0.13,Matches
db401046,Koen Casteels,be BEL,GK,Wolfsburg,29,1992,28,2520,90,82.4,28.0,28,90,28,0,,0,1.39,39,40,-1,-0.04,+1.63,40.5,38.7,+1.8,+0.06,+0.29,Matches
68829001,Gonzalo Castro,de GER,"MF,FW",Arminia,34,1987,12,436,36,14.2,4.8,4,78,1,8,15,3,0.83,3,9,-6,-1.24,-0.55,2.9,9.1,-6.2,-1.29,-0.25,Matches
ae7058f9,Julian Chabot,de GER,DF,Köln,23,1998,4,209,52,6.8,2.3,2,89,1,2,16,9,1.50,3,3,0,0.00,-0.09,3.2,3.8,-0.5,-0.23,-0.23,Matches
b3b7f5a6,Timothy Chandler,us USA,DF,Eint Frankfurt,31,1990,17,1212,71,39.6,13.5,15,80,8,2,5,14,1.41,18,21,-3,-0.22,-0.17,15.5,18.2,-2.7,-0.20,-0.07,Matches
3c569f37,Justin Che,us USA,"FW,DF",Hoffenheim,17,2003,2,41,21,1.3,0.5,0,,0,2,21,9,0.00,0,1,-1,-2.20,-2.17,0.6,0.3,+0.3,+0.61,+0.51,Matches
0c516c5c,Vladislav Cherny,de GER,MF,Arminia,18,2003,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
aa5a409a,Raman Chibsah,gh GHA,MF,Bochum,28,1993,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
af104654,Oliver Christensen,dk DEN,GK,Hertha BSC,22,1999,0,,,,,0,,0,0,,25,,,,,,,,,,,,Matches
e7b899b8,Max Christiansen,de GER,MF,Greuther Fürth,24,1996,27,2054,76,67.1,22.8,22,86,17,5,33,3,0.59,21,56,-35,-1.53,+0.17,20.6,43.1,-22.5,-0.99,-0.30,Matches
c6608135,Darko Churlinov,mk MKD,"FW,MF",Stuttgart,21,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
59a48c59,Tim Civeja,de GER,MF,Augsburg,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
042e8a49,Kingsley Coman,fr FRA,"FW,DF",Bayern Munich,25,1996,21,1359,65,44.4,15.1,16,78,3,5,23,0,2.48,38,17,+21,+1.39,-0.67,39.7,18.5,+21.2,+1.40,-0.27,Matches
33b38f49,Bambasé Conté,de GER,FW,Hoffenheim,18,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
8356931a,Lucas Copado,de GER,FW,Bayern Munich,17,2004,1,16,16,0.5,0.2,0,,0,1,16,1,0.00,0,0,0,0.00,-1.77,0.3,0.2,0.0,+0.10,-1.46,Matches
229cd98a,Sergio Córdova,ve VEN,"FW,MF",Augsburg,23,1997,13,328,25,10.7,3.6,2,54,0,11,20,1,1.08,6,6,0,0.00,+0.56,5.1,7.2,-2.1,-0.57,+0.06,Matches
5ddb8f9f,Danny da Costa,de GER,"DF,MF",Eint Frankfurt,28,1993,11,725,66,23.7,8.1,7,85,4,4,33,6,1.18,14,16,-2,-0.25,-0.17,9.0,14.1,-5.1,-0.63,-0.62,Matches
9dff291c,Soumaïla Coulibaly,fr FRA,DF,Dortmund,17,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
05ba9d7c,Tanguy Coulibaly,fr FRA,"FW,MF",Stuttgart,20,2001,21,1079,51,35.3,12.0,11,79,0,10,21,7,0.86,12,24,-12,-1.00,-0.73,11.6,19.3,-7.8,-0.65,-0.54,Matches
5722eced,Mickaël Cuisance,fr FRA,MF,Bayern Munich,21,1999,1,13,13,0.4,0.1,0,,0,1,13,5,3.00,0,0,0,0.00,-1.77,0.7,0.0,+0.7,+4.99,+3.46,Matches
