id,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
22919e97,Sargis Adamyan,am ARM,"FW,MF",Köln,29-292,1993,6.4,263,4,28,113,128,44,263,23,5,21.7,15,65.2,145,752,304,10,5,5,23,14,171,49,Matches
501055d8,Karim Adeyemi,de GER,"FW,MF",Dortmund,21-052,2002,8.9,422,6,40,165,225,36,422,49,14,28.6,25,51.0,276,1832,719,21,20,10,34,16,295,79,Matches
dcfb17f4,Amine Adli,fr FRA,FW,Leverkusen,22-305,2000,8.4,423,5,45,211,169,34,423,22,10,45.5,10,45.5,241,1341,676,24,11,6,37,12,319,74,Matches
cb6d81b3,Felix Agu,de GER,"DF,FW",Werder Bremen,23-165,1999,0.5,33,1,7,13,14,2,33,3,0,0.0,2,66.7,19,165,24,0,2,0,1,2,19,2,Matches
a6c58494,Naouirou Ahamada,fr FRA,MF,Stuttgart,20-347,2002,15.5,674,18,139,387,160,22,674,42,18,42.9,20,47.6,407,2982,1511,43,27,6,34,11,453,54,Matches
462475ed,Ludovic Ajorque,fr FRA,FW,Mainz 05,29-014,1994,5.2,231,3,15,108,109,40,231,4,2,50.0,2,50.0,91,343,89,3,0,0,19,8,174,41,Matches
6ec6fde0,Kevin Akpoguma,ng NGA,DF,Hoffenheim,27-326,1995,13.3,828,82,362,399,75,14,828,16,4,25.0,11,68.8,435,2276,1028,13,12,3,12,3,474,23,Matches
834d0be5,Lucas Alario,ar ARG,FW,Eint Frankfurt,30-154,1992,3.0,99,10,18,39,45,16,99,8,5,62.5,3,37.5,46,224,109,2,6,1,3,7,70,12,Matches
00f518d8,Faride Alidou,de GER,"DF,MF",Eint Frankfurt,21-236,2001,1.4,83,0,14,47,23,3,83,8,2,25.0,5,62.5,37,224,129,4,3,2,4,3,41,12,Matches
8ce30c57,Éder Álvarez Balanta,co COL,MF,Schalke 04,30-011,1993,1.6,57,2,21,27,9,0,57,2,2,100.0,0,0.0,23,113,74,1,1,0,1,2,26,0,Matches
cd682b6b,Lukáš Ambros,cz CZE,MF,Wolfsburg,18-279,2004,0.2,9,1,3,5,1,0,9,1,0,0.0,1,100.0,4,28,7,0,0,0,0,0,4,0,Matches
555d5edd,Nadiem Amiri,de GER,"MF,FW",Leverkusen,26-135,1996,7.8,432,9,65,252,120,9,432,28,14,50.0,11,39.3,242,1494,750,21,19,4,10,4,305,25,Matches
e0b113a7,Robert Andrich,de GER,MF,Leverkusen,28-170,1994,18.7,1237,80,386,729,126,13,1237,2,1,50.0,1,50.0,491,2346,1131,8,9,1,17,2,784,5,Matches
30941e96,Angeliño,es ESP,DF,Hoffenheim,26-066,1997,20.7,1290,46,348,559,388,24,1290,17,7,41.2,7,41.2,601,2355,1070,17,18,1,21,13,717,100,Matches
5e66fa06,Waldemar Anton,de GER,DF,Stuttgart,26-234,1996,22.4,1671,181,788,712,192,27,1671,30,14,46.7,15,50.0,901,5714,3210,39,25,2,20,10,1021,41,Matches
0a3f6cde,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29-032,1994,12.8,508,1,36,154,325,37,508,40,15,37.5,22,55.0,286,1721,670,29,24,10,55,24,294,134,Matches
56413b1f,Charles Aránguiz,cl CHI,MF,Leverkusen,33-328,1989,5.5,368,9,84,225,61,8,368,7,4,57.1,1,14.3,172,681,278,3,3,0,8,2,244,7,Matches
86e119e0,Maximilian Arnold,de GER,MF,Wolfsburg,28-288,1994,22.2,1358,84,344,760,268,9,1354,14,7,50.0,5,35.7,661,2948,1364,12,15,1,14,15,718,14,Matches
13ddc856,Takuma Asano,jp JPN,"FW,MF",Bochum,28-121,1994,10.4,285,2,26,116,146,28,285,14,3,21.4,8,57.1,179,1060,412,14,8,5,26,21,208,60,Matches
35f67a30,Fisnik Asllani,xk KVX,FW,Hoffenheim,20-215,2002,1.4,68,1,6,26,38,11,68,3,1,33.3,2,66.7,44,131,71,2,1,2,4,1,54,16,Matches
fe46e261,Mehmet-Can Aydin,de GER,DF,Schalke 04,21-030,2002,4.3,239,18,82,99,63,5,239,12,3,25.0,7,58.3,92,574,210,5,8,2,11,2,88,10,Matches
ce81d82d,Ayman Azhil,ma MAR,MF,Leverkusen,21-335,2001,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
10549b49,Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,28-069,1995,6.2,215,6,23,111,86,35,215,6,3,50.0,3,50.0,101,420,190,6,4,6,16,8,161,37,Matches
f582d5c1,Sanoussy Ba,de GER,DF,RB Leipzig,19-065,2004,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
a8567629,Mitchel Bakker,nl NED,"MF,DF",Leverkusen,22-264,2000,11.8,741,21,226,362,162,17,741,24,6,25.0,14,58.3,357,1736,904,18,10,6,15,8,461,48,Matches
442b56fa,Ridle Baku,de GER,DF,Wolfsburg,24-337,1998,21.9,1464,61,415,695,362,32,1464,45,16,35.6,22,48.9,812,3916,1861,41,16,5,43,15,888,108,Matches
a2a85828,Aymen Barkok,ma MAR,MF,Mainz 05,24-294,1998,3.8,214,8,35,79,106,11,214,16,8,50.0,8,50.0,112,900,498,11,13,3,10,6,124,18,Matches
00242b75,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,23-067,2000,15.0,556,33,137,269,158,37,556,6,3,50.0,2,33.3,221,893,350,10,9,2,25,8,240,29,Matches
e61bdd69,Gil Bastião Dias,pt POR,FW,Stuttgart,26-164,1996,3.1,171,1,26,82,67,9,171,11,8,72.7,3,27.3,116,826,407,11,4,2,12,10,115,25,Matches
44a20f0c,Maximilian Bauer,de GER,DF,Augsburg,23-030,2000,12.2,590,92,349,220,24,11,590,3,1,33.3,1,33.3,267,1230,641,7,5,0,4,2,275,2,Matches
47064058,Oliver Baumann,de GER,GK,Hoffenheim,32-282,1990,23.0,1062,848,1052,10,0,0,1062,0,0,,0,,673,2896,1550,0,0,0,0,0,579,0,Matches
bd7d2e6d,Timo Baumgartl,de GER,DF,Union Berlin,27-007,1996,4.5,276,24,120,137,20,6,276,0,0,,0,,161,896,523,3,3,0,3,0,175,2,Matches
