id,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
22919e97,Sargis Adamyan,am ARM,"FW,MF",Köln,29-292,1993,6.4,1,20,10,50.0,3.12,1.56,0.05,0.10,14.0,0,0,0,3.3,3.3,0.17,-2.3,-2.3,Matches
501055d8,Karim Adeyemi,de GER,"FW,MF",Dortmund,21-052,2002,8.9,3,20,9,45.0,2.25,1.01,0.15,0.33,17.4,0,0,0,2.5,2.5,0.13,+0.5,+0.5,Matches
dcfb17f4,Amine Adli,fr FRA,FW,Leverkusen,22-305,2000,8.4,2,15,6,40.0,1.79,0.72,0.13,0.33,12.9,0,0,0,2.0,2.0,0.14,0.0,0.0,Matches
cb6d81b3,Felix Agu,de GER,"DF,FW",Werder Bremen,23-165,1999,0.5,0,1,0,0.0,1.84,0.00,0.00,,15.9,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
a6c58494,Naouirou Ahamada,fr FRA,MF,Stuttgart,20-347,2002,15.5,2,16,5,31.3,1.03,0.32,0.13,0.40,22.1,0,0,0,0.8,0.8,0.05,+1.2,+1.2,Matches
462475ed,Ludovic Ajorque,fr FRA,FW,Mainz 05,29-014,1994,5.2,1,14,5,35.7,2.70,0.96,0.07,0.20,15.2,0,0,0,1.5,1.5,0.11,-0.5,-0.5,Matches
6ec6fde0,Kevin Akpoguma,ng NGA,DF,Hoffenheim,27-326,1995,13.3,0,6,1,16.7,0.45,0.07,0.00,0.00,17.0,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches
834d0be5,Lucas Alario,ar ARG,FW,Eint Frankfurt,30-154,1992,3.0,1,9,2,22.2,3.05,0.68,0.11,0.50,14.9,0,0,0,1.3,1.3,0.14,-0.3,-0.3,Matches
00f518d8,Faride Alidou,de GER,"DF,MF",Eint Frankfurt,21-236,2001,1.4,0,2,0,0.0,1.42,0.00,0.00,,17.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
8ce30c57,Éder Álvarez Balanta,co COL,MF,Schalke 04,30-011,1993,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
cd682b6b,Lukáš Ambros,cz CZE,MF,Wolfsburg,18-279,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
555d5edd,Nadiem Amiri,de GER,"MF,FW",Leverkusen,26-135,1996,7.8,3,15,7,46.7,1.92,0.89,0.20,0.43,24.1,1,0,0,0.7,0.7,0.05,+2.3,+2.3,Matches
e0b113a7,Robert Andrich,de GER,MF,Leverkusen,28-170,1994,18.7,2,20,5,25.0,1.07,0.27,0.10,0.40,20.0,1,0,0,1.2,1.2,0.06,+0.8,+0.8,Matches
30941e96,Angeliño,es ESP,DF,Hoffenheim,26-066,1997,20.7,0,16,3,18.8,0.77,0.14,0.00,0.00,19.9,2,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
5e66fa06,Waldemar Anton,de GER,DF,Stuttgart,26-234,1996,22.4,1,18,4,22.2,0.80,0.18,0.06,0.25,17.4,0,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches
0a3f6cde,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29-032,1994,12.8,2,19,6,31.6,1.49,0.47,0.11,0.33,18.4,0,0,0,1.9,1.9,0.10,+0.1,+0.1,Matches
56413b1f,Charles Aránguiz,cl CHI,MF,Leverkusen,33-328,1989,5.5,1,5,2,40.0,0.91,0.37,0.20,0.50,18.5,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches
86e119e0,Maximilian Arnold,de GER,MF,Wolfsburg,28-288,1994,22.2,5,24,9,37.5,1.08,0.41,0.08,0.22,32.0,6,3,4,4.0,0.9,0.04,+1.0,+1.1,Matches
13ddc856,Takuma Asano,jp JPN,"FW,MF",Bochum,28-121,1994,10.4,1,25,9,36.0,2.40,0.86,0.04,0.11,20.0,0,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches
35f67a30,Fisnik Asllani,xk KVX,FW,Hoffenheim,20-215,2002,1.4,0,4,0,0.0,2.77,0.00,0.00,,8.6,0,0,0,1.0,1.0,0.25,-1.0,-1.0,Matches
fe46e261,Mehmet-Can Aydin,de GER,DF,Schalke 04,21-030,2002,4.3,0,5,0,0.0,1.17,0.00,0.00,,23.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
ce81d82d,Ayman Azhil,ma MAR,MF,Leverkusen,21-335,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
10549b49,Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,28-069,1995,6.2,2,17,7,41.2,2.76,1.14,0.12,0.29,10.7,0,0,0,2.4,2.4,0.14,-0.4,-0.4,Matches
f582d5c1,Sanoussy Ba,de GER,DF,RB Leipzig,19-065,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
a8567629,Mitchel Bakker,nl NED,"MF,DF",Leverkusen,22-264,2000,11.8,2,10,4,40.0,0.85,0.34,0.20,0.50,21.3,0,0,0,1.1,1.1,0.11,+0.9,+0.9,Matches
