id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
22919e97,Sargis Adamyan,am ARM,"FW,MF",Köln,29-292,1993,21,3,576,6.4,1,2,3,1,0,0,3,0,3.3,3.3,0.7,4.0,10,20,49,0.16,0.31,0.47,0.16,0.47,0.53,0.12,0.64,0.53,0.64,Matches
501055d8,Karim Adeyemi,de GER,"FW,MF",Dortmund,21-052,2002,16,12,799,8.9,3,2,5,3,0,0,5,0,2.5,2.5,2.0,4.5,21,27,79,0.34,0.23,0.56,0.34,0.56,0.28,0.23,0.51,0.28,0.51,Matches
dcfb17f4,Amine Adli,fr FRA,FW,Leverkusen,22-305,2000,15,7,753,8.4,2,2,4,2,0,0,1,1,2.0,2.0,1.2,3.2,24,28,74,0.24,0.24,0.48,0.24,0.48,0.24,0.14,0.39,0.24,0.39,Matches
cb6d81b3,Felix Agu,de GER,"DF,FW",Werder Bremen,23-165,1999,3,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,2,0.00,0.00,0.00,0.00,0.00,0.07,0.14,0.22,0.07,0.22,Matches
a6c58494,Naouirou Ahamada,fr FRA,MF,Stuttgart,20-347,2002,17,17,1398,15.5,2,2,4,2,0,0,4,1,0.8,0.8,1.2,2.1,43,56,54,0.13,0.13,0.26,0.13,0.26,0.05,0.08,0.13,0.05,0.13,Matches
462475ed,Ludovic Ajorque,fr FRA,FW,Mainz 05,29-014,1994,7,6,467,5.2,1,1,2,1,0,0,1,0,1.5,1.5,1.0,2.5,3,14,41,0.19,0.19,0.39,0.19,0.39,0.30,0.18,0.48,0.30,0.48,Matches
6ec6fde0,Kevin Akpoguma,ng NGA,DF,Hoffenheim,27-326,1995,19,12,1201,13.3,0,0,0,0,0,0,7,0,0.6,0.6,0.4,1.0,13,61,23,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.08,0.04,0.08,Matches
834d0be5,Lucas Alario,ar ARG,FW,Eint Frankfurt,30-154,1992,15,2,266,3.0,1,0,1,1,0,0,0,0,1.3,1.3,0.0,1.3,2,5,12,0.34,0.00,0.34,0.34,0.34,0.43,0.01,0.45,0.43,0.45,Matches
00f518d8,Faride Alidou,de GER,"DF,MF",Eint Frankfurt,21-236,2001,10,0,127,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,4,10,12,0.00,0.00,0.00,0.00,0.00,0.07,0.19,0.26,0.07,0.26,Matches
8ce30c57,Éder Álvarez Balanta,co COL,MF,Schalke 04,30-011,1993,3,2,142,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
cd682b6b,Lukáš Ambros,cz CZE,MF,Wolfsburg,18-279,2004,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
555d5edd,Nadiem Amiri,de GER,"MF,FW",Leverkusen,26-135,1996,18,6,704,7.8,3,1,4,3,0,0,3,0,0.7,0.7,0.8,1.6,21,36,25,0.38,0.13,0.51,0.38,0.51,0.09,0.11,0.20,0.09,0.20,Matches
e0b113a7,Robert Andrich,de GER,MF,Leverkusen,28-170,1994,21,20,1686,18.7,2,2,4,2,0,0,6,0,1.2,1.2,1.0,2.2,8,76,5,0.11,0.11,0.21,0.11,0.21,0.07,0.05,0.12,0.07,0.12,Matches
