id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
8637e09a,Vincent Aboubakar,cm CMR,FW,pt Porto,25,1992,5.5,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,0,Matches
81442ecb,Marcos Acuña,ar ARG,"FW,DF",pt Sporting CP,25,1991,4.8,7,5,3,3,1,0,2,0.0,2,4,0,4,8,15,3,0,Matches
c81d773d,Tosin Adarabioyo,eng ENG,DF,eng Manchester City,19,1997,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,3,0,Matches
9d8586c4,Adriano,br BRA,DF,tr Beşiktaş,32,1984,5.4,15,12,5,9,1,8,13,61.5,5,2,0,2,11,26,19,2,Matches
2557c196,Luiz Adriano,br BRA,"FW,MF",ru Spartak Moscow,30,1987,6.0,8,6,2,3,3,1,4,25.0,3,5,1,4,1,9,16,0,Matches
42a632ba,Ansi Agolli,al ALB,DF,az Qarabağ FK,34,1982,4.0,7,5,6,1,0,2,2,100.0,0,5,1,4,6,13,15,0,Matches
4d034881,Sergio Agüero,ar ARG,FW,eng Manchester City,29,1988,4.9,3,2,1,1,1,0,3,0.0,3,4,0,4,3,6,0,0,Matches
0ff9eabc,Karim El Ahmadi,ma MAR,MF,nl Feyenoord,32,1985,4.0,9,6,4,5,0,1,6,16.7,5,10,0,10,3,12,4,0,Matches
5d91cf0f,Valon Ahmedi,al ALB,"MF,FW",si NK Maribor,22,1994,2.5,2,1,1,1,0,2,4,50.0,2,1,0,1,0,2,2,0,Matches
2b1c4abd,Albian Ajeti,ch SUI,FW,ch Basel,20,1997,1.1,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,Matches
89ac64a6,Manuel Akanji,ch SUI,DF,ch Basel,22,1995,6.0,8,5,8,0,0,4,11,36.4,7,11,5,6,13,21,32,0,Matches
42ec696a,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,31,1986,6.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,1,Matches
05439de2,David Alaba,at AUT,DF,de Bayern Munich,25,1992,6.9,7,5,3,2,2,2,5,40.0,3,5,2,3,7,14,9,2,Matches
4601e194,Jordi Alba,es ESP,DF,es Barcelona,28,1989,7.1,12,6,7,4,1,5,13,38.5,8,9,3,6,10,22,15,0,Matches
