id,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
f586779e,Tammy Abraham,eng ENG,FW,eng Chelsea,21,1997,6.3,17,2.70,12,0,1,4,0,0,1,0.16,0,0,0,1,0,0,Matches
2b09d998,Tyler Adams,us USA,"MF,DF",de RB Leipzig,20,1999,0.9,3,3.33,2,0,0,1,0,0,1,1.11,0,0,0,1,0,0,Matches
ee926a02,Arijan Ademi,mk MKD,"MF,DF",hr Dinamo Zagreb,28,1991,5.7,8,1.39,7,0,1,0,0,0,2,0.35,2,0,0,0,0,0,Matches
f76e6b4e,Adrián,es ESP,GK,eng Liverpool,32,1987,3.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4d034881,Sergio Agüero,ar ARG,FW,eng Manchester City,31,1988,2.2,6,2.76,3,0,2,1,0,0,0,0.00,0,0,0,0,0,0,Matches
89ac64a6,Manuel Akanji,ch SUI,DF,de Dortmund,24,1995,5.8,3,0.52,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
05439de2,David Alaba,at AUT,DF,de Bayern Munich,27,1992,7.5,12,1.60,11,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
834d0be5,Lucas Alario,ar ARG,FW,de Leverkusen,26,1992,2.4,4,1.68,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4601e194,Jordi Alba,es ESP,DF,es Barcelona,30,1989,3.9,9,2.29,9,0,0,0,0,0,1,0.25,1,0,0,0,0,0,Matches
a7a9d95a,Paco Alcácer,es ESP,FW,de Dortmund,25,1993,1.3,3,2.39,2,0,0,0,0,1,1,0.80,0,0,0,0,0,1,Matches
77e84962,Thiago Alcántara,es ESP,MF,de Bayern Munich,28,1991,9.1,37,4.07,31,2,1,0,0,3,7,0.77,6,1,0,0,0,0,Matches
f7d50789,Toby Alderweireld,be BEL,DF,eng Tottenham,30,1989,6.0,1,0.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6c811eb7,Carles Aleñá,es ESP,MF,es Barcelona,21,1998,1.0,5,5.00,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
cd1acf9d,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,20,1998,6.5,25,4.07,15,8,0,2,0,0,1,0.16,1,0,0,0,0,0,Matches
7a2e46a8,Alisson,br BRA,GK,eng Liverpool,26,1992,5.0,3,0.60,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
cc700722,Allan,br BRA,MF,it Napoli,28,1991,4.9,7,1.42,7,0,0,0,0,0,4,0.81,4,0,0,0,0,0,Matches
cea4ee8f,Dele Alli,eng ENG,"MF,FW",eng Tottenham,23,1996,5.7,15,2.62,12,0,0,1,2,0,4,0.70,3,0,0,0,1,0,Matches
67b3d74b,André Almeida,pt POR,DF,pt Benfica,28,1990,1.0,3,3.00,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
f4290206,Marcos Alonso,es ESP,DF,eng Chelsea,28,1990,4.4,8,1.81,6,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
8ce30c57,Éder Álvarez Balanta,co COL,MF,be Club Brugge,26,1993,3.2,9,2.83,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
8b3ab7ad,Edson Álvarez,mx MEX,MF,nl Ajax,21,1997,4.2,5,1.19,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
555d5edd,Nadiem Amiri,de GER,"FW,MF",de Leverkusen,22,1996,2.6,17,6.43,12,2,1,2,0,0,0,0.00,0,0,0,0,0,0,Matches
10b9fa99,Ethan Ampadu,wls WAL,DF,de RB Leipzig,18,2000,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
e34fc66d,Joachim Andersen,dk DEN,DF,fr Lyon,23,1996,4.4,1,0.23,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
dc008610,Florin Andone,ro ROU,FW,tr Galatasaray,26,1993,1.8,3,1.67,0,0,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
ef9c1c95,Benjamin André,fr FRA,MF,fr Lille,28,1990,4.5,15,3.35,10,1,0,3,0,1,1,0.22,1,0,0,0,0,0,Matches
b35db3f6,Miguel Ángel Guerrero,es ESP,FW,gr Olympiacos,29,1990,3.5,5,1.42,3,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
30941e96,Angeliño,es ESP,"DF,MF",de RB Leipzig,22,1997,4.0,11,2.75,11,0,0,0,0,0,2,0.50,2,0,0,0,0,0,Matches
30941e96,Angeliño,es ESP,DF,eng Manchester City,22,1997,1.0,4,4.00,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
108fe016,Marcos Antônio,br BRA,MF,ua Shakhtar,19,2000,0.3,1,3.21,1,0,0,0,0,0,1,3.21,1,0,0,0,0,0,Matches
a5db0bec,Houssem Aouar,fr FRA,"MF,FW",fr Lyon,21,1998,7.9,26,3.29,15,1,7,1,2,0,9,1.14,5,0,2,1,1,0,Matches
c63f6e46,Youssef El-Arabi,ma MAR,FW,gr Olympiacos,32,1987,3.1,5,1.62,4,0,1,0,0,0,1,0.32,0,0,1,0,0,0,Matches
56413b1f,Charles Aránguiz,cl CHI,MF,de Leverkusen,30,1989,4.6,19,4.14,17,0,2,0,0,0,1,0.22,1,0,0,0,0,0,Matches
fa18c72e,Luiz Araújo,br BRA,"FW,MF",fr Lille,23,1996,3.1,6,1.95,4,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
2f965a72,Alphonse Areola,fr FRA,GK,es Real Madrid,26,1993,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
