id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
65d62814,Antonio Adán,es ESP,GK,pt Sporting CP,34,1987,7,7,630,7.0,13,1.86,29,16,55.2,3,1,3,2,28.6,0,0,0,0,,Matches
7a2e46a8,Alisson,br BRA,GK,eng Liverpool,28,1992,13,13,1170,13.0,14,1.08,28,14,50.0,10,1,2,4,30.8,0,0,0,0,,Matches
28d596a0,Kepa Arrizabalaga,es ESP,GK,eng Chelsea,26,1994,1,1,90,1.0,3,3.00,7,4,57.1,0,1,0,0,0.0,0,0,0,0,,Matches
55b93ae0,Giorgos Athanasiadis,gr GRE,GK,md Sheriff Tiraspol,28,1993,5,5,450,5.0,8,1.60,35,27,80.0,2,1,2,1,20.0,1,1,0,0,0.0,Matches
f7b10c66,David von Ballmoos,ch SUI,GK,ch Young Boys,26,1994,3,3,270,3.0,6,2.00,15,9,60.0,1,0,2,0,0.0,0,0,0,0,,Matches
f6798fc3,Yassine Bounou,ma MAR,GK,es Sevilla,30,1991,6,6,540,6.0,5,0.83,19,14,84.2,1,3,2,2,33.3,4,2,0,2,0.0,Matches
1e064bfb,Denys Boyko,ua UKR,GK,ua Dynamo Kyiv,33,1988,1,1,90,1.0,0,0.00,4,4,100.0,0,1,0,1,100.0,0,0,0,0,,Matches
eb2b33aa,Heorhiy Bushchan,ua UKR,GK,ua Dynamo Kyiv,27,1994,5,5,450,5.0,11,2.20,23,13,56.5,0,0,5,0,0.0,1,1,0,0,0.0,Matches
3e1550ee,Scott Carson,eng ENG,GK,eng Manchester City,35,1985,1,0,18,0.2,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,,Matches
db401046,Koen Casteels,be BEL,GK,de Wolfsburg,29,1992,5,5,450,5.0,8,1.60,26,18,73.1,1,2,2,1,20.0,1,1,0,0,0.0,Matches
