id,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
5bc43860,Brenden Aaronson,us USA,MF,at RB Salzburg,20,2000,7.9,177,235,75.3,2385,707,113,130,86.9,51,65,78.5,6,19,31.6,2,1.0,0.8,+1.0,13,14,5,1,27,Matches
47aaf574,Malik Abubakari,gh GHA,FW,se Malmö,21,2000,1.3,23,30,76.7,283,33,16,19,84.2,6,9,66.7,0,1,0.0,0,0.0,0.0,0.0,1,0,0,0,0,Matches
81442ecb,Marcos Acuña,ar ARG,DF,es Sevilla,29,1991,4.2,248,339,73.2,5150,2306,93,108,86.1,112,135,83.0,39,83,47.0,0,0.4,0.5,-0.4,7,31,8,4,27,Matches
2b09d998,Tyler Adams,us USA,MF,de RB Leipzig,22,1999,3.3,148,173,85.5,2353,616,76,86,88.4,65,70,92.9,7,13,53.8,0,0.0,0.2,0.0,0,16,3,0,17,Matches
82e12fe7,Chikwubuike Adamu,at AUT,FW,at RB Salzburg,20,2001,2.6,27,57,47.4,306,108,20,29,69.0,6,15,40.0,0,0,,0,0.4,0.1,-0.4,3,7,1,0,6,Matches
65d62814,Antonio Adán,es ESP,GK,pt Sporting CP,34,1987,7.0,171,247,69.2,4113,2586,50,50,100.0,77,79,97.5,44,116,37.9,0,0.0,0.0,0.0,0,2,0,0,0,Matches
6af56975,Edmund Addo,gh GHA,MF,md Sheriff Tiraspol,21,2000,5.4,124,144,86.1,2188,656,56,66,84.8,54,58,93.1,12,14,85.7,0,0.2,0.1,-0.2,5,14,2,0,13,Matches
501055d8,Karim Adeyemi,de GER,FW,at RB Salzburg,19,2002,6.7,49,91,53.8,665,147,29,46,63.0,15,24,62.5,2,6,33.3,1,0.8,0.7,+0.2,6,4,4,0,7,Matches
f9c927de,Michel Aebischer,ch SUI,MF,ch Young Boys,24,1997,5.6,223,275,81.1,4200,1195,99,108,91.7,92,105,87.6,29,46,63.0,1,0.6,0.7,+0.4,9,27,3,2,28,Matches
4d034881,Sergio Agüero,ar ARG,FW,es Barcelona,33,1988,0.2,4,5,80.0,41,4,4,4,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
