id,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
8bc373ea,Pape Abou Cissé,sn SEN,DF,gr Olympiacos,24,1995,5.0,263,248,10,10,0,3,0,0,0,0,0,0,189,5,4,Matches
f586779e,Tammy Abraham,eng ENG,FW,eng Chelsea,22,1997,2.6,48,46,2,0,0,0,0,0,0,0,0,0,38,0,1,Matches
b96b595c,Francesco Acerbi,it ITA,DF,it Lazio,32,1988,8.0,467,431,35,18,1,9,21,8,0,0,0,0,389,1,6,Matches
81442ecb,Marcos Acuña,ar ARG,DF,es Sevilla,28,1991,3.6,305,264,41,5,0,3,30,32,4,0,4,0,244,0,2,Matches
2b09d998,Tyler Adams,us USA,"FW,MF",de RB Leipzig,21,1999,3.2,160,130,28,2,1,0,1,26,0,0,0,0,126,2,4,Matches
501055d8,Karim Adeyemi,de GER,FW,at RB Salzburg,18,2002,0.6,8,7,1,0,0,0,1,0,1,0,0,0,4,0,0,Matches
f76e6b4e,Adrián,es ESP,GK,eng Liverpool,33,1987,1.0,32,23,9,1,0,0,0,0,0,0,0,0,21,0,1,Matches
288e1e13,Nayef Aguerd,ma MAR,DF,fr Rennes,24,1996,3.1,201,197,4,4,0,5,0,0,0,0,0,0,177,0,1,Matches
4d034881,Sergio Agüero,ar ARG,FW,eng Manchester City,32,1988,1.7,22,21,1,0,0,0,0,0,0,0,0,0,17,0,0,Matches
89ac64a6,Manuel Akanji,ch SUI,DF,de Dortmund,25,1995,7.0,567,556,10,8,0,6,0,2,0,0,0,0,521,1,1,Matches
414e1f69,Marley Aké,fr FRA,"FW,MF",fr Marseille,19,2001,0.4,12,10,2,0,0,0,0,0,0,0,0,0,11,0,0,Matches
eaeca114,Nathan Aké,nl NED,DF,eng Manchester City,25,1995,2.0,140,132,8,2,0,1,1,6,0,0,0,0,128,0,0,Matches
fdf4b948,Jean-Daniel Akpa-Akpro,ci CIV,MF,it Lazio,27,1992,3.2,94,89,5,1,1,3,0,4,0,0,0,0,74,0,1,Matches
05439de2,David Alaba,at AUT,"DF,MF",de Bayern Munich,28,1992,9.0,699,674,25,20,1,6,9,5,0,0,0,0,620,0,5,Matches
4601e194,Jordi Alba,es ESP,DF,es Barcelona,31,1989,5.4,515,487,26,2,1,2,16,23,1,0,0,0,451,2,9,Matches
5294a83f,Luis Alberto,es ESP,MF,it Lazio,27,1992,5.3,355,307,46,14,6,1,26,2,22,14,6,0,278,2,5,Matches
77e84962,Thiago Alcántara,es ESP,MF,eng Liverpool,29,1991,2.5,176,173,3,1,0,1,0,0,0,0,0,0,157,0,2,Matches
d68cb24c,Danijel Aleksić,rs SRB,MF,tr Başakşehir,29,1991,1.2,55,52,2,0,0,0,3,0,1,0,0,0,42,1,1,Matches
6c811eb7,Carles Aleñá,es ESP,"MF,DF",es Barcelona,22,1998,1.4,161,159,2,0,0,0,2,0,2,2,0,0,155,0,0,Matches
cd1acf9d,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,21,1998,7.9,631,530,96,11,2,21,49,67,18,1,13,0,439,5,11,Matches
edd38473,Hasan Ali Kaldırım,tr TUR,DF,tr Başakşehir,30,1989,1.2,61,54,7,0,0,0,6,7,0,0,0,0,41,0,1,Matches
7a2e46a8,Alisson,br BRA,GK,eng Liverpool,27,1992,7.0,260,196,64,14,0,1,0,0,0,0,0,0,213,0,0,Matches
f4290206,Marcos Alonso,es ESP,DF,eng Chelsea,29,1990,2.0,110,87,23,2,0,0,7,21,0,0,0,0,91,0,3,Matches
8ce30c57,Éder Álvarez Balanta,co COL,MF,be Club Brugge,27,1993,2.6,123,119,3,3,0,2,0,0,0,0,0,0,99,1,2,Matches
8b3ab7ad,Edson Álvarez,mx MEX,"MF,DF",nl Ajax,22,1997,1.4,63,60,3,3,0,0,0,0,0,0,0,0,51,0,1,Matches
22721b88,Jordan Amavi,fr FRA,DF,fr Marseille,26,1994,5.0,274,222,51,5,0,2,11,46,0,0,0,0,219,1,8,Matches
63e905bc,Mikkel Andersen,dk DEN,GK,dk Midtjylland,31,1988,2.0,96,80,16,4,0,0,0,0,0,0,0,0,69,0,0,Matches
9f1893b9,Felipe Anderson,br BRA,FW,pt Porto,27,1993,0.7,18,18,0,0,0,0,0,0,0,0,0,0,16,0,0,Matches
0a721e85,Mikael Anderson,is ISL,"MF,FW",dk Midtjylland,22,1998,1.9,56,55,1,0,0,0,3,0,0,0,0,0,37,0,1,Matches
b5f66351,Joel Andersson,se SWE,DF,dk Midtjylland,23,1996,4.4,210,163,45,6,0,0,10,39,0,0,0,0,134,2,8,Matches
4e3f5992,Oleksandr Andriyevskyi,ua UKR,MF,ua Dynamo Kyiv,26,1994,1.4,79,78,1,0,1,2,0,1,0,0,0,0,65,0,1,Matches
30941e96,Angeliño,es ESP,"DF,FW",de RB Leipzig,23,1997,7.0,410,332,74,5,0,3,37,60,9,4,3,0,286,4,12,Matches
b105919e,Faustino Anjorin,eng ENG,FW,eng Chelsea,18,2001,0.9,45,45,0,0,0,0,0,0,0,0,0,0,40,0,0,Matches
108fe016,Marcos Antônio,br BRA,MF,ua Shakhtar,20,2000,2.7,155,154,0,0,0,2,0,0,0,0,0,0,138,1,1,Matches
99127249,Antony,br BRA,FW,nl Ajax,20,2000,4.0,167,162,3,0,0,3,10,2,1,1,0,0,112,2,7,Matches
c63f6e46,Youssef El-Arabi,ma MAR,FW,gr Olympiacos,33,1987,4.7,86,76,9,0,0,2,2,0,0,0,0,0,60,1,2,Matches
2bef2bca,Ronald Araújo,uy URU,DF,es Barcelona,21,1999,1.6,91,86,5,4,0,0,0,1,0,0,0,0,85,0,0,Matches
30643ce2,Ari,ru RUS,FW,ru Krasnodar,34,1985,0.3,15,14,0,0,0,0,0,0,0,0,0,0,7,1,0,Matches
