id,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
5bc43860,Brenden Aaronson,us USA,MF,at RB Salzburg,20,2000,8,714,89,99.2,7.9,8,89,7,0,,0,1.70,10,14,-4,-0.50,-0.50,12.2,12.7,-0.5,-0.06,-0.67,Matches
47aaf574,Malik Abubakari,gh GHA,FW,se Malmö,21,2000,4,119,30,22.0,1.3,0,,0,4,30,2,1.13,0,4,-4,-3.03,-1.10,0.3,3.9,-3.6,-2.72,-0.60,Matches
81442ecb,Marcos Acuña,ar ARG,DF,es Sevilla,29,1991,5,378,76,70.0,4.2,5,76,3,0,,0,1.20,4,3,+1,+0.24,+0.79,5.2,5.9,-0.8,-0.18,-0.30,Matches
2b09d998,Tyler Adams,us USA,MF,de RB Leipzig,22,1999,5,293,59,54.3,3.3,3,84,2,2,20,0,0.80,7,12,-5,-1.54,-3.72,6.1,8.1,-2.0,-0.63,-2.26,Matches
82e12fe7,Chikwubuike Adamu,at AUT,FW,at RB Salzburg,20,2001,8,237,30,32.9,2.6,1,60,0,7,25,0,1.56,1,6,-5,-1.90,-2.09,2.2,6.2,-4.0,-1.54,-2.20,Matches
65d62814,Antonio Adán,es ESP,GK,pt Sporting CP,34,1987,7,630,90,87.5,7.0,7,90,7,0,,1,1.43,12,13,-1,-0.14,+1.86,11.0,10.6,+0.3,+0.05,+0.92,Matches
6af56975,Edmund Addo,gh GHA,MF,md Sheriff Tiraspol,21,2000,6,488,81,90.4,5.4,6,81,3,0,,0,1.75,6,9,-3,-0.55,+1.18,4.2,10.5,-6.3,-1.17,+1.57,Matches
501055d8,Karim Adeyemi,de GER,FW,at RB Salzburg,19,2002,8,602,75,83.6,6.7,8,75,1,0,,0,1.70,9,11,-2,-0.30,+1.23,11.6,11.2,+0.4,+0.06,+0.75,Matches
f76e6b4e,Adrián,es ESP,GK,eng Liverpool,34,1987,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
f9c927de,Michel Aebischer,ch SUI,MF,ch Young Boys,24,1997,6,502,84,93.0,5.6,6,84,4,0,,0,1.45,7,12,-5,-0.90,-0.90,6.6,9.7,-3.1,-0.55,-0.84,Matches
4d034881,Sergio Agüero,ar ARG,FW,es Barcelona,33,1988,1,16,16,3.0,0.2,0,,0,1,16,0,3.00,0,0,0,0.00,+1.20,0.0,0.0,0.0,+0.16,+0.72,Matches
eab957a3,Anel Ahmedhodzic,ba BIH,DF,se Malmö,22,1999,5,412,82,76.3,4.6,5,82,4,0,,0,1.25,1,8,-7,-1.53,+2.69,1.5,11.0,-9.5,-2.08,+0.71,Matches
89ac64a6,Manuel Akanji,ch SUI,DF,de Dortmund,26,1995,5,450,90,83.3,5.0,5,90,5,0,,0,1.20,5,11,-6,-1.20,-6.20,7.9,7.6,+0.3,+0.07,-3.43,Matches
eaeca114,Nathan Aké,nl NED,DF,eng Manchester City,26,1995,6,326,54,29.4,3.6,3,89,2,3,20,5,2.17,10,6,+4,+1.10,+0.07,7.7,4.1,+3.7,+1.02,-0.30,Matches
b8bd60fe,Ilias Akhomach,es ESP,FW,es Barcelona,17,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
05439de2,David Alaba,at AUT,DF,es Real Madrid,29,1992,12,1039,87,84.5,11.5,12,87,10,0,,1,2.00,24,11,+13,+1.13,+0.18,17.4,17.1,+0.3,+0.02,-0.21,Matches
4601e194,Jordi Alba,es ESP,"DF,FW",es Barcelona,32,1989,5,373,75,69.1,4.1,5,75,3,0,,0,1.40,2,2,0,0.00,+3.77,4.7,3.8,+1.0,+0.23,+2.48,Matches
4bd414c1,Raúl Albiol,es ESP,DF,es Villarreal,35,1985,12,1042,87,96.5,11.6,12,87,9,0,,0,1.50,18,15,+3,+0.26,-2.11,17.5,17.1,+0.4,+0.03,-1.11,Matches
a7a9d95a,Paco Alcácer,es ESP,FW,es Villarreal,27,1993,3,74,25,6.9,0.8,1,57,0,2,9,7,0.00,1,0,+1,+1.22,+0.95,1.4,1.2,+0.2,+0.24,+0.18,Matches
77e84962,Thiago Alcántara,es ESP,MF,eng Liverpool,30,1991,10,601,60,51.4,6.7,7,74,1,3,29,0,2.20,11,7,+4,+0.60,-1.30,10.8,6.7,+4.1,+0.61,-0.99,Matches
cd1acf9d,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,22,1998,9,791,88,67.6,8.8,9,88,5,0,,3,2.33,18,9,+9,+1.02,-0.64,19.2,8.4,+10.8,+1.23,+0.42,Matches
7a2e46a8,Alisson,br BRA,GK,eng Liverpool,28,1992,13,1170,90,100.0,13.0,13,90,13,0,,0,2.38,30,14,+16,+1.23,,27.3,13.1,+14.2,+1.09,,Matches
01df0dc4,Teddy Alloh,fr FRA,DF,fr Paris S-G,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
67b3d74b,André Almeida,pt POR,"DF,MF",pt Benfica,30,1990,5,236,47,26.2,2.6,3,73,2,2,9,2,1.71,3,0,+3,+1.14,+1.96,3.6,3.5,+0.1,+0.04,+1.36,Matches
f4290206,Marcos Alonso,es ESP,"DF,MF",eng Chelsea,30,1990,8,548,69,58.9,6.1,6,84,3,2,21,2,2.38,10,4,+6,+0.99,-0.19,8.5,5.1,+3.4,+0.59,-0.40,Matches
8ce30c57,Éder Álvarez Balanta,co COL,MF,be Club Brugge,28,1993,5,405,81,75.0,4.5,5,81,3,0,,0,0.80,4,14,-10,-2.22,+0.44,4.6,11.7,-7.2,-1.60,+2.53,Matches
8b3ab7ad,Edson Álvarez,mx MEX,MF,nl Ajax,23,1997,7,556,79,77.2,6.2,7,79,4,0,,0,2.29,17,6,+11,+1.78,+0.13,14.7,7.6,+7.1,+1.15,+0.13,Matches
13619663,Iker Álvarez,ad AND,GK,es Villarreal,20,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
00a2c297,Pedro Álvaro,pt POR,DF,pt Benfica,21,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
24fc70d3,Mohamed Aly Camara,gn GUI,DF,ch Young Boys,23,1997,4,346,87,64.1,3.8,4,87,3,0,,0,1.80,4,7,-3,-0.78,+0.15,5.5,6.9,-1.5,-0.38,+0.32,Matches
ef9c1c95,Benjamin André,fr FRA,MF,fr Lille,30,1990,7,630,90,87.5,7.0,7,90,7,0,,0,1.14,7,8,-1,-0.14,-1.14,9.7,7.1,+2.7,+0.38,+0.12,Matches
