id,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1339039e,Liel Abada,il ISR,"FW,MF",sct Celtic,21-159,2001,2.4,0,5,1,20.0,2.07,0.41,0.00,0.00,18.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
8f5cdf66,Oliver Abildgaard,dk DEN,MF,sct Celtic,26-274,1996,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
f417a1fa,Mohammad Abu Fani,il ISR,MF,il Maccabi Haifa,24-318,1998,4.4,0,11,2,18.2,2.48,0.45,0.00,0.00,25.1,1,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
b96b595c,Francesco Acerbi,it ITA,DF,it Inter,35-029,1988,4.2,0,4,1,25.0,0.94,0.24,0.00,0.00,15.7,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
81442ecb,Marcos Acuña,ar ARG,"DF,MF",es Sevilla,31-134,1991,2.4,0,2,0,0.0,0.82,0.00,0.00,,27.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
82e12fe7,Chikwubuike Adamu,at AUT,FW,at RB Salzburg,21-278,2001,2.3,1,5,3,60.0,2.21,1.32,0.20,0.33,8.4,0,0,0,1.3,1.3,0.26,-0.3,-0.3,Matches
65d62814,Antonio Adán,es ESP,GK,pt Sporting CP,35-302,1987,4.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
ee926a02,Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,31-286,1991,5.2,0,6,2,33.3,1.15,0.38,0.00,0.00,16.0,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
501055d8,Karim Adeyemi,de GER,"FW,MF",de Dortmund,21-052,2002,4.2,2,11,3,27.3,2.63,0.72,0.18,0.67,17.0,0,0,0,1.8,1.8,0.16,+0.2,+0.2,Matches
dcfb17f4,Amine Adli,fr FRA,"FW,MF",de Leverkusen,22-305,2000,1.3,0,3,1,33.3,2.23,0.74,0.00,0.00,15.6,0,0,0,0.7,0.7,0.22,-0.7,-0.7,Matches
89ac64a6,Manuel Akanji,ch SUI,DF,eng Manchester City,27-235,1995,4.5,0,1,0,0.0,0.22,0.00,0.00,,32.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
eaeca114,Nathan Aké,nl NED,DF,eng Manchester City,28-021,1995,3.0,0,2,0,0.0,0.66,0.00,0.00,,9.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
