id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
8637e09a,Vincent Aboubakar,cm CMR,FW,pt Porto,25,1992,6,6,495,5.5,5,2,7,5,0,0,0,0,2.8,2.8,1.0,3.8,4,7,38,0.91,0.36,1.27,0.91,1.27,0.51,0.19,0.70,0.51,0.70,Matches
81442ecb,Marcos Acuña,ar ARG,"FW,DF",pt Sporting CP,25,1991,5,5,433,4.8,0,1,1,0,0,0,2,0,0.0,0.0,0.5,0.5,12,13,19,0.00,0.21,0.21,0.00,0.21,0.00,0.11,0.11,0.00,0.11,Matches
c81d773d,Tosin Adarabioyo,eng ENG,DF,eng Manchester City,19,1997,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
9d8586c4,Adriano,br BRA,DF,tr Beşiktaş,32,1984,6,5,486,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,14,25,11,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
2557c196,Luiz Adriano,br BRA,"FW,MF",ru Spartak Moscow,30,1987,6,6,540,6.0,1,0,1,1,0,0,1,0,1.0,1.0,0.9,1.9,8,16,35,0.17,0.00,0.17,0.17,0.17,0.16,0.15,0.32,0.16,0.32,Matches
42a632ba,Ansi Agolli,al ALB,DF,az Qarabağ FK,34,1982,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,6,12,14,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
4d034881,Sergio Agüero,ar ARG,FW,eng Manchester City,29,1988,7,5,440,4.9,4,1,5,3,1,2,0,0,3.9,2.4,0.4,2.8,17,6,37,0.82,0.20,1.02,0.61,0.82,0.80,0.08,0.88,0.49,0.57,Matches
0ff9eabc,Karim El Ahmadi,ma MAR,MF,nl Feyenoord,32,1985,4,4,360,4.0,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,1,13,1,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,Matches
5d91cf0f,Valon Ahmedi,al ALB,"MF,FW",si NK Maribor,22,1994,4,3,226,2.5,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.8,9,6,12,0.00,0.00,0.00,0.00,0.00,0.10,0.21,0.31,0.10,0.31,Matches
2b1c4abd,Albian Ajeti,ch SUI,FW,ch Basel,20,1997,3,1,98,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
89ac64a6,Manuel Akanji,ch SUI,DF,ch Basel,22,1995,6,6,540,6.0,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.5,7,15,0,0.00,0.17,0.17,0.00,0.17,0.01,0.07,0.08,0.01,0.08,Matches
42ec696a,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,31,1986,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
05439de2,David Alaba,at AUT,DF,de Bayern Munich,25,1992,7,7,625,6.9,0,2,2,0,0,0,0,0,0.4,0.4,1.7,2.1,20,31,62,0.00,0.29,0.29,0.00,0.29,0.06,0.25,0.31,0.06,0.31,Matches
4601e194,Jordi Alba,es ESP,DF,es Barcelona,28,1989,8,7,638,7.1,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.5,7,27,61,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.00,0.07,Matches
4bd414c1,Raúl Albiol,es ESP,DF,it Napoli,31,1985,5,5,450,5.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,28,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
