id,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
c2304da8,Hatem Abd Elhamed,il ISR,DF,sct Celtic,28,1991,3.8,4,1.05,2,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
db265666,Araz Abdullayev,az AZE,"MF,FW",az Qarabağ Ağdam,27,1992,1.6,3,1.85,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4c07f0e8,Anicet Abel,mg MAD,MF,bg Ludogorets,29,1990,6.3,7,1.11,6,0,0,0,0,1,1,0.16,0,0,0,0,0,1,Matches
8c6239f2,Myenty Abena,sr SUR,DF,sk Slovan Bratislava,24,1994,6.0,1,0.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
469d3d84,Charles Abi,fr FRA,"FW,MF",fr Saint-Étienne,19,2000,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
8bc373ea,Pape Abou Cissé,sn SEN,DF,gr Olympiacos,23,1995,3.0,1,0.38,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
8637e09a,Vincent Aboubakar,cm CMR,FW,pt Porto,27,1992,1.0,5,5.00,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
c2a6033c,Zakaria Aboukhlal,ma MAR,FW,nl AZ Alkmaar,19,2000,0.2,1,6.43,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
565bf0da,David Abraham,ar ARG,DF,de Eint Frankfurt,33,1986,9.0,6,0.67,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
b96b595c,Francesco Acerbi,it ITA,DF,it Lazio,31,1988,6.0,7,1.17,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
81442ecb,Marcos Acuña,ar ARG,DF,pt Sporting CP,27,1991,6.1,27,4.66,16,6,2,1,2,0,8,1.38,2,3,1,0,2,0,Matches
884a8908,Samuel Adegbenro,ng NGA,FW,no Rosenborg,23,1995,5.4,7,1.31,5,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
3ed84b2c,Bobby Adekanye,nl NED,FW,it Lazio,20,1999,1.1,2,1.84,1,0,0,0,1,0,1,0.92,1,0,0,0,0,0,Matches
b3c14bff,Kemal Ademi,ch SUI,FW,ch Basel,23,1996,3.5,3,0.85,1,0,0,2,0,0,1,0.28,0,0,0,1,0,0,Matches
501055d8,Karim Adeyemi,de GER,MF,at RB Salzburg,17,2002,0.5,2,4.00,2,0,0,0,0,0,1,2.00,1,0,0,0,0,0,Matches
f9c927de,Michel Aebischer,ch SUI,MF,ch Young Boys,22,1997,5.2,15,2.86,7,6,1,0,1,0,1,0.19,1,0,0,0,0,0,Matches
5e9fa5c9,Mikel Agu,ng NGA,MF,pt Vitória,26,1993,4.8,10,2.10,8,0,1,0,0,1,1,0.21,1,0,0,0,0,0,Matches
eab957a3,Anel Ahmedhodzic,ba BIH,DF,se Malmö,20,1999,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
48b28bfd,Jean-Eudes Aholou,ci CIV,MF,fr Saint-Étienne,25,1994,2.7,2,0.74,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
74ced675,Ailton,br BRA,DF,az Qarabağ Ağdam,24,1995,6.0,6,1.00,3,0,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
