id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
2f965a72,Alphonse Areola,fr FRA,GK,eng West Ham,28,1993,11,11,1020,11.3,8,0.71,38,31,78.9,5,2,4,5,45.5,0,0,0,0,,Matches
55b93ae0,Giorgos Athanasiadis,gr GRE,GK,md Sheriff Tiraspol,28,1993,2,2,210,2.3,2,0.86,8,6,75.0,1,0,1,1,50.0,0,0,0,0,,Matches
56901a62,Scott Bain,sct SCO,GK,sct Celtic,29,1991,1,1,90,1.0,2,2.00,7,6,71.4,1,0,0,0,0.0,0,0,0,0,,Matches
072e68ed,Altay Bayındır,tr TUR,GK,tr Fenerbahçe,23,1998,3,3,270,3.0,6,2.00,15,9,60.0,0,2,1,0,0.0,0,0,0,0,,Matches
56f99ec7,Ádám Bogdán,hu HUN,GK,hu Ferencváros,33,1987,1,1,90,1.0,3,3.00,4,1,25.0,0,0,1,0,0.0,0,0,0,0,,Matches
5e8936be,Milan Borjan,ca CAN,GK,rs Red Star,33,1987,7,7,630,7.0,8,1.14,31,24,80.6,3,2,2,1,14.3,2,2,0,0,0.0,Matches
34ccf6fa,Artur Boruc,pl POL,GK,pl Legia Warsaw,41,1980,2,2,180,2.0,1,0.50,6,5,83.3,1,0,1,1,50.0,0,0,0,0,,Matches
f6798fc3,Yassine Bounou,ma MAR,GK,es Sevilla,30,1991,4,4,390,4.3,4,0.92,19,15,84.2,2,0,2,1,25.0,1,1,0,0,0.0,Matches
10072610,Claudio Bravo,cl CHI,GK,es Betis,38,1983,4,4,341,3.8,6,1.58,24,17,79.2,2,1,1,0,0.0,2,1,1,0,50.0,Matches
7f40333d,Jean Butez,fr FRA,GK,be Antwerp,26,1995,6,6,540,6.0,10,1.67,27,17,70.4,1,2,3,1,16.7,3,2,0,1,0.0,Matches
93fffbcf,Diogo Costa,pt POR,GK,pt Porto,21,1999,4,4,360,4.0,5,1.25,17,12,70.6,1,2,1,0,0.0,0,0,0,0,,Matches
4030c7ae,Dénes Dibusz,hu HUN,GK,hu Ferencváros,30,1990,5,5,450,5.0,9,1.80,30,22,70.0,1,0,4,1,20.0,1,0,1,0,100.0,Matches
510c6a3f,Joel Drommel,nl NED,GK,nl PSV Eindhoven,24,1996,6,6,540,6.0,8,1.33,20,12,65.0,2,2,2,2,33.3,1,1,0,0,0.0,Matches
9328b835,Łukasz Fabiański,pl POL,GK,eng West Ham,36,1985,1,1,90,1.0,0,0.00,0,0,,1,0,0,1,100.0,0,0,0,0,,Matches
