id,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
42ec696a,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,31,1986,6.0,9,1,0,1,0,10.2,0.30,+1.2,+0.20,53,116,45.7,131,21,64.9,45.1,43,72.1,51.7,56,2,3.6,4,0.67,11.8,Matches
314c2af0,Stephan Andersen,dk DEN,GK,dk FC Copenhagen,35,1981,2.0,2,0,0,0,0,1.8,0.20,-0.2,-0.09,22,48,45.8,64,4,57.8,45.0,14,78.6,57.7,33,1,3.0,2,1.00,14.7,Matches
d3149135,Giannis Anestis,gr GRE,GK,gr AEK Athens,26,1991,5.0,5,0,0,2,0,6.0,0.32,+1.0,+0.21,31,98,31.6,113,17,55.8,40.7,42,83.3,54.1,71,6,8.5,1,0.20,9.4,Matches
9f0ea33f,Sergio Asenjo,es ESP,GK,es Villarreal,28,1989,2.0,4,0,0,0,0,4.3,0.31,+0.3,+0.15,11,26,42.3,29,10,51.7,39.7,12,91.7,59.0,19,0,0.0,3,1.50,19.0,Matches
6e905b8d,Volkan Babacan,tr TUR,GK,tr Başakşehir,28,1988,2.0,2,0,0,0,0,2.2,0.44,+0.2,+0.10,3,14,21.4,56,16,14.3,25.2,16,37.5,39.6,26,4,15.4,3,1.50,12.0,Matches
f7b10c66,David von Ballmoos,ch SUI,GK,ch Young Boys,22,1994,5.0,7,0,1,0,0,4.7,0.25,-2.3,-0.47,30,82,36.6,94,15,55.3,38.5,33,90.9,58.9,65,6,9.2,5,1.00,14.0,Matches
aad4f74f,Mariano Barbosa,ar ARG,GK,es Villarreal,33,1984,6.0,6,0,0,1,0,5.9,0.25,-0.1,-0.01,22,54,40.7,106,32,21.7,30.2,44,70.5,52.2,89,0,0.0,2,0.33,12.3,Matches
c2e41cfb,Vasilios Barkas,gr GRE,GK,gr AEK Athens,23,1994,2.0,1,0,0,0,0,1.6,0.41,+0.6,+0.32,9,32,28.1,40,3,60.0,40.6,8,100.0,58.4,18,2,11.1,1,0.50,13.3,Matches
47064058,Oliver Baumann,de GER,GK,de Hoffenheim,27,1990,5.0,9,0,0,0,0,5.3,0.25,-3.7,-0.74,21,56,37.5,150,31,27.3,29.6,41,36.6,39.3,71,4,5.6,5,1.00,13.2,Matches
8a2248b4,Walter Benítez,ar ARG,GK,fr Nice,24,1993,4.0,6,1,2,0,1,5.1,0.26,+0.1,+0.02,15,40,37.5,69,18,30.4,29.1,33,57.6,44.4,46,1,2.2,1,0.25,13.4,Matches
ee833569,Etrit Berisha,al ALB,GK,it Atalanta,28,1989,8.0,8,0,0,0,0,9.1,0.31,+1.1,+0.13,56,123,45.5,146,34,55.5,41.3,44,95.5,56.1,110,9,8.2,4,0.50,10.6,Matches
5e8936be,Milan Borjan,ca CAN,GK,rs Red Star,29,1987,8.0,3,0,0,0,0,7.9,0.25,+4.9,+0.61,60,169,35.5,162,19,69.1,49.3,59,96.6,61.0,125,7,5.6,5,0.63,13.5,Matches
e66a1ad7,Louis Bostyn,be BEL,GK,be Zulte Waregem,23,1993,4.0,6,1,0,0,0,5.3,0.28,-0.7,-0.19,34,90,37.8,87,19,66.7,45.1,34,94.1,60.2,64,5,7.8,2,0.50,11.5,Matches
1e064bfb,Denys Boyko,ua UKR,GK,ua Dynamo Kyiv,29,1988,4.0,5,0,0,2,0,7.3,0.37,+2.3,+0.57,23,68,33.8,76,17,51.3,40.2,31,93.5,60.3,83,4,4.8,4,1.00,11.6,Matches
