id,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1c529186,Ignazio Abate,it ITA,DF,it Milan,31,1986,2.2,2,0,0,4,0,0,4,2,4,0,1,0,10,2,2,50.0,Matches
db265666,Araz Abdullayev,az AZE,"FW,MF",az Qarabağ Ağdam,26,1992,3.5,0,0,0,5,2,4,16,0,1,0,0,0,9,2,9,18.2,Matches
8bc373ea,Pape Abou Cissé,sn SEN,DF,gr Olympiacos,22,1995,7.0,3,0,0,13,2,0,0,16,5,0,1,0,35,16,5,76.2,Matches
565bf0da,David Abraham,ar ARG,DF,de Eint Frankfurt,32,1986,8.1,3,0,0,12,7,0,3,14,10,0,0,0,47,11,9,55.0,Matches
b96b595c,Francesco Acerbi,it ITA,DF,it Lazio,30,1988,8.0,3,0,0,9,7,0,3,23,11,0,0,0,40,12,8,60.0,Matches
aa1ecac3,Acorán,es ESP,"FW,MF",cy AÉK Lárnaka,35,1983,5.0,1,0,0,7,19,1,9,6,5,0,0,0,32,3,4,42.9,Matches
d75cf9bf,Rafael Acosta,uy URU,"FW,MF",cz Jablonec,27,1990,0.3,0,0,0,0,1,0,2,0,0,0,0,0,2,0,3,0.0,Matches
81442ecb,Marcos Acuña,ar ARG,"DF,MF",pt Sporting CP,26,1991,5.8,4,1,1,13,8,0,39,8,17,0,0,0,46,9,6,60.0,Matches
884a8908,Samuel Adegbenro,ng NGA,FW,no Rosenborg,22,1995,3.0,0,0,0,4,6,4,7,1,1,0,0,0,11,2,3,40.0,Matches
ee926a02,Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,27,1991,6.0,3,0,0,10,6,1,0,4,7,0,0,0,28,11,6,64.7,Matches
9d8586c4,Adriano,br BRA,"DF,MF",tr Beşiktaş,33,1984,1.9,0,0,0,0,1,0,5,4,2,0,0,0,12,6,8,42.9,Matches
2557c196,Luiz Adriano,br BRA,FW,ru Spartak Moscow,31,1987,2.7,0,0,0,4,9,1,1,2,1,0,0,0,6,2,6,25.0,Matches
42a632ba,Ansi Agolli,al ALB,DF,az Qarabağ Ağdam,35,1982,1.0,0,0,0,0,0,1,9,0,0,0,0,0,5,1,0,100.0,Matches
18abe173,Joseph Aidoo,gh GHA,DF,be Genk,22,1995,5.0,0,0,0,1,3,0,0,15,5,0,0,0,47,11,13,45.8,Matches
a8c0acb7,Kristoffer Ajer,no NOR,DF,sct Celtic,20,1998,1.8,0,0,0,3,1,1,2,6,7,0,0,0,7,8,2,80.0,Matches
7230b807,Emre Akbaba,tr TUR,FW,tr Galatasaray,25,1992,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,Matches
1453e3cf,Yunus Akgün,tr TUR,FW,tr Galatasaray,18,2000,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches
e2b384d2,Chuba Akpom,eng ENG,"MF,FW",gr PAOK,22,1995,0.9,0,0,0,0,3,0,1,0,0,0,0,0,3,5,0,100.0,Matches
c6e7789b,Fatih Aksoy,tr TUR,DF,tr Beşiktaş,20,1997,0.3,1,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0.0,Matches
8b92fc98,Deni Alar,at AUT,"FW,MF",at Rapid Wien,28,1990,2.8,0,0,0,4,3,0,1,1,0,0,0,0,8,4,4,50.0,Matches
834d0be5,Lucas Alario,ar ARG,"FW,MF",de Leverkusen,25,1992,4.6,0,0,0,6,10,5,0,1,3,0,0,0,16,10,14,41.7,Matches
5294a83f,Luis Alberto,es ESP,"FW,MF",it Lazio,25,1992,2.4,1,0,0,2,6,1,7,2,1,0,0,0,15,1,2,33.3,Matches
edd38473,Hasan Ali Kaldırım,tr TUR,"DF,FW",tr Fenerbahçe,28,1989,5.7,2,0,0,5,3,1,27,7,7,0,0,0,35,2,2,50.0,Matches
41b9d0c0,Barış Alıcı,tr TUR,"FW,MF",tr Fenerbahçe,21,1997,2.3,0,0,0,2,3,0,2,0,2,0,0,0,4,1,5,16.7,Matches
cc700722,Allan,br BRA,MF,it Napoli,27,1991,4.9,0,0,0,3,10,0,2,3,15,0,0,0,30,0,1,0.0,Matches
67b3d74b,André Almeida,pt POR,DF,pt Benfica,27,1990,3.2,0,0,0,3,4,0,6,1,2,0,0,0,20,10,10,50.0,Matches
ba6e52b0,André Almeida Pinto,pt POR,DF,pt Sporting CP,28,1989,5.2,0,0,0,4,1,0,0,5,3,0,0,0,27,9,5,64.3,Matches
bdf8165d,Richard Almeida,az AZE,"MF,FW",kz Astana FK,29,1989,4.5,1,0,0,7,1,0,14,2,4,0,0,0,17,6,12,33.3,Matches
f4290206,Marcos Alonso,es ESP,DF,eng Chelsea,27,1990,3.7,0,0,0,6,5,0,12,4,4,0,0,0,19,5,5,50.0,Matches
9260926b,Ibrahim Amadou,fr FRA,"DF,MF",es Sevilla,25,1993,2.1,1,0,0,1,1,0,0,2,2,0,0,0,11,5,2,71.4,Matches
22721b88,Jordan Amavi,fr FRA,DF,fr Marseille,24,1994,2.7,1,0,0,4,0,0,6,13,8,0,0,0,20,13,9,59.1,Matches
10b9fa99,Ethan Ampadu,wls WAL,DF,eng Chelsea,17,2000,1.4,0,0,0,1,0,0,0,5,1,0,0,1,4,3,0,100.0,Matches
5a2cb25d,Sofyan Amrabat,ma MAR,DF,be Club Brugge,21,1996,1.2,0,0,0,1,0,0,4,3,3,0,0,0,7,0,3,0.0,Matches
4f0fbd15,Francis Amuzu,be BEL,"DF,MF",be Anderlecht,18,1999,2.4,0,0,0,0,9,0,13,1,2,0,0,0,13,2,0,100.0,Matches
d8988c46,Jano Ananidze,ge GEO,FW,ru Spartak Moscow,25,1992,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
314c2af0,Stephan Andersen,dk DEN,GK,dk FC Copenhagen,36,1981,5.0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,,Matches
