id,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
5bc43860,Brenden Aaronson,us USA,MF,at RB Salzburg,19,2000,1.3,20,24,83.3,231,83,16,17,94.1,3,4,75.0,0,2,0.0,0,0.1,0.2,-0.1,2,0,3,0,4,Matches
c2304da8,Hatem Abd Elhamed,il ISR,DF,sct Celtic,29,1991,2.4,113,145,77.9,1661,694,63,73,86.3,39,50,78.0,4,11,36.4,0,0.0,0.1,0.0,0,9,3,0,13,Matches
7ecc9dee,Shehu Abdullahi,ng NGA,"FW,MF",cy AC Omonia,27,1993,2.9,111,134,82.8,1649,477,67,76,88.2,32,38,84.2,8,14,57.1,0,0.0,0.0,0.0,1,6,0,0,11,Matches
4c07f0e8,Anicet Abel,mg MAD,MF,bg Ludogorets,30,1990,3.6,153,171,89.5,2522,633,80,88,90.9,48,52,92.3,21,23,91.3,0,0.0,0.0,0.0,1,11,0,0,2,Matches
c2a6033c,Zakaria Aboukhlal,ma MAR,"MF,FW",nl AZ Alkmaar,20,2000,1.9,27,38,71.1,389,107,13,16,81.3,13,17,76.5,0,2,0.0,0,0.8,0.6,-0.8,1,0,1,0,3,Matches
c603091a,Joel Abu Hanna,il ISR,DF,ua Zorya Luhansk,22,1998,4.0,164,203,80.8,3524,1173,44,56,78.6,98,110,89.1,22,34,64.7,1,0.0,0.0,+1.0,0,11,0,0,12,Matches
74510b8f,Elton Acolatse,nl NED,"FW,MF",il Be'er Sheva,25,1995,2.9,38,55,69.1,517,99,22,29,75.9,11,18,61.1,2,3,66.7,0,0.1,0.2,-0.1,2,5,1,0,6,Matches
22919e97,Sargis Adamyan,am ARM,"FW,DF",de Hoffenheim,27,1993,1.1,19,27,70.4,301,77,12,20,60.0,4,4,100.0,3,3,100.0,0,0.4,0.1,-0.4,3,1,4,0,6,Matches
ee926a02,Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,29,1991,11.6,324,374,86.6,4672,1067,171,184,92.9,118,137,86.1,14,17,82.4,3,2.5,2.2,+0.5,16,23,8,0,39,Matches
501055d8,Karim Adeyemi,de GER,"FW,MF",at RB Salzburg,18,2002,0.7,14,19,73.7,157,17,9,12,75.0,3,4,75.0,0,1,0.0,0,0.2,0.2,-0.2,2,0,1,0,1,Matches
f9c927de,Michel Aebischer,ch SUI,MF,ch Young Boys,23,1997,6.4,251,336,74.7,4495,1519,110,128,85.9,99,120,82.5,33,61,54.1,2,0.9,0.7,+1.1,10,23,1,1,19,Matches
b3de00a7,Stanislav Agkatsev,ru RUS,GK,ru Krasnodar,18,2002,1.0,22,25,88.0,438,331,9,9,100.0,9,9,100.0,4,7,57.1,0,0.0,0.0,0.0,0,0,0,0,0,Matches
c86c0fab,Jonathan Agudelo,co COL,"FW,MF",il Be'er Sheva,27,1992,2.1,17,23,73.9,217,18,9,12,75.0,5,5,100.0,1,1,100.0,1,0.1,0.0,+0.9,2,1,0,0,0,Matches
3ff205d5,Ahmed Ahmedov,bg BUL,"MF,FW",bg CSKA Sofia,25,1995,0.6,8,15,53.3,117,13,6,10,60.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0.0,1,0,1,0,2,Matches
a8c0acb7,Kristoffer Ajer,no NOR,DF,sct Celtic,22,1998,4.5,150,192,78.1,2943,1171,50,60,83.3,73,83,88.0,23,41,56.1,1,0.3,0.2,+0.7,4,13,3,2,16,Matches
2b1c4abd,Albian Ajeti,ch SUI,FW,sct Celtic,23,1997,1.8,25,32,78.1,293,46,14,15,93.3,7,8,87.5,0,0,,1,0.1,0.1,+0.9,2,0,1,0,2,Matches
e0d3e18d,Ilzat Akhmetov,ru RUS,"MF,FW",ru CSKA Moscow,22,1997,2.0,118,139,84.9,1787,420,64,69,92.8,43,50,86.0,7,10,70.0,0,0.1,0.2,-0.1,3,15,4,0,18,Matches
42ec696a,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,34,1986,6.0,89,147,60.5,2722,2147,5,5,100.0,45,45,100.0,38,96,39.6,0,0.0,0.0,0.0,0,1,0,0,0,Matches
6ec6fde0,Kevin Akpoguma,ng NGA,DF,de Hoffenheim,25,1995,3.7,241,270,89.3,4285,1548,97,105,92.4,122,131,93.1,19,27,70.4,0,0.2,0.2,-0.2,3,31,2,0,29,Matches
