id,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1c529186,Ignazio Abate,it ITA,DF,it Milan,30,1986,3.8,159,128,30,3,0,0,5,27,0,0,0,0,126,1,3,Matches
c2304da8,Hatem Abd Elhamed,il ISR,DF,il Be'er Sheva,26,1991,5.2,296,280,15,10,0,0,2,5,0,0,0,0,263,1,4,Matches
2f798b41,Aymen Abdennour,tn TUN,DF,fr Marseille,27,1989,2.0,136,134,2,2,1,1,0,0,0,0,0,0,124,0,0,Matches
4c07f0e8,Anicet Abel,mg MAD,MF,bg Ludogorets,27,1990,7.9,349,341,8,8,0,1,2,0,0,0,0,0,290,0,5,Matches
64a674d9,Maxwell Acosty,gh GHA,"FW,MF",hr Rijeka,25,1991,3.7,125,123,2,0,1,0,6,1,0,0,0,0,92,0,1,Matches
81442ecb,Marcos Acuña,ar ARG,"FW,DF",pt Sporting CP,25,1991,4.5,253,209,43,12,0,4,29,25,6,1,2,0,172,1,10,Matches
936d9e3e,Emmanuel Adebayor,tg TOG,FW,tr Başakşehir,33,1984,0.7,24,23,1,0,0,0,0,0,0,0,0,0,21,0,1,Matches
884a8908,Samuel Adegbenro,ng NGA,FW,no Rosenborg,21,1995,5.8,83,79,3,1,0,1,11,1,0,0,0,0,59,1,5,Matches
182c10aa,James Adeniyi,ng NGA,"FW,MF",al Skënderbeu Korçë,24,1992,4.8,154,152,1,0,1,0,1,1,0,0,0,0,115,1,5,Matches
2557c196,Luiz Adriano,br BRA,FW,ru Spartak Moscow,30,1987,2.0,51,45,6,0,0,0,2,0,0,0,0,0,39,0,0,Matches
293211e1,Aritz Aduriz,es ESP,FW,es Athletic Club,36,1981,8.9,181,172,8,0,0,2,6,0,0,0,0,0,119,1,3,Matches
e3207d47,Luka Adžić,rs SRB,FW,rs Red Star,18,1998,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
f9c927de,Michel Aebischer,ch SUI,MF,ch Young Boys,20,1997,3.9,176,164,11,11,1,1,3,0,0,0,0,0,141,1,2,Matches
c84c1afc,Imanol Agirretxe,es ESP,FW,es Real Sociedad,30,1987,1.0,19,17,2,0,0,0,0,0,0,0,0,0,14,0,0,Matches
9d01ec0f,Hosam Aiesh,sy SYR,"MF,FW",se Östersund,22,1995,1.7,62,53,9,0,0,0,3,9,0,0,0,0,44,0,3,Matches
aeee3365,Astrit Ajdarević,al ALB,"MF,FW",gr AEK Athens,27,1990,0.9,36,34,2,2,0,0,2,0,0,0,0,0,25,0,0,Matches
