id,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
c2304da8,Hatem Abd Elhamed,il ISR,DF,sct Celtic,28,1991,4,344,86,47.8,3.8,4,86,2,0,,0,2.50,5,3,+2,+0.52,+0.52,4.4,4.0,+0.4,+0.10,+0.30,Matches
db265666,Araz Abdullayev,az AZE,"MF,FW",az Qarabağ Ağdam,27,1992,4,146,37,27.0,1.6,1,90,1,3,19,1,1.20,1,6,-5,-3.08,-3.54,2.0,2.6,-0.6,-0.38,-1.41,Matches
4c07f0e8,Anicet Abel,mg MAD,MF,bg Ludogorets,29,1990,7,568,81,78.9,6.3,6,86,5,1,52,0,1.42,10,9,+1,+0.16,+2.53,6.2,9.9,-3.7,-0.58,+0.99,Matches
8c6239f2,Myenty Abena,sr SUR,DF,sk Slovan Bratislava,24,1994,6,540,90,100.0,6.0,6,90,6,0,,0,1.58,10,13,-3,-0.50,,6.4,13.0,-6.6,-1.10,,Matches
469d3d84,Charles Abi,fr FRA,"FW,MF",fr Saint-Étienne,19,2000,2,33,17,6.1,0.4,0,,0,2,17,0,1.00,0,0,0,0.00,+0.36,0.9,0.1,+0.8,+2.13,+2.25,Matches
8bc373ea,Pape Abou Cissé,sn SEN,DF,gr Olympiacos,23,1995,3,267,89,68.5,3.0,2,105,2,1,57,1,1.33,3,3,0,0.00,+0.73,3.1,4.9,-1.8,-0.68,+0.37,Matches
8637e09a,Vincent Aboubakar,cm CMR,FW,pt Porto,27,1992,1,90,90,12.5,1.0,1,90,1,0,,2,3.00,2,1,+1,+1.00,+1.71,2.2,1.0,+1.2,+1.17,+0.97,Matches
c2a6033c,Zakaria Aboukhlal,ma MAR,FW,nl AZ Alkmaar,19,2000,1,14,14,1.9,0.2,0,,0,1,14,6,3.00,0,0,0,0.00,-0.64,0.8,0.0,+0.8,+4.91,+4.30,Matches
565bf0da,David Abraham,ar ARG,DF,de Eint Frankfurt,33,1986,9,810,90,90.0,9.0,9,90,9,0,,0,1.33,13,17,-4,-0.44,-1.44,15.3,14.8,+0.5,+0.05,-0.84,Matches
b96b595c,Francesco Acerbi,it ITA,DF,it Lazio,31,1988,6,540,90,100.0,6.0,6,90,6,0,,0,1.00,6,9,-3,-0.50,,6.9,8.0,-1.1,-0.19,,Matches
81442ecb,Marcos Acuña,ar ARG,DF,pt Sporting CP,27,1991,6,552,92,73.6,6.1,6,92,5,0,,1,2.00,13,9,+4,+0.65,+1.11,8.4,7.2,+1.2,+0.21,+0.81,Matches
dbc74497,Denis Adamov,ru RUS,GK,ru Krasnodar,21,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
884a8908,Samuel Adegbenro,ng NGA,FW,no Rosenborg,23,1995,6,482,80,89.3,5.4,6,80,2,0,,0,0.17,3,11,-8,-1.49,-1.49,5.0,6.8,-1.8,-0.34,-0.24,Matches
3ed84b2c,Bobby Adekanye,nl NED,FW,it Lazio,20,1999,3,98,33,18.1,1.1,1,64,0,2,17,2,1.00,1,1,0,0.00,+0.61,0.9,2.1,-1.1,-1.04,-1.04,Matches
b3c14bff,Kemal Ademi,ch SUI,FW,ch Basel,23,1996,9,319,35,32.2,3.5,4,59,0,5,17,0,2.11,5,3,+2,+0.56,-0.91,5.3,3.5,+1.8,+0.51,+0.31,Matches
501055d8,Karim Adeyemi,de GER,MF,at RB Salzburg,17,2002,1,45,45,25.0,0.5,0,,0,1,45,0,0.00,1,2,-1,-2.00,-0.67,1.0,1.6,-0.6,-1.27,-0.40,Matches
f9c927de,Michel Aebischer,ch SUI,MF,ch Young Boys,22,1997,6,472,79,87.4,5.2,5,90,5,1,22,0,1.33,7,5,+2,+0.38,+1.70,8.2,6.4,+1.8,+0.35,+1.11,Matches
9a8c6673,Ibrahim Afellay,nl NED,"FW,MF",nl PSV Eindhoven,33,1986,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
8bc8829a,Lucien Agoume,fr FRA,MF,it Inter,17,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
5e9fa5c9,Mikel Agu,ng NGA,MF,pt Vitória,26,1993,5,429,86,79.4,4.8,5,86,4,0,,1,0.83,4,7,-3,-0.63,-0.63,6.0,7.7,-1.7,-0.36,+1.08,Matches
eab957a3,Anel Ahmedhodzic,ba BIH,DF,se Malmö,20,1999,2,180,90,25.0,2.0,2,90,2,0,,0,0.00,1,5,-4,-2.00,-2.33,1.7,3.5,-1.8,-0.90,-0.75,Matches
48b28bfd,Jean-Eudes Aholou,ci CIV,MF,fr Saint-Étienne,25,1994,4,243,61,45.0,2.7,4,61,1,0,,0,0.75,3,3,0,0.00,+0.61,3.2,3.1,+0.2,+0.07,+0.08,Matches
74ced675,Ailton,br BRA,DF,az Qarabağ Ağdam,24,1995,6,540,90,100.0,6.0,6,90,6,0,,0,1.14,8,11,-3,-0.50,,10.0,6.2,+3.9,+0.65,,Matches
a8c0acb7,Kristoffer Ajer,no NOR,DF,sct Celtic,21,1998,8,675,84,93.8,7.5,7,90,7,1,45,0,2.00,12,10,+2,+0.27,+0.27,10.3,10.3,+0.1,+0.01,+1.05,Matches
135f870a,Reda Akbib,be BEL,DF,be Gent,18,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
e0d3e18d,Ilzat Akhmetov,ru RUS,MF,ru CSKA Moscow,21,1997,6,351,59,65.0,3.9,4,72,0,2,32,0,0.83,1,4,-3,-0.77,+0.66,5.0,4.9,+0.1,+0.02,+0.89,Matches
42ec696a,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,33,1986,5,450,90,83.3,5.0,5,90,5,0,,0,0.40,2,9,-7,-1.40,-2.40,6.6,8.3,-1.7,-0.34,-0.30,Matches
5529e983,Babajide Akintola,ng NGA,FW,no Rosenborg,23,1996,3,255,85,47.2,2.8,3,85,2,0,,2,0.00,2,7,-5,-1.76,-0.82,3.7,4.5,-0.8,-0.27,+0.08,Matches
