id,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
c2304da8,Hatem Abd Elhamed,il ISR,DF,sct Celtic,28,1991,3.8,259,12,71,132,59,3,259,12,6,50.0,6,50.0,111,717,318,5,12,2,4,3,122,18,Matches
db265666,Araz Abdullayev,az AZE,"MF,FW",az Qarabağ Ağdam,27,1992,1.6,65,2,8,31,28,4,65,0,0,,0,,43,353,120,3,3,0,5,3,44,12,Matches
4c07f0e8,Anicet Abel,mg MAD,MF,bg Ludogorets,29,1990,6.3,292,22,90,171,33,3,292,7,3,42.9,4,57.1,131,612,154,0,2,0,8,5,176,7,Matches
8c6239f2,Myenty Abena,sr SUR,DF,sk Slovan Bratislava,24,1994,6.0,179,40,117,55,8,5,179,3,3,100.0,0,0.0,83,348,186,1,0,0,1,1,96,1,Matches
469d3d84,Charles Abi,fr FRA,"FW,MF",fr Saint-Étienne,19,2000,0.4,16,0,3,6,7,2,16,1,0,0.0,1,100.0,11,41,1,0,0,0,2,1,14,4,Matches
8bc373ea,Pape Abou Cissé,sn SEN,DF,gr Olympiacos,23,1995,3.0,166,24,100,64,2,1,166,0,0,,0,,109,547,241,0,0,0,1,0,117,0,Matches
8637e09a,Vincent Aboubakar,cm CMR,FW,pt Porto,27,1992,1.0,56,2,5,27,24,8,56,4,3,75.0,1,25.0,37,128,35,1,0,0,9,3,44,11,Matches
c2a6033c,Zakaria Aboukhlal,ma MAR,FW,nl AZ Alkmaar,19,2000,0.2,9,1,2,3,6,1,9,1,0,0.0,1,100.0,8,117,50,1,2,0,1,0,7,5,Matches
565bf0da,David Abraham,ar ARG,DF,de Eint Frankfurt,33,1986,9.0,511,46,212,275,27,5,511,0,0,,0,,231,1298,717,10,3,0,5,5,268,8,Matches
b96b595c,Francesco Acerbi,it ITA,DF,it Lazio,31,1988,6.0,484,38,203,242,42,3,484,0,0,,0,,231,1611,967,16,9,1,5,3,311,11,Matches
81442ecb,Marcos Acuña,ar ARG,DF,pt Sporting CP,27,1991,6.1,443,18,146,188,115,4,443,12,7,58.3,5,41.7,227,1179,661,16,11,1,6,8,237,23,Matches
884a8908,Samuel Adegbenro,ng NGA,FW,no Rosenborg,23,1995,5.4,176,2,19,51,111,17,176,37,17,45.9,20,54.1,119,1039,371,17,7,6,17,11,121,46,Matches
3ed84b2c,Bobby Adekanye,nl NED,FW,it Lazio,20,1999,1.1,49,1,5,22,23,3,49,5,3,60.0,2,40.0,36,219,74,1,3,0,7,2,42,9,Matches
b3c14bff,Kemal Ademi,ch SUI,FW,ch Basel,23,1996,3.5,100,6,11,52,37,12,100,2,1,50.0,1,50.0,51,187,53,2,1,1,15,6,78,13,Matches
501055d8,Karim Adeyemi,de GER,MF,at RB Salzburg,17,2002,0.5,23,0,3,5,15,3,23,3,0,0.0,3,100.0,14,48,19,1,0,0,0,0,14,5,Matches
f9c927de,Michel Aebischer,ch SUI,MF,ch Young Boys,22,1997,5.2,309,13,76,154,88,6,309,11,8,72.7,3,27.3,138,835,454,9,13,2,9,5,181,12,Matches
5e9fa5c9,Mikel Agu,ng NGA,MF,pt Vitória,26,1993,4.8,228,12,62,150,23,1,228,8,8,100.0,0,0.0,81,490,222,3,6,0,4,3,109,2,Matches
eab957a3,Anel Ahmedhodzic,ba BIH,DF,se Malmö,20,1999,2.0,146,11,85,61,1,0,146,0,0,,0,,95,495,295,1,0,0,3,0,94,0,Matches
48b28bfd,Jean-Eudes Aholou,ci CIV,MF,fr Saint-Étienne,25,1994,2.7,136,6,33,82,24,2,136,4,2,50.0,2,50.0,61,311,119,2,3,0,6,1,89,1,Matches
74ced675,Ailton,br BRA,DF,az Qarabağ Ağdam,24,1995,6.0,421,18,144,189,95,11,421,19,8,42.1,11,57.9,187,975,486,13,8,1,12,10,223,31,Matches
a8c0acb7,Kristoffer Ajer,no NOR,DF,sct Celtic,21,1998,7.5,484,37,196,262,27,7,484,6,6,100.0,0,0.0,257,1534,902,3,6,2,6,1,295,3,Matches
